model,political,prisoners,were,released,censorship,of,newspapers,and,the,internet,lifted,and,a,-lrb-,flawed,-rrb-,law,passed,allowing,public,demonstrations,.
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
press,0.33082309074252725,0.1826136636892982,-1,0.3928057576679742,0.2457529048599023,-1,0.5588014134235711,-1,-1,0.4539997857824989,0.23524819549274567,-1,-1,-1,0.15712670487793057,-1,0.37230271051916475,0.2969057219919743,0.3708448291974489,0.38512346924003826,0.22499892200675098,-1
conference,0.3650364656771943,0.19256174383229752,-1,0.3630317183962687,0.16430758750301488,-1,0.5279461074601379,-1,-1,0.3588056845505323,0.2466700109380049,-1,-1,-1,0.07828362555324819,-1,0.2639506545947856,0.28124334762768877,0.2544478369905969,0.36125362233767344,0.28627630094400724,-1
last,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
week,0.30803065392886886,0.31775430364685775,-1,0.582597211946603,0.11226987148617595,-1,0.4356312045254245,-1,-1,0.37904348667181065,0.41057291964295106,-1,-1,-1,0.11205818495235065,-1,0.3863710592015781,0.5751915734409412,0.455541163570757,0.43307020242751626,0.32668320311570376,-1
opposition,0.5811498179820659,0.36415372515341904,-1,0.22837908835168164,0.25163178625729854,-1,0.4641138368419817,-1,-1,0.264850202967152,0.2759765522584272,-1,-1,-1,0.10021947374828466,-1,0.3670712809408986,0.3682192081175595,0.4143061452175054,0.31119864600154834,0.3928232775921593,-1
leader,0.3488460754332652,0.17500151371842987,-1,0.2442309334638788,0.03959456412336648,-1,0.19369544598563904,-1,-1,0.13375058480070656,0.15037220090872327,-1,-1,-1,0.10020450364749889,-1,0.2761650095119934,0.29859574473869377,0.2604127116175954,0.1585326141570772,0.058250849341294764,-1
aung,-0.03642246885154421,-0.16462399821820273,-1,-0.13672121536724258,0.05440778063103713,-1,0.010664631353105691,-1,-1,-0.18560745738695505,-0.0665463414695111,-1,-1,-1,0.06556711344201605,-1,-0.00835603041876154,-0.09559461669230296,-0.21190882245817177,-0.25380117886567666,-0.14643923234186906,-1
san,0.0360947133231152,0.018568786304542395,-1,0.14409598020691217,0.13692361410223453,-1,0.1802090819771096,-1,-1,0.07339573766858509,0.1647084708869092,-1,-1,-1,0.1872499332492772,-1,0.1827201057462734,0.08021094507385684,0.005616288798498736,-0.02391968358649743,0.07329735576048946,-1
suu,-0.04116421844870777,-0.049484549958811685,-1,-0.010390725711056703,-0.06588095127574034,-1,-0.09613050889415264,-1,-1,-0.20196827711892218,-0.014444628978860008,-1,-1,-1,0.059038960505191085,-1,0.06336083375813306,0.05312783209226468,-0.09527819309589192,-0.17421129470275654,-0.17119780688043296,-1
kyi,0.0032945148238603394,-0.013436014571061472,-1,0.02220928255012744,-0.042226045129587275,-1,-0.06990636039791243,-1,-1,-0.18953195535795397,0.04294796108452559,-1,-1,-1,0.07861809255310637,-1,0.09743192995298244,0.0897250560949997,-0.06327092719173333,-0.1407041859180964,-0.14887133534030883,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
asked,0.30739890503991996,0.314259744770791,-1,0.3905062095937054,-0.007056969296183935,-1,0.31825282890404694,-1,-1,0.4016270516160887,0.2909551897624749,-1,-1,-1,0.08609847509785795,-1,0.42682073581432545,0.4608091241575831,0.537746984877237,0.44885939098999494,0.1665713236470704,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
assessment,0.29023301904048393,0.2333359793171721,-1,0.3665135873836345,0.2810035442222907,-1,0.22792230750186726,-1,-1,0.4743571854821287,0.2002662171346573,-1,-1,-1,0.35786985343178324,-1,0.3733054058769063,0.30217332562506694,0.380968849082983,0.4250577068953725,0.1991615903270093,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
myanmar,0.23670699247532645,0.2650794627542842,-1,0.18758360642292404,0.27679033882337944,-1,0.35271184619904705,-1,-1,0.3032708592271961,0.22648375165011836,-1,-1,-1,0.06287852271068284,-1,0.33812675667643766,0.26463749503243295,0.31110970857294473,0.09585996791323559,0.17878429545720842,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
reform,0.4846680058335455,0.3064163998596039,-1,0.2558634312409682,0.42861011667358884,-1,0.27831884321514355,-1,-1,0.5038584222962557,0.28371098434384523,-1,-1,-1,0.31964551842526956,-1,0.6850060513094631,0.4881552585868707,0.528125045919102,0.4774519900525358,0.18721897471896143,-1
process,0.5106362890379978,0.4065164833415926,-1,0.27472960062791585,0.2111611997382561,-1,0.08196205730024375,-1,-1,0.321569307312789,0.2402907181245102,-1,-1,-1,0.43028401382426973,-1,0.48969764254955594,0.4465521954528201,0.46212519067354907,0.41975963265838423,0.292334423793591,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
