model,in,a,short,period,of,time,one,of,the,world,'s,most,tightly,controlled,societies,opened,up,in,a,way,few,had,thought,possible,.
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
press,-1,-1,0.24825421196127828,0.14930129310480567,-1,-1,0.28703991509237325,-1,-1,0.2728622227798395,-1,-1,0.05572530144549526,0.2281093946543964,0.11797182984816645,0.29030277472386357,-1,-1,-1,0.28046379639549546,0.2652791769393079,-1,0.2711448557730114,0.23623812135663658,-1
conference,-1,-1,0.24800007195494678,0.21985646032441541,-1,-1,0.3384824230562904,-1,-1,0.3221482541503251,-1,-1,0.04559628427201834,0.1507297899003458,0.1661260143324872,0.27757603364170946,-1,-1,-1,0.25379546687114174,0.27275446571308115,-1,0.2534644069658185,0.1963564763679937,-1
last,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
week,-1,-1,0.5943686227635848,0.5164272756114519,-1,-1,0.590168201670971,-1,-1,0.4472156941457006,-1,-1,-0.023063763167423534,0.21163226240679733,0.08015054808148292,0.4540995131608161,-1,-1,-1,0.48579613338258965,0.656913745635919,-1,0.559276090964977,0.40494049760835393,-1
opposition,-1,-1,0.20652896499155915,0.17326519643430016,-1,-1,0.37566251530912065,-1,-1,0.22228607764072017,-1,-1,0.10363344337830149,0.25858629991359194,0.16326188120885377,0.19537187364156594,-1,-1,-1,0.3084228184672615,0.36158850640362217,-1,0.2995486752275339,0.2734972435579228,-1
leader,-1,-1,0.20989976408942157,0.07915632993556854,-1,-1,0.35826582005128227,-1,-1,0.30768309038617425,-1,-1,-0.05024161003321992,0.1539819453420309,0.12109950676324344,0.20847594631633626,-1,-1,-1,0.22745540164913292,0.2555799086237782,-1,0.292773541595434,0.17075453725096124,-1
aung,-1,-1,-0.40100713594522874,-0.25391262480470167,-1,-1,-0.172056059273195,-1,-1,-0.11755356412084872,-1,-1,-0.02030784863576085,0.020874644395399544,0.14191461378070347,0.01789929973252291,-1,-1,-1,-0.25519295606902004,-0.26424081922116316,-1,-0.19624555368967123,-0.29050018771003217,-1
san,-1,-1,-0.1031583082129599,-0.04749537895614231,-1,-1,0.09624393177279078,-1,-1,0.09489848903509235,-1,-1,0.009144286513379507,0.16422226887890612,0.2965346035143279,0.2733219211034825,-1,-1,-1,0.007706592923477085,-0.025445093661562446,-1,0.0885567743420771,-0.07690828761441426,-1
suu,-1,-1,-0.22411194610307428,-0.1231910012817874,-1,-1,-0.1544696742648619,-1,-1,-0.07661996080997246,-1,-1,-0.11252532663530657,-0.0037856162658675974,0.011445315483006091,0.062079835670952765,-1,-1,-1,-0.12195931549750516,-0.12892729836600836,-1,0.007270433158221512,-0.17635624757867197,-1
kyi,-1,-1,-0.17187279237369402,-0.07099772028967166,-1,-1,-0.11141775572139534,-1,-1,-0.020710713771981526,-1,-1,-0.0647590264430471,0.030838282538672712,0.009197947820296926,0.08334636503101589,-1,-1,-1,-0.09325019971200121,-0.08729021925820502,-1,0.03846534843362637,-0.11567464166046948,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
asked,-1,-1,0.35999792184213364,0.21381457675368098,-1,-1,0.4672369010137103,-1,-1,0.2727364848114313,-1,-1,-0.09116238531880216,0.15104819327785557,0.048150162353510995,0.32586245552794524,-1,-1,-1,0.40992807226865746,0.36341428969289136,-1,0.6016078344292689,0.377865710530378,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
assessment,-1,-1,0.4737045465967318,0.3812113311666483,-1,-1,0.36372204423040966,-1,-1,0.2487561886863423,-1,-1,-0.014006901707553032,0.3501306180968392,0.023371750257882185,0.24565178417939837,-1,-1,-1,0.3951043438954889,0.2639825991035596,-1,0.3636173431293943,0.43831690801993406,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
myanmar,-1,-1,-0.044668247153671015,0.05119430233666844,-1,-1,0.21100012222946163,-1,-1,0.2523817576033508,-1,-1,0.10541496841361409,0.21694883512433383,0.27700606009819373,0.17562071902544463,-1,-1,-1,0.11422884462149696,0.15033714379583896,-1,0.23940115004273488,0.11868541391022747,-1
