model,stories,critical,of,ministers,were,suddenly,on,the,front,page,of,private,newspapers,and,demonstrations,mostly,connected,to,land,rights,have,become,almost,daily,events,.
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
press,0.2376232608948673,0.34352872686288327,-1,0.36895736329300033,-1,0.06971397884484443,-1,-1,0.4516324213657491,0.39382286937185995,-1,0.3442416731833421,0.5588014134235711,-1,0.22499892200675098,0.18360569741327215,0.3430980790455531,-1,0.2455763972712487,0.5017755945620939,-1,0.21698997782472662,0.18608239066077203,0.5699157982792868,0.2984164592324847,-1
conference,0.28447927110969373,0.34098029053866163,-1,0.4303057446441707,-1,0.10255062970415207,-1,-1,0.45043603874342786,0.3778857614928377,-1,0.3785819529372214,0.5279461074601379,-1,0.28627630094400724,0.1643624947849176,0.20606672920370495,-1,0.29348295830303706,0.4016152940737654,-1,0.2707701238831012,0.09185400035194569,0.5120378249842218,0.42707687589864096,-1
last,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
week,0.29523491471691776,0.4688416762640193,-1,0.548162314295676,-1,0.41752195313270457,-1,-1,0.5482148132835095,0.4282475455217979,-1,0.40349657370740044,0.4356312045254245,-1,0.32668320311570376,0.3905444651722124,0.2701255746361706,-1,0.36889680568324046,0.33382050977404265,-1,0.4510905623899436,0.6082192702487097,0.426982749688402,0.5066390762861172,-1
opposition,0.1267110574446837,0.36154713216615064,-1,0.4463995312962037,-1,0.2177047861557163,-1,-1,0.45765324325978973,0.14722691479059968,-1,0.19755103166080157,0.4641138368419817,-1,0.3928232775921593,0.41871172254025835,0.10728435086929566,-1,0.20762551373090832,0.5026789948250782,-1,0.34064700414928795,0.2604548222938696,0.22300550100734917,0.2027518893652287,-1
leader,0.08089630988417262,0.2538198868928999,-1,0.4204880603346124,-1,0.21120197246960037,-1,-1,0.34947167013302005,0.122980453723053,-1,0.12579204290809765,0.19369544598563904,-1,0.058250849341294764,0.23625780308598932,-0.02709824565834751,-1,0.20762345583643993,0.24673633019346952,-1,0.4012666306347651,0.12750098277460953,0.13228595613671312,0.10017358488114947,-1
aung,-0.21647306314786352,-0.2138686393176763,-1,-0.0406121373883741,-1,-0.16288396054403464,-1,-1,-0.054555635325477914,-0.2451201214445946,-1,-0.2458830196181765,0.010664631353105691,-1,-0.14643923234186906,-0.05189151736481268,-0.24873148395773148,-1,0.03823368000201355,-0.10454730165404436,-1,-0.15463789619327173,-0.3044397471480298,-0.15418795205414204,-0.281341233994993,-1
san,0.01692248873382962,0.026819932172591265,-1,0.0918784868852266,-1,0.07911811785853118,-1,-1,0.23446491152598337,0.028146479418954096,-1,0.013567897173957566,0.1802090819771096,-1,0.07329735576048946,0.18850688693797546,0.04164283724456297,-1,0.25476648073032715,0.09084222013780097,-1,0.02867001015131798,-0.015119025399191077,0.09888643523254992,-0.00034312521217927383,-1
suu,-0.2124784323928648,-0.15624991826723766,-1,0.0008811047287593521,-1,0.001936337918204245,-1,-1,-0.025252350308589078,-0.12805975690239713,-1,-0.1778961348891468,-0.09613050889415264,-1,-0.17119780688043296,-0.029989974459786906,-0.1567538244760205,-1,0.0327241789890953,-0.12435632697740173,-1,-0.11420667301425436,-0.1634406976370355,-0.18725032767909355,-0.20658018477338436,-1
kyi,-0.22563749230509678,-0.10828573918944873,-1,0.017003251266008212,-1,0.035400299359700904,-1,-1,-0.004031977481760318,-0.12343060370900716,-1,-0.15591446614024962,-0.06990636039791243,-1,-0.14887133534030883,0.0013495157167281446,-0.12233777796068157,-1,0.06872124217831443,-0.1022337420202113,-1,-0.03179127959258521,-0.1229522195601307,-0.16980873932505292,-0.17988253728355774,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
