model,but,the,early,pace,of,those,changes,has,n't,been,sustained,.
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
press,-1,-1,0.274670928656354,0.10825679012487233,-1,0.24388127997688624,0.2233798850535489,-1,-1,-1,0.1511421746809669,-1
conference,-1,-1,0.34404501491364503,0.16776033797418877,-1,0.2109806745759435,0.2677091415305153,-1,-1,-1,0.16750575276703117,-1
last,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
week,-1,-1,0.5011771603322985,0.35195824605215253,-1,0.49202803206777124,0.45961398548334453,-1,-1,-1,0.32634205038792063,-1
opposition,-1,-1,0.26590162086878455,0.24430427961301981,-1,0.37014251804225307,0.3114478182781001,-1,-1,-1,0.2850050907547417,-1
leader,-1,-1,0.2624950463548039,0.23309056662007077,-1,0.15714616406551252,0.2406343053656972,-1,-1,-1,0.19009961068766068,-1
aung,-1,-1,-0.12571287592845803,-0.08120101835189497,-1,-0.36257854835632997,-0.18036951994582395,-1,-1,-1,-0.04274203904066942,-1
san,-1,-1,0.06265782575981549,0.05420216484237461,-1,-0.07624211802754988,-0.00300580278758944,-1,-1,-1,0.09423218653198595,-1
suu,-1,-1,-0.07463083974434825,-0.06084662209748326,-1,-0.20156391910727822,-0.12674746906228496,-1,-1,-1,-0.015308134687554986,-1
kyi,-1,-1,-0.056971105046628834,-0.02721090753153077,-1,-0.16861322334776907,-0.09390661391979305,-1,-1,-1,0.03053092106570998,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
asked,-1,-1,0.26725295646344205,0.1344358681325768,-1,0.5048908955799166,0.4328180495700469,-1,-1,-1,0.19301214179351434,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
assessment,-1,-1,0.3377499607196426,0.23697473437087302,-1,0.3505016672580401,0.4040064147652118,-1,-1,-1,0.422409103282294,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
myanmar,-1,-1,0.11996145983642381,0.13671413799371157,-1,0.233306861202771,0.1549007284859052,-1,-1,-1,0.14090016447605536,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
reform,-1,-1,0.24593260165621467,0.2449286595759499,-1,0.37181739144151127,0.6062312463608693,-1,-1,-1,0.21107957898212515,-1
process,-1,-1,0.32789642703123656,0.26284745323403036,-1,0.355557757310069,0.433560466366373,-1,-1,-1,0.2199517517780869,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
