model,the,staggies,won,the,league,cup,and,have,secured,a,top-six,finish,.
ross,-1,-0.1026519158515875,0.4003668588347211,-1,0.378527568162194,0.27149354373286916,-1,-1,0.33974729932799397,-1,-0.1433890542246703,0.1939641424782943,-1
county,-1,-0.16059078662522053,0.41345497723428604,-1,0.581188543043159,0.39884822084140503,-1,-1,0.44343298272591736,-1,-0.002143976279967097,0.23258967913507778,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jim,-1,0.12288627490002269,0.26720974652572793,-1,0.16419333572605554,0.19525102536987604,-1,-1,0.17260076403748958,-1,-0.16293331051402915,0.04405667764743215,-1
mcintyre,-1,0.124402046571217,0.08728911023964248,-1,0.0361904078647044,0.059943592012548064,-1,-1,0.0657141454184672,-1,-0.07445699066957645,-0.038783411505392884,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
only,-1,-0.18626102703654057,0.5805893402546537,-1,0.5725376107913153,0.39974631495975155,-1,-1,0.4891557060221001,-1,0.07496917890850319,0.42722828842527294,-1
premiership,-1,0.2653757858793986,0.4830899292361126,-1,0.859243631772061,0.6435073588023518,-1,-1,0.5591421255315183,-1,0.44985095617036386,0.4563815982299514,-1
boss,-1,0.1834355077589942,0.31019357732254726,-1,0.4693655276548093,0.30763035190211074,-1,-1,0.3358494502820235,-1,-0.08006728381269501,0.141860340841635,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
running,-1,-0.23849738279031674,0.4179328195575396,-1,0.45981673331623774,0.3683163335610682,-1,-1,0.3823111829907482,-1,0.12247807551047607,0.49505432915520065,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pfa,-1,0.16789409876199024,0.1362478053034205,-1,0.13791307064709046,0.12194279244566586,-1,-1,0.1221992522446389,-1,0.10590080120859491,0.09534008927246207,-1
scotland,-1,-0.14168588002078208,0.4279177696854708,-1,0.4349943324846127,0.4688049309326989,-1,-1,0.40694559762041993,-1,-0.052174649045107824,0.29199152254311933,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
manager,-1,0.06065921251213002,0.38706459317709485,-1,0.5255629320322626,0.40305730656044836,-1,-1,0.3999857651674801,-1,-0.05079351245974606,0.23424768947810704,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,-1,-0.17798713803977728,0.5345419613107502,-1,0.48153965018652034,0.5121023843441938,-1,-1,0.4446993163938221,-1,0.02433966754542749,0.41330878707333785,-1
award,-1,0.006549174007072223,0.5686463943743199,-1,0.405420817092226,0.5005607267963088,-1,-1,0.46052579151057293,-1,0.1886455573071688,0.34895563183853673,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
