model,however,the,norwegian,has,already,announced,he,will,stand,down,at,the,end,of,the,season,after,failing,to,win,either,domestic,cup,competition,and,having,had,poor,campaigns,in,the,champions,league,qualifiers,and,europa,league,group,stage,.
ross,0.2836534619921811,-1,0.3421534346345202,-1,0.2305756357375469,0.2526250060282067,-1,-1,0.3410653120050693,0.279086374429417,-1,-1,-1,-1,-1,0.3554332966467717,-1,0.18575640090639056,-1,0.39026871271537744,0.28958601955467456,0.1562632366522847,0.27149354373286916,0.2033707740555919,-1,0.3109289988876449,-1,0.13525849026549697,0.08345968174113438,-1,-1,0.40189701529567246,0.378527568162194,0.12464289407018947,-1,0.3359148376652523,0.378527568162194,-1,0.24208185220249534,-1
county,0.3375747927375652,-1,0.45177173822408867,-1,0.3628349117603229,0.28047848667035524,-1,-1,0.4056508155256634,0.4317600260382297,-1,-1,-1,-1,-1,0.4830834804021832,-1,0.2798700272870104,-1,0.4890339551724565,0.3839113905482985,0.2617261163279211,0.39884822084140503,0.3955007439093112,-1,0.43096425367582036,-1,0.2357087952434187,0.14588300874734994,-1,-1,0.47572440277511463,0.581188543043159,0.2975066960671583,-1,0.4623909315796979,0.581188543043159,-1,0.334055526825354,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jim,0.3265569910782403,-1,0.3100787287523834,-1,0.088490793133008,0.27923111045477256,-1,-1,0.11854432175405982,0.16204507061182682,-1,-1,-1,-1,-1,0.18113030799751173,-1,0.06622236550314942,-1,0.16506142189451944,0.08816285824439463,0.1413539170891821,0.19525102536987604,0.16087151466449245,-1,0.08919710054847074,-1,0.06707317012833769,0.13835458349364305,-1,-1,0.17267995180206386,0.16419333572605554,0.027335886059875913,-1,0.07353638708377641,0.16419333572605554,-1,0.08238187501283722,-1
mcintyre,0.1120236120244642,-1,0.1802209776437389,-1,-0.0014930605137832842,0.0951530819171309,-1,-1,0.00887911339024694,0.04415949713935852,-1,-1,-1,-1,-1,0.03744678550960012,-1,-0.005688988982725629,-1,0.04283192372124256,-0.013083704480280067,0.16863253120676625,0.059943592012548064,0.04506053352507877,-1,-0.017317833544982175,-1,-0.004248932493672086,-0.012927693930891548,-1,-1,0.026581136484461254,0.0361904078647044,0.008266621254939599,-1,-0.023253542509695135,0.0361904078647044,-1,-0.048426284494192506,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
only,0.6746140955282817,-1,0.2817734916718577,-1,0.6013953397781124,0.39848168812400986,-1,-1,0.5555768770920817,0.4068790464388943,-1,-1,-1,-1,-1,0.5237536051781426,-1,0.4228410114814989,-1,0.5120908340952394,0.6344664889239733,0.46879715240891895,0.39974631495975155,0.5966079049353821,-1,0.741006186767596,-1,0.3882564037685772,0.31017872806819924,-1,-1,0.41713905645117677,0.5725376107913153,0.28147302370619787,-1,0.35401848939548153,0.5725376107913153,-1,0.5166092708152588,-1
premiership,0.2900330999977172,-1,0.4814468902144913,-1,0.29843417586722654,0.29468608616834313,-1,-1,0.3526127966625071,0.21949132810291017,-1,-1,-1,-1,-1,0.6708800869621088,-1,0.3316838760576304,-1,0.5982815293945231,0.3326245988625074,0.5192584744230246,0.6435073588023518,0.6305993483360363,-1,0.4691329748934939,-1,0.25868137177255557,0.39528198940986403,-1,-1,0.7455032339756015,0.859243631772061,0.6009490134275238,-1,0.7734673640507336,0.859243631772061,-1,0.46939787455191573,-1
boss,0.38814065746991155,-1,0.3393097273666881,-1,0.29956485306213354,0.4061011439183564,-1,-1,0.2115074538533056,0.22585064878236993,-1,-1,-1,-1,-1,0.43725880580385956,-1,0.15794726252012437,-1,0.35739606090071185,0.26122849456774155,0.15866744778542352,0.30763035190211074,0.2734442891913089,-1,0.36077041363306717,-1,0.10348751557500413,0.18114080465780835,-1,-1,0.3871689056467298,0.4693655276548093,0.1159663641686427,-1,0.2708126780740948,0.4693655276548093,-1,0.1812835575331374,-1
