model,peter,houston,whose,falkirk,side,lie,second,in,the,championship,and,jim,mcinally,whose,peterhead,are,third,in,league,one,are,also,nominated,.
ross,0.6773965401525591,0.7315569238565797,0.1966187667529058,0.3906254351987213,0.5073568074240155,0.2058151115021054,0.3801220486452366,-1,-1,0.37267763540923693,-1,0.5737641868954444,0.35442627221538925,0.1966187667529058,0.3343438626399715,-1,0.35456613705488627,-1,0.378527568162194,0.30985551821145085,-1,-1,0.10479641914011562,-1
county,0.4097738979704757,0.46989976649372955,0.29531921507433045,0.3571975444189399,0.6753626195021928,0.26159799592920985,0.46237156676567515,-1,-1,0.6253907879691545,-1,0.3410627731175553,0.08349513175348211,0.29531921507433045,0.1993452040236654,-1,0.45928485880057224,-1,0.581188543043159,0.4154945094269884,-1,-1,0.11879838303490065,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jim,0.6652461095304696,0.5654764419317672,0.1881180387420115,-0.03314774727972303,0.3025156230207192,0.022132684326781393,0.16506021480490518,-1,-1,0.17197239714170687,-1,1.0,0.2063188141114911,0.1881180387420115,0.31013510409414424,-1,0.16597169376785603,-1,0.16419333572605554,0.25530529120819867,-1,-1,0.1996892450747434,-1
mcintyre,0.3356956223413654,0.41937028429389533,0.048802764195987836,0.38036985066831797,0.09700481927090976,-0.027526313260383795,0.05703324529199194,-1,-1,0.06638932855154456,-1,0.5701909563192541,0.8312871638775324,0.048802764195987836,-0.301887001608411,-1,0.034490111660204326,-1,0.0361904078647044,0.09132070958334981,-1,-1,0.09750571497633986,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
only,0.3013422131939443,0.13544100316601138,0.46472844230147015,0.15645580291246197,0.5861525013241173,0.44850377746129655,0.5710707909657644,-1,-1,0.5462005979237874,-1,0.1328648415971838,-0.10219998383460904,0.46472844230147015,0.04090576408260549,-1,0.6615864649037235,-1,0.5725376107913153,0.7033371046625903,-1,-1,0.38460306360826546,-1
premiership,0.18497427775752606,0.22176067762270713,0.20591792311111434,0.14771151891773582,0.7093393907222126,0.34302894341496093,0.4688339045607448,-1,-1,0.884683576274949,-1,0.2593885435791168,-0.012138502276123786,0.20591792311111434,0.11584433659786875,-1,0.5994105941363983,-1,0.859243631772061,0.39916825558710967,-1,-1,0.18228297505348423,-1
boss,0.5793815596825613,0.48254145529834314,0.3173316507170265,0.22256783058182594,0.5628483070557703,0.0953011224531708,0.2998291071247978,-1,-1,0.42361283497618896,-1,0.6009304389787934,0.08870035436285661,0.3173316507170265,0.1151223267292556,-1,0.30906187572674293,-1,0.4693655276548093,0.2919921160698107,-1,-1,0.1781853253486375,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
running,0.2837979805354214,0.1413158442027489,0.45147637741837277,0.22440645843205698,0.5047447715977554,0.4214194283538262,0.5337681021849118,-1,-1,0.5127132969113679,-1,0.030215997072599254,-0.12780864052209995,0.45147637741837277,-0.02674812400956128,-1,0.6460942424327756,-1,0.45981673331623774,0.549316180459371,-1,-1,0.3381297712273117,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pfa,0.11850803665942211,0.13066967495555115,0.12364653007613124,0.38884144056523695,0.12957559004693386,-0.035376149419722225,0.12918111943723198,-1,-1,0.20051717209986641,-1,0.26459796635034727,0.7522021228998917,0.12364653007613124,-0.45976373167553275,-1,0.15286239356604392,-1,0.13791307064709046,0.13115751013617738,-1,-1,0.15921655341436403,-1
scotland,0.4515537675143926,0.3145189536485964,0.34035496257585074,0.1725910533334628,0.490889061780573,0.2749566254112088,0.4525508368276874,-1,-1,0.5161757509229384,-1,0.368932204878052,-0.023033960738321202,0.34035496257585074,0.08063548670685639,-1,0.533387048920506,-1,0.4349943324846127,0.5044377584175023,-1,-1,0.2935394254799897,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
