model,bairns,manager,peter,houston,told,bbc,scotland,:,``,i,am,thrilled,that,people,have,voted,for,me,and,it,has,come,as,a,surprise,.
ross,0.09603102498181104,0.5585173943305409,0.6773965401525591,0.7315569238565797,-1,0.3763319763052657,0.4762541141654778,-1,-1,-1,0.2289271243484251,0.1527016936158152,-1,0.17132844350009901,-1,0.27471444054965377,-1,0.2559495403014522,-1,-1,-1,0.23231812573303723,-1,-1,0.16102055709856744,-1
county,0.02141670742391133,0.5256787257763336,0.4097738979704757,0.46989976649372955,-1,0.33090779884045696,0.559195292611209,-1,-1,-1,0.2755915705676011,0.07903447128895913,-1,0.25860325920267,-1,0.3800499895816476,-1,0.19805955441763745,-1,-1,-1,0.337444767712759,-1,-1,0.15914198625545906,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jim,0.12180941517400912,0.6685878056430224,0.6652461095304696,0.5654764419317672,-1,0.42950912108492667,0.368932204878052,-1,-1,-1,0.34025825881027794,0.22061824493453197,-1,0.08805407562290557,-1,0.14700104647748047,-1,0.22405295718500728,-1,-1,-1,0.1260674509237334,-1,-1,0.13189265511193038,-1
mcintyre,0.04922073415613892,0.33772466426009307,0.3356956223413654,0.41937028429389533,-1,0.18762269392800401,0.1268323365266799,-1,-1,-1,0.12696987988484287,0.09848558370261096,-1,0.001325282381009596,-1,-0.01205781368043457,-1,0.07842633338351546,-1,-1,-1,-0.0014308727277045907,-1,-1,0.019074517794986257,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
only,0.06156301001760911,0.37715304101946223,0.3013422131939443,0.13544100316601138,-1,0.3604448969576779,0.5473237887637573,-1,-1,-1,0.38486799217218626,0.24805386476107683,-1,0.46693620839022254,-1,0.3712711870001413,-1,0.5025652489992023,-1,-1,-1,0.555006692350107,-1,-1,0.4532722574089034,-1
premiership,0.307507265523448,0.480268338753999,0.18497427775752606,0.22176067762270713,-1,0.20753968960675861,0.434662703120529,-1,-1,-1,0.22828187103961395,0.15938525810980053,-1,0.17171215952593644,-1,0.330085842654535,-1,0.17185186010603581,-1,-1,-1,0.3170753989167312,-1,-1,0.2442290200968047,-1
boss,0.31147963218467256,0.8911740909169482,0.5793815596825613,0.48254145529834314,-1,0.3832247200236335,0.3710241359323194,-1,-1,-1,0.32179040956308436,0.21986460054134815,-1,0.07747218935853106,-1,0.08402970120293951,-1,0.25153865103915574,-1,-1,-1,0.26823433673048336,-1,-1,0.2315501204516719,-1
