model,``,because,i,look,at,other,managers,and,the,resources,they,have,and,some,wonderful,jobs,are,being,done,.
ross,-1,0.22569329916378789,-1,0.2521038734020855,-1,-1,0.30074762769890206,-1,-1,0.22793235189522176,-1,-1,-1,-1,0.08218638400493927,0.08692405103784817,-1,-1,0.29786067172432595,-1
county,-1,0.34940699420147314,-1,0.31810466650809466,-1,-1,0.3581067441442971,-1,-1,0.28517367406693483,-1,-1,-1,-1,0.13034518790685246,0.14423592351148928,-1,-1,0.2473725510669852,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jim,-1,0.1543981952291016,-1,0.17864512518102071,-1,-1,0.4456654526469821,-1,-1,0.2559061266949705,-1,-1,-1,-1,0.1633536563007436,0.10702580397574835,-1,-1,0.1738077580919538,-1
mcintyre,-1,0.034451465610137566,-1,0.025472507689669133,-1,-1,0.11311058563321907,-1,-1,0.17427086886557086,-1,-1,-1,-1,0.05342318200551466,-0.027080466291462546,-1,-1,0.024358498364832948,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
only,-1,0.6084707798337543,-1,0.46159062276011886,-1,-1,0.46893191190766803,-1,-1,0.49739544778340417,-1,-1,-1,-1,0.39435739518267954,0.3688312970385563,-1,-1,0.5578331614324759,-1
premiership,-1,0.2678220151367867,-1,0.2983486863099546,-1,-1,0.5380378484120114,-1,-1,0.2523237133322942,-1,-1,-1,-1,0.14910590935452794,0.21189068511784637,-1,-1,0.22339400918000807,-1
boss,-1,0.2563889846810976,-1,0.2895283590200117,-1,-1,0.3549955035016661,-1,-1,0.25540389393888785,-1,-1,-1,-1,0.10561682522471794,0.21142726433932846,-1,-1,0.2932469226112613,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
running,-1,0.7094971863018481,-1,0.6395836586657504,-1,-1,0.39797522655792206,-1,-1,0.5822036536646676,-1,-1,-1,-1,0.4018568957875266,0.49200680386479156,-1,-1,0.5576773387518303,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pfa,-1,0.09459925819581227,-1,0.08032827203832249,-1,-1,0.18872660898453164,-1,-1,0.24715485534637516,-1,-1,-1,-1,0.08716742822672785,0.06294837659664676,-1,-1,0.07810655504218711,-1
scotland,-1,0.4931905056069511,-1,0.5221341486249622,-1,-1,0.49122894985549825,-1,-1,0.6336516042348826,-1,-1,-1,-1,0.2792111674943486,0.4300754033862908,-1,-1,0.4968089115253407,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
manager,-1,0.36966329471080794,-1,0.40161228915123814,-1,-1,0.4090929973639097,-1,-1,0.3956418706497429,-1,-1,-1,-1,0.22441876517054715,0.31077112206080026,-1,-1,0.4286898454467244,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,-1,0.597978168836868,-1,0.4751850827568235,-1,-1,0.41921023236088506,-1,-1,0.43930154755235296,-1,-1,-1,-1,0.4255902177442923,0.5119270939865214,-1,-1,0.4825738631816868,-1
award,-1,0.3695375525479274,-1,0.26442947506821324,-1,-1,0.360333773982908,-1,-1,0.3065018576014005,-1,-1,-1,-1,0.5157692741089555,0.2565950847168532,-1,-1,0.27798976870734937,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
