model,the,game,became,more,open,as,the,first,half,wore,on,with,both,sides,creating,a,number,of,chances,but,it,remained,1-0,at,the,break,.
macclesfield,-1,0.17036433497088432,0.014891210049508996,-1,0.08628899480319041,-1,-1,-1,0.4053430565610583,0.023067906454881437,-1,-1,0.09280166885272578,0.07198710749694448,0.046443125687565256,-1,0.035708687908370895,-1,0.06714140442386318,-1,-1,0.01919001293064393,0.21782901626394668,-1,-1,0.10819475816570834,-1
moved,-1,0.4631669817172315,0.44983793560442487,-1,0.48651246923634184,-1,-1,-1,0.5201114854832495,0.18191147953337017,-1,-1,0.5484526200661659,0.4684943981193488,0.2729928918082567,-1,0.41550793681117293,-1,0.35686823339161466,-1,-1,0.3911129114191274,0.3952909843044692,-1,-1,0.5007172993514494,-1
within,-1,0.41666050094409446,0.38262336344283643,-1,0.43811002277958244,-1,-1,-1,0.5004062082707617,0.08932764150255834,-1,-1,0.5472877164952985,0.42876480241887305,0.43822771919031545,-1,0.49615048090270975,-1,0.36093856402440616,-1,-1,0.41491573521659286,0.17250265634130602,-1,-1,0.4236075707943432,-1
three,-1,0.5072969814021521,0.3508814270730143,-1,0.489502901213268,-1,-1,-1,0.5517989989762694,0.26980307813741233,-1,-1,0.782026724854164,0.6070709305684476,0.40340143412798635,-1,0.6244694684891045,-1,0.517850487700319,-1,-1,0.33244587437282,0.398421146532959,-1,-1,0.4789218540411836,-1
points,-1,0.46270848218315896,0.19419005436333392,-1,0.4415241349796324,-1,-1,-1,0.614277244270505,0.2362722696407502,-1,-1,0.5880625020926448,0.5277907536272333,0.28322977913698066,-1,0.5104307824551445,-1,0.4380902432367917,-1,-1,0.3697915207256848,0.47870967688259136,-1,-1,0.5615631118342407,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
national,-1,0.3263072847718932,0.2704491960150115,-1,0.42154173077384927,-1,-1,-1,0.3329649537343444,0.08105673473775299,-1,-1,0.371644302910519,0.226169663859633,0.2066801174736841,-1,0.26627940749613344,-1,0.07281222395117115,-1,-1,0.21399779141879638,0.28320544309095097,-1,-1,0.20019496187990438,-1
league,-1,0.6451869507385654,0.30100262489011764,-1,0.4959855457459499,-1,-1,-1,0.5195915052072541,0.22167034289394183,-1,-1,0.543751429701584,0.5707976249526304,0.2881003803354225,-1,0.38357707029780885,-1,0.3768592545536533,-1,-1,0.24122121107187922,0.5769602992252085,-1,-1,0.4073499390887556,-1
play-off,-1,0.4271418847830837,0.1193715259095578,-1,0.423056847166295,-1,-1,-1,0.35421262439353607,0.2929177250619841,-1,-1,0.37691264091614407,0.4662597931512029,0.20792584325886498,-1,0.34985106910081476,-1,0.33216614017934476,-1,-1,0.22219944396129543,0.5486290744556956,-1,-1,0.31636761373310573,-1
spots,-1,0.23433668761848958,0.1435528800906195,-1,0.25758228196080024,-1,-1,-1,0.17772130803315322,0.43138059088701475,-1,-1,0.30722045596681913,0.3656804455662559,0.1834129534966954,-1,0.34437200878753504,-1,0.23631772823438457,-1,-1,0.26546757427931134,0.19665685068986594,-1,-1,0.22352328945702282,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
recording,-1,0.41321242862831564,0.34703968651589767,-1,0.36151852062805334,-1,-1,-1,0.25185249940352095,0.30547076406134155,-1,-1,0.3560202308597734,0.21896786031080806,0.4109342216794539,-1,0.3640007535640425,-1,0.30181683202997966,-1,-1,0.18742881350233276,0.12585698385297872,-1,-1,0.3006371675809656,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1-0,-1,0.4998277009787031,0.1836715183907267,-1,0.32812586121016474,-1,-1,-1,0.43178506933108896,0.19305913884536807,-1,-1,0.35071298804694917,0.28444795881686535,0.1413451158968364,-1,0.2593832281135936,-1,0.33372138425624653,-1,-1,0.11021925987578418,1.0,-1,-1,0.4584922964146322,-1
victory,-1,0.4779798645823793,0.3504887667212685,-1,0.3577307715074789,-1,-1,-1,0.4756536912776397,0.2415886341694755,-1,-1,0.4173641134152042,0.3669804865103957,0.24222880238836297,-1,0.29187560703127624,-1,0.3610726880516443,-1,-1,0.1877094236833151,0.7333066156654121,-1,-1,0.4250119796447738,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eastleigh,-1,0.1114623840515736,0.018171773054884932,-1,0.06435986162208285,-1,-1,-1,0.22114008867255808,0.044533328412217354,-1,-1,0.07013243107050682,0.06670341952508496,0.04207103514145627,-1,0.04502761716386272,-1,0.06880302103223579,-1,-1,-0.01086251467219812,0.15174891455969586,-1,-1,0.10877941969858718,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
