model,ben,close,replaces,sam,togwell,.
macclesfield,0.35186438000206244,0.14449018455566343,0.3861913964349426,0.23374257168928736,-0.38837260189257505,-1
moved,0.33411428199148774,0.5547289463264883,0.09023932792780665,0.31436671201797206,-0.2845483499521171,-1
within,0.09932819269159154,0.4748778409563683,0.015272718610937819,0.10290563955170595,-0.3364448568648508,-1
three,0.27312038097478286,0.4419446527182007,0.02383930752434238,0.24795931365405066,-0.3416664521856987,-1
points,0.300005396816329,0.4560329200425677,0.11399817722172001,0.26375860542890717,-0.2649479157715944,-1
of,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1
national,0.0975041982231849,0.24969982323120155,0.04262196220165926,0.15453323554872678,-0.25563032360007987,-1
league,0.20340234938465074,0.33418396204243983,-0.04869205374288077,0.20124987760174573,-0.29516076234943256,-1
play-off,-0.026980924141922547,0.2494954309827898,-0.21697657639009393,-0.05966732575958278,-0.29969274171799576,-1
spots,-0.004545180637573587,0.21519390494838775,-0.21465918541608264,-0.08375808230896298,-0.3434284947404196,-1
after,-1,-1,-1,-1,-1,-1
recording,0.15757144439370463,0.22270905459424817,-0.10205128454652024,0.05122998565012704,-0.39986229226712156,-1
a,-1,-1,-1,-1,-1,-1
1-0,0.19191409228352596,0.27764445004169414,0.026515737845981047,0.24542152454282884,-0.1555956298081298,-1
victory,0.1882180408772337,0.3096539422796931,0.03062552089510584,0.291253162048409,-0.20367111696832962,-1
over,-1,-1,-1,-1,-1,-1
eastleigh,0.22311736092931045,0.06002684113761181,0.18181113043521302,0.11784970848737186,-0.5390390174349133,-1
.,-1,-1,-1,-1,-1,-1
