model,scott,wilson,replaces,james,constable,.
macclesfield,0.34890221424409007,0.13548559882747502,0.3861913964349426,0.27985762506751033,0.03331367677813535,-1
moved,0.35747959131888574,0.3787226058766483,0.09023932792780665,0.3446831584250216,0.19486013955838888,-1
within,0.1134358474386733,0.1625687876324926,0.015272718610937819,0.17096919551855416,0.05195646153893707,-1
three,0.28460280829525375,0.33673552902091974,0.02383930752434238,0.3731906141020995,0.15291999476890528,-1
points,0.30325480972243146,0.27094948838067656,0.11399817722172001,0.3372951013660135,-0.005618272649714262,-1
of,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1
national,0.13347511676343848,0.21467130619906138,0.04262196220165926,0.197720433276535,0.2742054552018318,-1
league,0.24939607354208893,0.25275272325133147,-0.04869205374288077,0.24796890973380714,0.16702580962921987,-1
play-off,0.019894037651914886,0.015569688516309022,-0.21697657639009393,0.05599214793737728,-0.080199250041745,-1
spots,-0.03482444331610113,0.018265554459038658,-0.21465918541608264,-0.0318841698401966,-0.1321304687312559,-1
after,-1,-1,-1,-1,-1,-1
recording,0.18844135422563268,0.1982991141522069,-0.10205128454652024,0.18065410152413053,0.16158812584508186,-1
a,-1,-1,-1,-1,-1,-1
1-0,0.25021167081242757,0.23606428799066015,0.026515737845981047,0.22036438759430854,0.1148880827293437,-1
victory,0.28236657061011305,0.2953428408082397,0.03062552089510584,0.21819914394768058,0.12273754243428614,-1
over,-1,-1,-1,-1,-1,-1
eastleigh,0.18420347147774585,-0.0149043970679279,0.18181113043521302,0.15382486266196005,-0.023637809358463713,-1
.,-1,-1,-1,-1,-1,-1
