model,second,half,begins,eastleigh,0,macclesfield,town,1,.
macclesfield,0.2316756467119061,0.4053430565610583,0.44701003656385385,0.8767096205742496,-1,1.0,0.4844786928870841,-1,-1
moved,0.500141003815007,0.5201114854832495,0.32044864044946175,0.10107667274919963,-1,0.15574239342517981,0.4592471270833973,-1,-1
within,0.34242350681983247,0.5004062082707617,0.26440150751777813,0.06300142550389642,-1,0.07284687743458029,0.2662565077010568,-1,-1
three,0.4952335255742851,0.5517989989762694,0.3184342873632826,0.0853330767022138,-1,0.09320300363488654,0.3345210683892088,-1,-1
points,0.5279976342836515,0.614277244270505,0.37158392955859587,0.14137464344318262,-1,0.19438637004966453,0.3250716546650302,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1
national,0.31288918193137594,0.3329649537343444,0.29446032599781824,0.12089609812230662,-1,0.1731313879732187,0.3261310383921312,-1,-1
league,0.5232698350284973,0.5195915052072541,0.44636879005196717,0.17000594309460415,-1,0.2525617702974905,0.43712597891239824,-1,-1
play-off,0.45609590205863126,0.35421262439353607,0.3384014733676135,0.09165792561165631,-1,0.14954709839082092,0.2823847651158573,-1,-1
spots,0.1940825458392682,0.17772130803315322,0.12223103618081965,0.018079108060798044,-1,0.036265863042675095,0.12708754588656368,-1,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1
recording,0.32309422659846176,0.25185249940352095,0.34298404101923363,-0.024779944971945245,-1,-0.0018230921421931168,0.14193269259239538,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1
1-0,0.4568346125102092,0.43178506933108896,0.3460688354246759,0.15174891455969586,-1,0.21782901626394668,0.3079459143671579,-1,-1
victory,0.5307079081190952,0.4756536912776397,0.446945302164794,0.11641519395492861,-1,0.15517418703881625,0.28867169353633015,-1,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1
eastleigh,0.15742546781098898,0.22114008867255808,0.2647227930785637,1.0,-1,0.8767096205742496,0.22891521453337904,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1
