model,adam,dugdale,-lrb-,eastleigh,-rrb-,is,shown,the,yellow,card,.
macclesfield,0.31393177923920157,-0.38606975338620786,-1,0.8767096205742496,-1,-1,0.2770472858292691,-1,0.24668457187087522,0.18808903861932025,-1
moved,0.33273024616652047,0.10907880332628317,-1,0.10107667274919963,-1,-1,0.30473191028111324,-1,0.15847092749323965,0.11277669261046652,-1
within,0.07990570458092017,0.004149608476142097,-1,0.06300142550389642,-1,-1,0.23453632745098552,-1,0.15103631857885613,0.1140303862407196,-1
three,0.2446415260566488,0.07339871965198264,-1,0.0853330767022138,-1,-1,0.35578817191180223,-1,0.282936122179718,0.23538756210096756,-1
points,0.3267737287096515,-0.03586235882237543,-1,0.14137464344318262,-1,-1,0.3215507941007941,-1,0.3080395569828809,0.25958508530275004,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
national,0.1114692779206069,0.1451769108875307,-1,0.12089609812230662,-1,-1,0.37885584758986224,-1,0.34411350797599205,0.33556579797166664,-1
league,0.241036206388334,0.023127795658761663,-1,0.17000594309460415,-1,-1,0.27833071677234056,-1,0.20376363671909392,0.17471717199226022,-1
play-off,0.022584319889866977,-0.08681082909516702,-1,0.09165792561165631,-1,-1,0.08838923243115182,-1,0.16435410073810308,0.13745511449878467,-1
spots,-0.10006864624121015,-0.15352198923685467,-1,0.018079108060798044,-1,-1,0.13380146926703484,-1,0.20469519694046379,0.18308292429724804,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
recording,-0.013563581365200639,0.08267342937043609,-1,-0.024779944971945245,-1,-1,0.4079822353726611,-1,0.30585817656784875,0.348993271490202,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1-0,0.28870006829714145,0.04756620127191569,-1,0.15174891455969586,-1,-1,0.17532421592376057,-1,0.2121011822737815,0.19948306622717193,-1
victory,0.26627880852403285,0.07994935050631258,-1,0.11641519395492861,-1,-1,0.26788586120652425,-1,0.24837275873940623,0.2648808374150968,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eastleigh,0.25253770991051194,-0.5739618317651574,-1,1.0,-1,-1,0.15621355307099205,-1,0.14135853949232613,0.10240165369919685,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
