model,goal,!,eastleigh,0,macclesfield,town,1,.
macclesfield,0.32206496987667754,-1,0.8767096205742496,-1,1.0,0.4844786928870841,-1,-1
moved,0.4638393714478817,-1,0.10107667274919963,-1,0.15574239342517981,0.4592471270833973,-1,-1
within,0.322178051254166,-1,0.06300142550389642,-1,0.07284687743458029,0.2662565077010568,-1,-1
three,0.46861416636892117,-1,0.0853330767022138,-1,0.09320300363488654,0.3345210683892088,-1,-1
points,0.5997810039815062,-1,0.14137464344318262,-1,0.19438637004966453,0.3250716546650302,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1
national,0.25693922821710546,-1,0.12089609812230662,-1,0.1731313879732187,0.3261310383921312,-1,-1
league,0.5907914727523452,-1,0.17000594309460415,-1,0.2525617702974905,0.43712597891239824,-1,-1
play-off,0.42513453549242364,-1,0.09165792561165631,-1,0.14954709839082092,0.2823847651158573,-1,-1
spots,0.23902547496645388,-1,0.018079108060798044,-1,0.036265863042675095,0.12708754588656368,-1,-1
after,-1,-1,-1,-1,-1,-1,-1,-1
recording,0.28933441471106436,-1,-0.024779944971945245,-1,-0.0018230921421931168,0.14193269259239538,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1
1-0,0.5082825782834896,-1,0.15174891455969586,-1,0.21782901626394668,0.3079459143671579,-1,-1
victory,0.5567483370791394,-1,0.11641519395492861,-1,0.15517418703881625,0.28867169353633015,-1,-1
over,-1,-1,-1,-1,-1,-1,-1,-1
eastleigh,0.20011181317163895,-1,1.0,-1,0.8767096205742496,0.22891521453337904,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1
