model,danny,whitaker,replaces,rhys,browne,.
macclesfield,0.177580158926813,0.39056894430697686,0.3861913964349426,0.11827290512902489,0.16910832688671962,-1
moved,0.2861439980507019,-0.035172484236002166,0.09023932792780665,0.12975973914111727,0.08815094274609614,-1
within,0.04705703359939206,-0.17646586183389967,0.015272718610937819,-0.0623136246087137,-0.10195791589464531,-1
three,0.20526192534990617,-0.10089979443513464,0.02383930752434238,0.0494509195933186,0.024427780167652346,-1
points,0.21646718065645687,-0.0973809544170201,0.11399817722172001,0.06648186109528198,0.039397583248077295,-1
of,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1
national,0.15503729078064477,0.0437014062905402,0.04262196220165926,0.08572421856048251,-0.07521071168197446,-1
league,0.1765788101075747,-0.056510117618099764,-0.04869205374288077,0.04553166394177943,-0.043685696803277274,-1
play-off,-0.004603078051071741,-0.12472295872105277,-0.21697657639009393,-0.09389639714083642,-0.17490345950709396,-1
spots,-0.01648271916380173,-0.05383500636447036,-0.21465918541608264,-0.11213725720975298,-0.10445854207885974,-1
after,-1,-1,-1,-1,-1,-1
recording,0.0017867341249090396,-0.10379860686358389,-0.10205128454652024,0.015500907965971034,0.029428773017383558,-1
a,-1,-1,-1,-1,-1,-1
1-0,0.19331753539405439,-0.04431013564317876,0.026515737845981047,0.1075135913115417,0.0833210386079073,-1
victory,0.19368659778921615,-0.04914195787940634,0.03062552089510584,0.08643522756883648,0.08350219955874616,-1
over,-1,-1,-1,-1,-1,-1
eastleigh,0.05341045634079111,0.21383166836639245,0.18181113043521302,-0.16454148009764125,0.02832064465066353,-1
.,-1,-1,-1,-1,-1,-1
