model,the,chief,forecaster,said,a,greater,risk,of,localised,flooding,than,normal,might,be,expected,given,the,already,saturated,ground,following,weeks,of,heavy,rain,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
yellow,-1,0.16815397901972873,-0.0817459895054935,-1,-1,0.23699713169486913,0.3087918858312573,-1,-0.05159298627495512,0.06826744460049516,-1,0.219047579254098,0.1486613123668108,-1,0.10173416087763942,0.4042722393557463,-1,0.19670245717169366,0.09318421113278919,0.46088770729346074,0.21801975263145223,0.12598350001124503,-1,0.17389459207081148,0.22065393017345403,-1
`,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
aware,-1,0.3900643569145932,0.09404975678885963,-1,-1,0.43156438857070145,0.5021480639024929,-1,0.15282628369682394,0.2459942613197087,-1,0.35940766414269665,0.5123306314112519,-1,0.3954323682702374,0.47220927755382247,-1,0.5196764379459516,0.11114660362501805,0.33983493463765846,0.3126191576288251,0.269422082471539,-1,0.2637042081334562,0.261617113737161,-1
',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
weather,-1,0.13743207340311958,0.44903209080945883,-1,-1,0.3980804331933516,0.5203596147333024,-1,0.536019561054388,0.6451143272948286,-1,0.5147078228383561,0.382056223263213,-1,0.40675857772604107,0.37126811863626163,-1,0.29515153293631635,0.23780218868061098,0.37638321480932735,0.4526985320187593,0.3057835661185876,-1,0.49468800813012526,0.5840699639167375,-1
warning,-1,0.267083061306838,0.13797869362436777,-1,-1,0.38858800801987947,0.486835098417879,-1,0.2353250538800481,0.36993753135795826,-1,0.223928980401229,0.35948811696139993,-1,0.34274037027418647,0.4892397764444969,-1,0.34680652099117815,0.02768350898316485,0.3090266335706835,0.4230899222285889,0.3097361710884128,-1,0.4048793999202318,0.4969660352347458,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
re-introduced,-1,-0.31926622780335334,-0.06575036042034088,-1,-1,-0.13901834720350825,-0.03874804233657825,-1,0.25965205720711704,0.1219947830215874,-1,0.0028551116672923538,-0.039556241052463026,-1,-0.007128349639563103,0.047434849212705466,-1,0.04201730461421116,0.09811754490051106,-0.12384517331479472,-0.16180225590354702,-0.0839774433862015,-1,-0.03449787532795612,0.0544683332455046,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
parts,-1,0.20657651986158343,-0.046252578103372466,-1,-1,0.428794506654673,0.3939962124975065,-1,0.2965205153633379,0.5424876863210478,-1,0.377158877319691,0.4654810554956901,-1,0.3998260786024508,0.3129559664796122,-1,0.45977975451035036,0.17050214328269175,0.4947504487224592,0.2954130062239215,0.3396114916876508,-1,0.4422052743358451,0.42516987573366305,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wales,-1,0.5464070324182103,0.13500065164082797,-1,-1,0.5333844439089591,0.38833982168091474,-1,0.022919448197163628,0.3868642447403813,-1,0.31654828226104315,0.46073508033413013,-1,0.5186474298157624,0.46193453024247155,-1,0.4781251703125058,-0.03083235163170439,0.4539647390399588,0.44966064961933605,0.38049494281217244,-1,0.23490002684522915,0.29750453567123725,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sunday,-1,0.3076562303314718,0.01779296861885815,-1,-1,0.3023041880514865,0.21555684072650994,-1,-0.07107291853233466,0.30424098645495756,-1,0.3803132428981624,0.4011915148639754,-1,0.5333053449041946,0.3567400575881725,-1,0.2892692145370097,-0.10462356470378253,0.556508551305275,0.5732843753670814,0.5193718616905817,-1,0.3333623065377713,0.3860769076543855,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
