model,the,frenchman,was,one,of,the,most,promising,of,a,new,generation,of,formula,1,drivers,.
jules,-1,0.4189836207425266,-1,-0.15154452070002744,-1,-1,-1,-0.043078011810741446,-1,-1,-1,0.0003935508176039493,-1,0.05932955927039174,-1,-0.033542782449738295,-1
bianchi,-1,0.3681806464511641,-1,-0.0836673155807186,-1,-1,-1,-0.07086576585063287,-1,-1,-1,-0.031163718806932916,-1,-0.22038047840786734,-1,-0.014730306486113953,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
died,-1,0.2957964424256616,-1,0.45270678825661403,-1,-1,-1,0.22828573567876753,-1,-1,-1,0.2553819185241655,-1,0.17469232329461282,-1,0.44408256938563895,-1
aged,-1,0.2638138448669973,-1,0.38304112093644194,-1,-1,-1,0.19937675734906124,-1,-1,-1,0.23672402752531452,-1,0.21212486971062228,-1,0.39734371933610757,-1
25,-1,0.23216902647029913,-1,0.5016885329568898,-1,-1,-1,0.3049084511880864,-1,-1,-1,0.316550975947514,-1,0.3843935798032425,-1,0.40063616416042624,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
result,-1,0.23449013179637568,-1,0.5536573414405922,-1,-1,-1,0.5253582427307342,-1,-1,-1,0.3216866474537111,-1,0.347021680548634,-1,0.4635342690945854,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
head,-1,0.17440012843799235,-1,0.38967582539427303,-1,-1,-1,0.19094810526352646,-1,-1,-1,0.21764289708341422,-1,0.30770174292577446,-1,0.35812777100134885,-1
injuries,-1,0.20163791866000302,-1,0.38434775623850337,-1,-1,-1,0.22400103539175975,-1,-1,-1,0.06841378594820158,-1,0.13623368826659443,-1,0.373060100074764,-1
sustained,-1,0.28693215857651366,-1,0.30609165038483344,-1,-1,-1,0.3093534123067423,-1,-1,-1,0.10417840179049564,-1,0.11362382524832515,-1,0.3118858621474939,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
crash,-1,0.18347190460947083,-1,0.40190963911820377,-1,-1,-1,0.07092848553234965,-1,-1,-1,0.10759670367464003,-1,0.15171721177637754,-1,0.4999874336397281,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2014,-1,0.14150588124071584,-1,0.396417061368352,-1,-1,-1,0.33586387204419377,-1,-1,-1,0.2357775648711653,-1,0.42428060120231903,-1,0.34642500934975673,-1
japanese,-1,0.25037145323042087,-1,0.4799574182589398,-1,-1,-1,0.33054902623554394,-1,-1,-1,0.32963751428485266,-1,0.3906643822640319,-1,0.5981644770006662,-1
grand,-1,0.17120100167742403,-1,0.40573857472119257,-1,-1,-1,0.22459973181413084,-1,-1,-1,0.35213708183424886,-1,0.506369728693363,-1,0.3532662720403653,-1
prix,-1,0.019725847199509428,-1,0.2134454342740275,-1,-1,-1,0.13439504891203435,-1,-1,-1,0.21418153346431335,-1,0.4306874445970216,-1,0.25310231641518977,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
