model,it,is,never,easy,for,a,new,driver,in,a,struggling,team,to,prove,his,worth,but,bianchi,had,done,so,by,producing,performances,that,would,not,normally,be,expected,of,the,car,and,outclassing,his,team-mate,englishman,max,chilton,.
jules,-1,-1,-0.1343706001018965,-0.10332708461785822,-1,-1,-1,0.1868482475087465,-1,-1,-0.08455186292917061,-0.12684069763363004,-1,-0.0941792095967886,-1,-0.2631811229588119,-1,0.711174655003816,-1,-0.15527634992011663,-0.2280641214464385,-1,-0.07157564517195159,-0.06610005642056338,-1,-1,-1,-0.12211246782585494,-1,-0.25634984071636513,-1,-1,-0.050148079347132946,-1,0.014717989332102999,-1,0.21886750897382667,0.2526145264017967,0.7292755002743263,0.6785550797054634,-1
bianchi,-1,-1,-0.022932182230129827,-0.11722581701988632,-1,-1,-1,0.29453205374480274,-1,-1,-0.1352026026926878,-0.15404372592584692,-1,-0.03066077361595032,-1,-0.28368876817170796,-1,1.0,-1,-0.10910774031477555,-0.16721435042155508,-1,-0.20968696371705198,-0.04730970506409138,-1,-1,-1,-0.10277513099870261,-1,-0.17520844059818774,-1,-1,0.12000863910102133,-1,0.14615838013228244,-1,0.12884184210396332,0.26192772277178333,0.411752146314573,0.5280076382395544,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
died,-1,-1,0.38400537047917704,0.1154515800934055,-1,-1,-1,0.4898692053540099,-1,-1,0.2668355000912055,0.2678413179639074,-1,0.2034535656697929,-1,0.30372701187867435,-1,0.34504126336362617,-1,0.2920556672044181,0.36920730594062956,-1,0.13925200443652241,0.23664722140681138,-1,-1,-1,0.2603906312671702,-1,0.34207308120993596,-1,-1,0.47824733193269453,-1,-0.3550275508826479,-1,0.27788323043230556,0.3496868375468347,0.219181745310693,0.015043823184258787,-1
aged,-1,-1,0.2573581196087611,0.12281892620092905,-1,-1,-1,0.29834277645068086,-1,-1,0.24653919672587565,0.1990553780341595,-1,0.11379228064105329,-1,0.41374870553501797,-1,0.10165691727062764,-1,0.20478211475567587,0.2714869436885371,-1,0.20556848481395795,0.17542994543399104,-1,-1,-1,0.20132572116739778,-1,0.26320404237510997,-1,-1,0.26301585238976766,-1,-0.32672127714125065,-1,0.18074314863028085,0.3084752150226011,0.19118363471631417,0.013491920667581425,-1
25,-1,-1,0.3731417984699841,0.2744846619494399,-1,-1,-1,0.27049040323321016,-1,-1,0.3129726868945397,0.3287031652456016,-1,0.23074964067706727,-1,0.5554058005235134,-1,-0.03596215906986755,-1,0.3724072895426469,0.47499494883599347,-1,0.3404769887622058,0.3055420731811638,-1,-1,-1,0.32060853902078734,-1,0.5694878628248242,-1,-1,0.3403599918032947,-1,-0.5314665019192542,-1,0.23607565874276148,0.24559165697804886,0.2190165465358268,-0.14443208839722277,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
result,-1,-1,0.5701966310865103,0.5253942259805987,-1,-1,-1,0.36368653206158696,-1,-1,0.4445846521574872,0.46919704888262825,-1,0.5853845018774964,-1,0.49119320580673453,-1,-0.07215275048621428,-1,0.611871859353425,0.6670011038693539,-1,0.3456308041975338,0.5078253332476996,-1,-1,-1,0.48450931738329883,-1,0.6918362215060854,-1,-1,0.3637147100181224,-1,-0.5182149078668625,-1,0.16985163281606153,0.1947284661745463,0.12488214601709946,-0.264681378318385,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
head,-1,-1,0.284939737123022,0.17557611650119576,-1,-1,-1,0.40069141072281256,-1,-1,0.31300689792428593,0.41534550209239807,-1,0.1902226221735105,-1,0.19517847000239796,-1,0.10136638552969757,-1,0.35673500869822383,0.32335983055327877,-1,0.13331011867905307,0.27899960858394257,-1,-1,-1,0.1187855427922122,-1,0.2930860810740996,-1,-1,0.35126342370114005,-1,-0.3947561679966205,-1,0.3908654376901831,0.2038950095345431,0.2993086286329404,-0.08407652746336258,-1
injuries,-1,-1,0.3179389239298738,0.21624313678379048,-1,-1,-1,0.4383311087308155,-1,-1,0.2699342467031529,0.29694767216665774,-1,0.31284972543440226,-1,0.24657645531289574,-1,0.2900318481052484,-1,0.352014656304546,0.34177022210005314,-1,0.15395409225945722,0.4135217759060862,-1,-1,-1,0.20723012639477056,-1,0.3086300398267947,-1,-1,0.4393774984153427,-1,-0.29872043109984836,-1,0.12559451116480813,0.21631054860954524,0.14292647563734673,-0.13768168404529213,-1
