model,there,were,a,number,of,impressive,drives,from,bianchi,but,the,most,high,profile,was,his,taking,ninth,place,in,the,monaco,grand,prix,in,may,last,year,.
jules,-1,-1,-1,-0.1842442157240174,-1,-0.050223737884203645,0.09860786430939161,-1,0.711174655003816,-1,-1,-1,-0.1932054635401368,-0.026068629077289796,-1,-1,-0.2865883982819597,-0.014383926338950692,-0.22714844643311394,-1,-1,0.3078121913658678,0.0064423038329557425,0.06627142418434462,-1,-1,-1,-0.24009627378025922,-1
bianchi,-1,-1,-1,-0.10825276525550764,-1,-0.02978655514239592,0.00020481889489809557,-1,1.0,-1,-1,-1,-0.14779320472640833,-0.01426612228819546,-1,-1,-0.21647153066931724,0.013822176133943542,-0.1612531885924111,-1,-1,-0.029708333719615787,-0.05499864500240115,-0.05086344031115897,-1,-1,-1,-0.10894381174026235,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
died,-1,-1,-1,0.38812447230542046,-1,0.23100721597329665,0.17402424609536193,-1,0.34504126336362617,-1,-1,-1,0.22892708743393797,0.1899750423580635,-1,-1,0.4286886465689146,0.23118442412594054,0.29629617548885157,-1,-1,0.1563857860256448,0.273114543901569,0.13966292267344405,-1,-1,-1,0.5231575461836502,-1
aged,-1,-1,-1,0.4519265353032901,-1,0.22106414596531,0.10812720671388343,-1,0.10165691727062764,-1,-1,-1,0.19761948350732972,0.1828016407559716,-1,-1,0.42877994968241295,0.26641838210220725,0.2827045345684509,-1,-1,0.24456562760510014,0.1933848684605347,0.021763303968484582,-1,-1,-1,0.4367672054632765,-1
25,-1,-1,-1,0.5471013129464324,-1,0.3369228337295558,0.10329205787390461,-1,-0.03596215906986755,-1,-1,-1,0.4054036833648429,0.3678082142392155,-1,-1,0.5452112444387874,0.37395355621059,0.4430479706099313,-1,-1,0.2625053345862607,0.3560424877858487,0.14414234156761307,-1,-1,-1,0.7145793328262855,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
result,-1,-1,-1,0.48298845119948997,-1,0.5209101784971825,0.23248649636336727,-1,-0.07215275048621428,-1,-1,-1,0.4570690105672206,0.33144708576423954,-1,-1,0.5889127168979942,0.3654196288398115,0.5342264786854285,-1,-1,0.12959414730471086,0.3320880624880258,0.17870674766004935,-1,-1,-1,0.6485865537546801,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
head,-1,-1,-1,0.3173360937036587,-1,0.2347812524825995,0.09606318136404346,-1,0.10136638552969757,-1,-1,-1,0.31923515035128536,0.2551879605876728,-1,-1,0.3525609424334606,0.15510859763880935,0.20321939501088404,-1,-1,0.1955543808525274,0.2221603839570041,0.11690733542018616,-1,-1,-1,0.35752570635752545,-1
injuries,-1,-1,-1,0.3522590200581269,-1,0.3027046783196572,0.1273268364428295,-1,0.2900318481052484,-1,-1,-1,0.24824549043672683,0.1804983124393238,-1,-1,0.30786097694281755,0.20798640451688688,0.23937157295775902,-1,-1,0.11662099375243817,0.08549540517522547,0.0437294299233395,-1,-1,-1,0.3401417899867103,-1
sustained,-1,-1,-1,0.3166212039718235,-1,0.40256711779887033,0.27167247435222364,-1,0.2967308633974688,-1,-1,-1,0.29034292945022555,0.16483150332159346,-1,-1,0.28059629193036684,0.19745624215807378,0.21142399803058476,-1,-1,0.1159542837187979,0.1396966240477131,0.056608929410030595,-1,-1,-1,0.3335604929750857,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
crash,-1,-1,-1,0.34123006803101985,-1,0.16952272871518603,0.27060469888863214,-1,0.2526781314296076,-1,-1,-1,0.2237253416580065,0.13834632590022378,-1,-1,0.3784811819145608,0.18986422738887154,0.3594603347849761,-1,-1,0.15225389347706486,0.2843138070816539,0.1785356697947541,-1,-1,-1,0.3800531998055816,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2014,-1,-1,-1,0.44483802449478227,-1,0.3334327241443683,0.022249416269239153,-1,-0.03082892811945337,-1,-1,-1,0.3893898164601015,0.3636532111611753,-1,-1,0.5250294720710161,0.3496351741591164,0.469517479052072,-1,-1,0.20807791257230346,0.48549414682265235,0.2889365892720759,-1,-1,-1,0.7385635897457715,-1
japanese,-1,-1,-1,0.3993479649576077,-1,0.17499228764167318,0.0699585318788849,-1,0.05999496559919004,-1,-1,-1,0.22581315344350783,0.21491330781264095,-1,-1,0.37697759794411145,0.2755711465396514,0.26043151258177955,-1,-1,0.23484371818611627,0.5574482556589235,0.47798479805835414,-1,-1,-1,0.5154044570832125,-1
grand,-1,-1,-1,0.29241122782946194,-1,0.21477495043052353,-0.04301258616425674,-1,-0.05499864500240115,-1,-1,-1,0.1475854476799081,0.11282455823536175,-1,-1,0.34101236784177735,0.40502663248977067,0.3427154560398804,-1,-1,0.3213563968422566,1.0,0.83633051521162,-1,-1,-1,0.5016165318950649,-1
prix,-1,-1,-1,0.07612605400226635,-1,0.08476987349480569,-0.1373900266307404,-1,-0.05086344031115897,-1,-1,-1,-0.06975661384739507,-0.010324642236458015,-1,-1,0.14579565297705377,0.2096723859759464,0.18359734490149915,-1,-1,0.3281863868053897,0.83633051521162,1.0,-1,-1,-1,0.3207314534871426,-1
