model,in,doing,so,he,scored,marussia,'s,first,and,only,points,as,the,team,folded,at,the,end,of,2014,.
jules,-1,-0.16314725444584588,-0.2280641214464385,-1,0.00533292747596259,0.2912865243377043,-1,-1,-1,-0.2413768067697033,-0.2271221112701598,-1,-1,-0.12684069763363004,0.09536666994744625,-1,-1,-1,-1,-0.1400833937585162,-1
bianchi,-1,-0.17342781471479318,-0.16721435042155508,-1,0.0718032243197968,0.23704910936700851,-1,-1,-1,-0.15405087300046594,-0.20812595835069647,-1,-1,-0.15404372592584692,0.025975714625853463,-1,-1,-1,-1,-0.03082892811945337,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
died,-1,0.2819898537097343,0.36920730594062956,-1,0.49228329651654845,0.05874504470016517,-1,-1,-1,0.402747959497746,0.30443399353375833,-1,-1,0.2678413179639074,0.12848829281022378,-1,-1,-1,-1,0.548910898050957,-1
aged,-1,0.2611209598111882,0.2714869436885371,-1,0.6113070652603596,-0.11417403829946648,-1,-1,-1,0.46643144051141394,0.5397697749290296,-1,-1,0.1990553780341595,0.01861730700747377,-1,-1,-1,-1,0.5206327699267402,-1
25,-1,0.3531029822855938,0.47499494883599347,-1,0.6595782666355784,-0.18036922380310583,-1,-1,-1,0.6210551317491296,0.6329948573033615,-1,-1,0.3287031652456016,0.11892474443675805,-1,-1,-1,-1,0.7572837883448372,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
result,-1,0.5612446399895011,0.6670011038693539,-1,0.3535502453082262,-0.1518111709810246,-1,-1,-1,0.6342517668702562,0.4854357017950698,-1,-1,0.46919704888262825,0.1516082219967827,-1,-1,-1,-1,0.568226106888615,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
head,-1,0.3331419464748355,0.32335983055327877,-1,0.2719442665464087,0.12584106816355778,-1,-1,-1,0.3521067151161683,0.23626391294754234,-1,-1,0.41534550209239807,0.13442105916154556,-1,-1,-1,-1,0.29433636175334177,-1
injuries,-1,0.31545996974888735,0.34177022210005314,-1,0.3091988001994449,0.08082080333183528,-1,-1,-1,0.3695963585884956,0.27066479916330455,-1,-1,0.29694767216665774,0.16455833444073453,-1,-1,-1,-1,0.3326845065786679,-1
sustained,-1,0.2520761711025177,0.3005917579550892,-1,0.3493972330526185,0.054272822473126814,-1,-1,-1,0.33294750463882106,0.26964009687022283,-1,-1,0.2642047960826841,0.1581634425288021,-1,-1,-1,-1,0.3392596398546598,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
crash,-1,0.22971719535620316,0.31861523747495657,-1,0.25923162498446284,0.17952715855029788,-1,-1,-1,0.32865478363887557,0.25428974114496317,-1,-1,0.262816040781904,0.28364411354789243,-1,-1,-1,-1,0.4430450723424252,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2014,-1,0.26662294729009917,0.43286105239761796,-1,0.4568218298000729,0.023345102283900188,-1,-1,-1,0.5108247577378046,0.35340003963500055,-1,-1,0.4444527498079931,0.26512196575946556,-1,-1,-1,-1,1.0,-1
japanese,-1,0.29095785233018434,0.3102883964242533,-1,0.25643485649507214,0.17226596246195802,-1,-1,-1,0.4161646443958722,0.20030189384504316,-1,-1,0.38298386001534823,0.16502465939260746,-1,-1,-1,-1,0.47187117204834883,-1
grand,-1,0.12258938195927094,0.22704657217202973,-1,0.36962144424011334,0.26613598575733755,-1,-1,-1,0.37083854724664667,0.3225950061974241,-1,-1,0.40073866525673396,0.14812384572482773,-1,-1,-1,-1,0.48549414682265235,-1
prix,-1,0.012899904510629168,0.03645267443683731,-1,0.14478827846335107,0.23262792620600203,-1,-1,-1,0.16519927803320444,0.09877495904189071,-1,-1,0.24349917259746068,0.0526240828784329,-1,-1,-1,-1,0.2889365892720759,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
