model,they,now,race,as,manor,.
jules,-1,-1,-0.06696986191526522,-1,0.14155931375289577,-1
bianchi,-1,-1,-0.1130961230129639,-1,0.12304769570203444,-1
has,-1,-1,-1,-1,-1,-1
died,-1,-1,0.3188671990987981,-1,0.14035956938200322,-1
aged,-1,-1,0.24409652516560854,-1,-0.035684265565966156,-1
25,-1,-1,0.3881342582149132,-1,0.07395298132489703,-1
as,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1
result,-1,-1,0.5072062469907466,-1,0.10213817772804257,-1
of,-1,-1,-1,-1,-1,-1
head,-1,-1,0.25289100300951484,-1,0.3043893552648711,-1
injuries,-1,-1,0.28746036883495796,-1,0.13939299915975012,-1
sustained,-1,-1,0.29549672281667083,-1,0.10055016896205238,-1
in,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1
crash,-1,-1,0.4060064106773904,-1,0.23280760929437094,-1
during,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1
2014,-1,-1,0.4082711011884229,-1,0.15592459659741253,-1
japanese,-1,-1,0.35096897349198675,-1,0.31733776632796773,-1
grand,-1,-1,0.5785854775231947,-1,0.3467083747449875,-1
prix,-1,-1,0.43724603947705265,-1,0.2925916651440409,-1
.,-1,-1,-1,-1,-1,-1
