model,the,accident,that,led,to,bianchi,'s,death,came,in,an,unfortunate,combination,of,circumstances,in,a,difficult,wet,race,at,the,suzuka,track,.
jules,-1,0.051959918086461054,-1,-0.08571615109765474,-1,0.711174655003816,-1,0.0104948507769963,-0.10265400040476624,-1,-1,0.1337015582446801,0.06462375661028985,-1,-0.05983707485629797,-1,-1,-0.19622811516958993,0.05695261037329469,-0.06696986191526522,-1,-1,0.18825693835583535,-0.11922383412802318,-1
bianchi,-1,0.2063066916301467,-1,-0.009613740219777567,-1,1.0,-1,0.25811826853971254,-0.0006872979703791415,-1,-1,0.24981808385687265,-0.035171356321793246,-1,0.06057200939005203,-1,-1,-0.16977995276727476,0.050997620138955146,-0.1130961230129639,-1,-1,0.11491167990282147,-0.18547670999822885,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
died,-1,0.5802588472319802,-1,0.4502101810853576,-1,0.34504126336362617,-1,0.5362215016044009,0.47776001883084573,-1,-1,0.2573910037303515,0.13723707333746304,-1,0.24181958873933018,-1,-1,0.24924897459953566,0.18276116305593115,0.3188671990987981,-1,-1,-0.04581079788943887,0.2370183115673843,-1
aged,-1,0.28581273501743665,-1,0.22724755361000093,-1,0.10165691727062764,-1,0.3389273627757998,0.30879106899300235,-1,-1,0.12519118907547067,0.1363880925457197,-1,0.14919113736872902,-1,-1,0.17397218489090127,0.04624376436479416,0.24409652516560854,-1,-1,-0.11525990693587862,0.1817215032838504,-1
25,-1,0.3504762453836239,-1,0.40815342156866763,-1,-0.03596215906986755,-1,0.39413078012040237,0.4849500364278574,-1,-1,0.20272919192799121,0.22578828261461292,-1,0.2114555008186264,-1,-1,0.37783542663787417,0.179262564759733,0.3881342582149132,-1,-1,-0.059624623896183504,0.36104959315879825,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
result,-1,0.5226423239461055,-1,0.5426067595592138,-1,-0.07215275048621428,-1,0.44647345419411943,0.5778167727845513,-1,-1,0.4816936972269352,0.5576157419416091,-1,0.49728988641131067,-1,-1,0.6477342148517549,0.3649416440228407,0.5072062469907466,-1,-1,-0.08321998140266862,0.44371300686792003,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
head,-1,0.3502114441389349,-1,0.4239522534134652,-1,0.10136638552969757,-1,0.2955925023034929,0.3947799347283256,-1,-1,0.10886423581474003,0.16792529849568671,-1,0.15098707674664757,-1,-1,0.2848194301240402,0.10099017035955826,0.25289100300951484,-1,-1,-0.1335993186446387,0.29432771014689785,-1
injuries,-1,0.6091201235323839,-1,0.354786697008159,-1,0.2900318481052484,-1,0.401337353169929,0.3172956140542996,-1,-1,0.382882155820615,0.30940461945085285,-1,0.35712440271537205,-1,-1,0.31230269927709586,0.2949162956332212,0.28746036883495796,-1,-1,-0.09721861432233903,0.2451592250447261,-1
sustained,-1,0.5695254915523031,-1,0.42052883199520374,-1,0.2967308633974688,-1,0.3057579665268183,0.344866239225208,-1,-1,0.3795545921690673,0.35898531186831306,-1,0.27205931973800657,-1,-1,0.3116450525063642,0.32822886433279763,0.29549672281667083,-1,-1,-0.0797966344159946,0.2577615759205738,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
crash,-1,0.8592720892754389,-1,0.45407355101205216,-1,0.2526781314296076,-1,0.463130212760013,0.3965176092146494,-1,-1,0.3935881397395746,0.25799174441185013,-1,0.3863509785880843,-1,-1,0.2989450453726439,0.29506125510251446,0.4060064106773904,-1,-1,0.1614708051856606,0.35666287226972826,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2014,-1,0.41208261123898116,-1,0.5329306011176715,-1,-0.03082892811945337,-1,0.3681775924841487,0.49611948109037607,-1,-1,0.18308973691901875,0.21872335667434117,-1,0.2238031485241161,-1,-1,0.34026143404549636,0.24585155269554437,0.4082711011884229,-1,-1,0.03124800837299746,0.42393595335710366,-1
japanese,-1,0.325813166583959,-1,0.49880643014373827,-1,0.05999496559919004,-1,0.25608430626303447,0.3783399444350237,-1,-1,0.08187443826592344,0.23936960935404006,-1,0.059467975942796625,-1,-1,0.18686904250440706,0.011927766833974118,0.35096897349198675,-1,-1,-0.025229261459321917,0.3550057253634573,-1
grand,-1,0.2501854511531437,-1,0.3176435773782259,-1,-0.05499864500240115,-1,0.20645519509164767,0.312514685829123,-1,-1,0.04896838942781878,0.12373862806620117,-1,0.05275309107712678,-1,-1,0.14085372550855235,0.038803636504675776,0.5785854775231947,-1,-1,0.23030116873737572,0.427678459877042,-1
prix,-1,0.19594372366694013,-1,0.15478280081860352,-1,-0.05086344031115897,-1,0.06984909627887381,0.13404414714209167,-1,-1,-0.015311694233810957,-0.0100712717893634,-1,-0.03948211609576657,-1,-1,-0.06099687874925719,-0.0006803239008064121,0.43724603947705265,-1,-1,0.27634287518267864,0.2132690365808545,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
