model,during,the,lap,before,bianchi,'s,accident,sauber,'s,adrian,sutil,had,crashed,at,the,fast,uphill,dunlop,corner,.
jules,-1,-1,-0.0006745298161685565,-1,0.711174655003816,-1,0.051959918086461054,0.3722457520685667,-1,0.5102582103620233,0.4403014614454992,-1,0.09117500351568197,-1,-1,-0.02994192294738718,0.15741090533701096,0.3965822422092814,-0.02526647162099982,-1
bianchi,-1,-1,0.02611801884389331,-1,1.0,-1,0.2063066916301467,0.2507320088640542,-1,0.47838999534885074,0.43748337209939936,-1,0.23575552716902048,-1,-1,-0.18664796681904172,0.11477890284580039,0.2915376459954696,-0.05472159397452203,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
died,-1,-1,0.2456621741815208,-1,0.34504126336362617,-1,0.5802588472319802,0.04597508665975403,-1,0.28685044149451044,-0.17878353968331773,-1,0.5669368518999803,-1,-1,0.16666813794231394,-0.012152657636929964,0.0880524868765129,0.2280362603088666,-1
aged,-1,-1,0.2448200796928276,-1,0.10165691727062764,-1,0.28581273501743665,-0.02665481495177935,-1,0.18165502477561335,-0.23562711551870974,-1,0.2539821179230507,-1,-1,0.0921474545290929,-0.06365165739822709,0.18392240052196107,0.17882721499169807,-1
25,-1,-1,0.43267213294562,-1,-0.03596215906986755,-1,0.3504762453836239,-0.07397536031279817,-1,0.15243931424485901,-0.47580930436570634,-1,0.33329999415909994,-1,-1,0.2778636428265402,-0.1207975531318719,0.23448346544282694,0.3447520944004667,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
result,-1,-1,0.35458904057882457,-1,-0.07215275048621428,-1,0.5226423239461055,-0.015049129677706219,-1,0.048033871761938074,-0.5268929210777351,-1,0.20660346384940387,-1,-1,0.37101732403972076,0.10333812748972837,-0.006918024946134693,0.30305017850462823,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
head,-1,-1,0.18627001322672876,-1,0.10136638552969757,-1,0.3502114441389349,0.18475807719267168,-1,0.30988677587475666,-0.10780482248433665,-1,0.2858890348521861,-1,-1,0.31916961062042404,-0.1349366365469733,0.10188890763851366,0.2947285781156961,-1
injuries,-1,-1,0.17498763091630265,-1,0.2900318481052484,-1,0.6091201235323839,0.0923669078237983,-1,0.13514133515498417,-0.21860296084378028,-1,0.2768163924041892,-1,-1,0.16113509678099458,0.06893754406958441,-0.021668944060420525,0.2095950510071427,-1
sustained,-1,-1,0.27200020383184453,-1,0.2967308633974688,-1,0.5695254915523031,0.031253345738933236,-1,0.16725504249423306,-0.17477849835561732,-1,0.3030349694543981,-1,-1,0.21528059872408023,0.23831183840539416,0.09368031961984347,0.11869492742018084,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
crash,-1,-1,0.23286819839580275,-1,0.2526781314296076,-1,0.8592720892754389,0.12980578657093655,-1,0.12657942708811754,-0.3000933840353901,-1,0.6915285104526231,-1,-1,0.1573179690152069,0.20128153930537807,-0.08536568294194957,0.25781175762873476,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2014,-1,-1,0.3323828017918067,-1,-0.03082892811945337,-1,0.41208261123898116,0.08381192119744763,-1,0.07638878731569965,-0.46297576863007994,-1,0.3439228898385802,-1,-1,0.2583108019966347,-0.021605336393382357,0.14178069778829872,0.20322769748427016,-1
japanese,-1,-1,0.23852625110109515,-1,0.05999496559919004,-1,0.325813166583959,0.33508604041920087,-1,0.23564918943954605,-0.2367839188952361,-1,0.4224481378843087,-1,-1,0.2311406859477969,-0.13591854163504302,0.11534726807893791,0.17376774500889924,-1
grand,-1,-1,0.548006191184628,-1,-0.05499864500240115,-1,0.2501854511531437,0.2112496312936274,-1,0.07319260383358683,-0.3011376183523182,-1,0.2933136010156935,-1,-1,0.1388184593265558,0.05632884139789518,0.19016313782999772,0.14948150498175217,-1
prix,-1,-1,0.3827493938036315,-1,-0.05086344031115897,-1,0.19594372366694013,0.23329151489103783,-1,0.04801826546607002,-0.14371122625731036,-1,0.18021788912399728,-1,-1,0.036354886713657386,-0.10154016241562669,0.1237280542020659,0.04039457179905692,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
