model,a,recovery,vehicle,headed,out,to,pick,the,car,up,and,that,section,of,track,was,put,under,double,waved,yellow,caution,flags,meaning,a,hazard,bad,enough,that,drivers,should,be,prepared,to,stop,.
jules,-1,0.01058968171161645,0.011785347217998288,0.05485052553073533,-1,-1,-0.13091101215835432,-1,-0.050148079347132946,-1,-1,-1,-0.06910630890586189,-1,-0.11922383412802318,-1,-0.23784917009652062,-0.14656807309736508,-0.08334935287827672,0.07458667608276237,-0.1319653769916891,0.04758110477059285,0.12334956775017414,-0.1626223614940514,-1,-0.1881573768543061,-0.1845435159794906,-0.17888493324289345,-1,-0.033542782449738295,-0.24867443661181987,-1,-0.11371505355861511,-1,-0.14935532786966088,-1
bianchi,-1,0.0055745655556757034,0.02654646269552874,0.021658753271439513,-1,-1,-0.24222534536485663,-1,0.12000863910102133,-1,-1,-1,-0.017149189611917137,-1,-0.18547670999822885,-1,-0.2026628905125587,-0.09065439272034825,0.003946226087965021,-0.03388463219780857,-0.19438970177274206,0.0508242534592781,-0.04698499056640282,-0.14319877163846706,-1,0.048275070954453936,-0.21532004565986185,-0.17066095265435388,-1,-0.014730306486113953,-0.24276886176650558,-1,-0.1300046307138667,-1,-0.15595921856667494,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
died,-1,0.2121701257244657,0.4892313662331844,0.23887210388101776,-1,-1,0.09601126892633904,-1,0.47824733193269453,-1,-1,-1,0.4366087245029755,-1,0.2370183115673843,-1,0.3396181197031021,0.35077897318305606,0.3160348109974642,-0.014238362377537062,0.17894199882484207,0.2020813945273614,0.24777086245542002,0.4056125263046845,-1,0.16630984457846165,0.24999717417333145,0.15519736083218216,-1,0.44408256938563895,0.25587384696737137,-1,0.19017445614636752,-1,0.3560002023714681,-1
aged,-1,0.04325582795338423,0.2799204903112893,0.1733907460712809,-1,-1,0.12160123225024544,-1,0.26301585238976766,-1,-1,-1,0.45644704708469463,-1,0.1817215032838504,-1,0.2580280420435327,0.410425100297652,0.26856540340754353,-0.019170309839287025,0.16531180315317118,0.20257888508822397,0.2573859479789402,0.3739650136814566,-1,0.029166526156402917,0.14682552157016826,0.16561716822571526,-1,0.39734371933610757,0.23513187387094958,-1,0.17120374605127853,-1,0.22336632479665197,-1
25,-1,0.273577990990145,0.34979232729993126,0.3120322345807227,-1,-1,0.2886674568124804,-1,0.3403599918032947,-1,-1,-1,0.5544676834298363,-1,0.36104959315879825,-1,0.4606757587954785,0.47718340938209414,0.42864522255945037,-0.006901184498548707,0.23435115238380066,0.17564889847907272,0.24737478822765557,0.5496003452772769,-1,0.11087057703649505,0.30439472629318454,0.3319979654493814,-1,0.40063616416042624,0.3846763171244736,-1,0.32524393864870516,-1,0.335733235164121,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
result,-1,0.63892998398105,0.4313096967809369,0.2791337328616653,-1,-1,0.35396600897367125,-1,0.3637147100181224,-1,-1,-1,0.6050520037350778,-1,0.44371300686792003,-1,0.6518566536318796,0.47785229484087,0.4732118347226011,0.026609726825137292,0.28996911706005735,0.3010651671170739,0.2171329771953976,0.7322335133874134,-1,0.10875216988373637,0.615506725358147,0.5187873622901695,-1,0.4635342690945854,0.6081098510952645,-1,0.5709585430582312,-1,0.4826569978235695,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
head,-1,0.318878556968777,0.32440254490202936,0.35478340113427986,-1,-1,0.31906808725120395,-1,0.35126342370114005,-1,-1,-1,0.4010707763356631,-1,0.29432771014689785,-1,0.521961880523142,0.44202540433712145,0.22552718988892329,-0.02241925599958705,0.25141273358789085,0.13999073658703776,0.26518180117108914,0.29068048758500875,-1,0.14654510280411714,0.34386576637249555,0.2363101142021552,-1,0.35812777100134885,0.3584201565411276,-1,0.2883404544170103,-1,0.22854781225127374,-1
injuries,-1,0.40442125543355334,0.4378522547268593,0.18045352089825184,-1,-1,0.14705558991548628,-1,0.4393774984153427,-1,-1,-1,0.46174944020422204,-1,0.2451592250447261,-1,0.3459641103743275,0.306947422149926,0.25265488443513484,0.0019968595728226957,0.2815101664022842,0.2543587375183889,0.29534878318279156,0.3813754392390174,-1,0.08745045843142374,0.42601983613497796,0.25963829155769713,-1,0.373060100074764,0.26726835055744047,-1,0.2752531514726825,-1,0.2206161678122831,-1
sustained,-1,0.5579289513062834,0.41918374721822693,0.22828754818267272,-1,-1,0.04950887038191176,-1,0.3700131350693231,-1,-1,-1,0.48218496061042404,-1,0.2577615759205738,-1,0.3644197905417157,0.43150464051676685,0.2745657208173231,0.05627152573229066,0.2316096542869195,0.3928045921755807,0.24211915370576653,0.33605474734513274,-1,0.07485435449977251,0.35388235367441223,0.2589932626578195,-1,0.3118858621474939,0.2524238837531465,-1,0.2481013231319995,-1,0.23722801583659092,-1
