model,on,the,next,lap,on,worn,tyres,bianchi,arrived,at,the,corner,and,lost,control,and,the,car,speared,off,the,track,and,collided,with,the,recovery,vehicle,which,destroyed,the,marussia,'s,roll,hoop,a,device,that,protects,the,driver,'s,head,.
jules,-1,-1,-0.21511490349483786,-0.0006745298161685565,-1,0.13831217487250336,0.15466254946060798,0.711174655003816,-0.03723552524681817,-1,-1,-0.02526647162099982,-1,-0.19918138131310648,-0.15638672986019064,-1,-1,-0.050148079347132946,-0.04166189340688353,-0.14708129045679352,-1,-0.11922383412802318,-1,0.1832873195027831,-1,-1,0.01058968171161645,0.011785347217998288,-1,-0.04219277883082273,-1,0.2912865243377043,-1,0.11481596590391596,0.3286913759827643,-1,-0.13729615084172986,-1,-0.0819120415425365,-1,0.1868482475087465,-1,0.04838702527790717,-1
bianchi,-1,-1,-0.14301621894510386,0.02611801884389331,-1,0.11390047502066847,0.08313821351486095,1.0,0.1312905302206252,-1,-1,-0.05472159397452203,-1,-0.0542507353499706,-0.18126599697791002,-1,-1,0.12000863910102133,0.09548953418509087,-0.11354473893121209,-1,-0.18547670999822885,-1,0.21398122397213504,-1,-1,0.0055745655556757034,0.02654646269552874,-1,0.05145736721600491,-1,0.23704910936700851,-1,0.006302189628559218,0.24449737677065586,-1,-0.29139826260122526,-1,-0.2123510978319243,-1,0.29453205374480274,-1,0.10136638552969757,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
died,-1,-1,0.2968773455684349,0.2456621741815208,-1,0.17820020519253643,0.09901670305130017,0.34504126336362617,0.5951286430849118,-1,-1,0.2280362603088666,-1,0.513879028491315,0.28565902042010505,-1,-1,0.47824733193269453,-0.3466490275162708,0.3835118153174022,-1,0.2370183115673843,-1,0.40852189295280117,-1,-1,0.2121701257244657,0.4892313662331844,-1,0.39704418634833427,-1,0.05874504470016517,-1,0.1001842107659684,-0.22054166409132847,-1,0.09043793950521672,-1,0.01228013559812613,-1,0.4898692053540099,-1,0.45687850800918817,-1
aged,-1,-1,0.27519226427335086,0.2448200796928276,-1,0.14118107732745355,0.06538021810243844,0.10165691727062764,0.323050204561792,-1,-1,0.17882721499169807,-1,0.46067507972076416,0.19126872152699037,-1,-1,0.26301585238976766,-0.17551183485011546,0.2798363101314659,-1,0.1817215032838504,-1,0.2314623769403623,-1,-1,0.04325582795338423,0.2799204903112893,-1,0.2453111600249186,-1,-0.11417403829946648,-1,0.01075328512165974,-0.11390864132836143,-1,0.029207853324503708,-1,0.05395568434567244,-1,0.29834277645068086,-1,0.22696470865070928,-1
25,-1,-1,0.530042909628124,0.43267213294562,-1,0.14054141599816605,0.1353519478695736,-0.03596215906986755,0.45841450381693993,-1,-1,0.3447520944004667,-1,0.5752141438676006,0.31293432762677853,-1,-1,0.3403599918032947,-0.42744013038440376,0.44857947847623336,-1,0.36104959315879825,-1,0.19250964386882663,-1,-1,0.273577990990145,0.34979232729993126,-1,0.3347026857142106,-1,-0.18036922380310583,-1,0.13835717793203117,-0.2721933022493461,-1,0.21454923378547375,-1,0.07545748490614379,-1,0.27049040323321016,-1,0.3203343836817151,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
result,-1,-1,0.5399741497585617,0.35458904057882457,-1,0.1995608449136166,0.17395749307155994,-0.07215275048621428,0.32311285313308846,-1,-1,0.30305017850462823,-1,0.5834538288478041,0.51224957861666,-1,-1,0.3637147100181224,-0.48407662703794285,0.41447049434836813,-1,0.44371300686792003,-1,0.09612337058093645,-1,-1,0.63892998398105,0.4313096967809369,-1,0.3381093440348184,-1,-0.1518111709810246,-1,0.210428458650604,-0.3402501722335276,-1,0.31659631496538154,-1,0.22935152343601084,-1,0.36368653206158696,-1,0.43819928563216415,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
head,-1,-1,0.33896619234520486,0.18627001322672876,-1,0.18733191199195875,0.12050071023963449,0.10136638552969757,0.22728346445117187,-1,-1,0.2947285781156961,-1,0.40473632661403847,0.3601668850979869,-1,-1,0.35126342370114005,-0.4095073971308292,0.41263790132407696,-1,0.29432771014689785,-1,0.14818309473991675,-1,-1,0.318878556968777,0.32440254490202936,-1,0.19872175013600846,-1,0.12584106816355778,-1,0.3381255104635106,-0.3311229616191542,-1,0.14409494491141472,-1,-0.04486716501746457,-1,0.40069141072281256,-1,1.0,-1
injuries,-1,-1,0.21183087588940108,0.17498763091630265,-1,0.31066374314261713,0.19379296958856407,0.2900318481052484,0.27471051997049023,-1,-1,0.2095950510071427,-1,0.3521217615118256,0.2777440381407412,-1,-1,0.4393774984153427,-0.24081237076828566,0.29179848935634023,-1,0.2451592250447261,-1,0.286991225996027,-1,-1,0.40442125543355334,0.4378522547268593,-1,0.30654950879857945,-1,0.08082080333183528,-1,0.10397390882814295,-0.19553941571512268,-1,0.09707540987079977,-1,-0.04740223352529127,-1,0.4383311087308155,-1,0.6362407850655214,-1
sustained,-1,-1,0.20335599532794757,0.27200020383184453,-1,0.3064981705948562,0.20101222912512517,0.2967308633974688,0.20392588415460267,-1,-1,0.11869492742018084,-1,0.3127969677483482,0.35091699942279764,-1,-1,0.3700131350693231,-0.21993147433046945,0.2639240459297848,-1,0.2577615759205738,-1,0.23413621840148635,-1,-1,0.5579289513062834,0.41918374721822693,-1,0.2123907916213572,-1,0.054272822473126814,-1,0.12350346218019381,-0.06453079438883491,-1,0.0807309431426454,-1,0.04378431311674391,-1,0.458845980630184,-1,0.5334457113834121,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
crash,-1,-1,0.2749591052845539,0.23286819839580275,-1,0.190532097245262,0.17616798201074824,0.2526781314296076,0.4528425794993579,-1,-1,0.25781175762873476,-1,0.33626255899438573,0.3506443508294722,-1,-1,0.6565063925871062,-0.25875996152878766,0.33865159344424933,-1,0.35666287226972826,-1,0.5637501218612531,-1,-1,0.29035669184131074,0.6852319982978822,-1,0.406752475892048,-1,0.17952715855029788,-1,0.18117038400482088,-0.06507405193480542,-1,0.22561054509413192,-1,0.12644219452286865,-1,0.599424693926214,-1,0.3237744460650034,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2014,-1,-1,0.47813082805130946,0.3323828017918067,-1,0.10211811032646101,0.10484535995088817,-0.03082892811945337,0.45691714319310717,-1,-1,0.20322769748427016,-1,0.5005577937296027,0.3423806421465818,-1,-1,0.37291897619140435,-0.49274585951987304,0.31551563238684144,-1,0.42393595335710366,-1,0.16126664812083036,-1,-1,0.36953414086585,0.3517895813678682,-1,0.2730395531062215,-1,0.023345102283900188,-1,0.086159822225644,-0.21607680236271576,-1,0.18738251981996523,-1,0.1540174639392462,-1,0.29499993454238194,-1,0.29433636175334177,-1
