model,bianchi,suffered,massive,head,injuries,.
jules,0.711174655003816,0.0732913950357772,-0.10956289797146201,0.04838702527790717,0.04716085401003889,-1
bianchi,1.0,0.293272143935564,-0.08909436870625909,0.10136638552969757,0.2900318481052484,-1
has,-1,-1,-1,-1,-1,-1
died,0.34504126336362617,0.6305241249985529,0.1962421409252728,0.45687850800918817,0.6104734843504158,-1
aged,0.10165691727062764,0.355902885359766,0.052929673310962655,0.22696470865070928,0.3571709029558996,-1
25,-0.03596215906986755,0.3669176037644948,0.240989630642388,0.3203343836817151,0.3389289148885555,-1
as,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1
result,-0.07215275048621428,0.5445685790077054,0.6038749703217827,0.43819928563216415,0.5316485453479568,-1
of,-1,-1,-1,-1,-1,-1
head,0.10136638552969757,0.5508668614814529,0.29006009119709875,1.0,0.6362407850655214,-1
injuries,0.2900318481052484,0.7965944359283732,0.3434043276362536,0.6362407850655214,1.0,-1
sustained,0.2967308633974688,0.8138171162852724,0.4607411300707813,0.5334457113834121,0.801684313510871,-1
in,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1
crash,0.2526781314296076,0.5160341204344422,0.38600971799122274,0.3237744460650034,0.5620553379399686,-1
during,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1
2014,-0.03082892811945337,0.386596000041165,0.2927908363745868,0.29433636175334177,0.3326845065786679,-1
japanese,0.05999496559919004,0.30267905565485065,0.31223239311755013,0.3770510086113039,0.20901767936531845,-1
grand,-0.05499864500240115,0.2103481800934044,0.2408953454129017,0.2221603839570041,0.08549540517522547,-1
prix,-0.05086344031115897,0.05432034466166269,0.06771305608152378,0.11690733542018616,0.0437294299233395,-1
.,-1,-1,-1,-1,-1,-1
