model,after,an,operation,he,was,placed,in,intensive,care,but,he,succumbed,three,quarters,of,a,year,later,.
jules,-1,-1,-0.036108963473677314,-1,-1,-0.14029248650697612,-1,-0.08284326989213353,-0.24367108327851228,-1,-1,0.26039664124635764,-0.2153256749501702,-0.19249234207595833,-1,-1,-0.24009627378025922,-0.15689492839977537,-1
bianchi,-1,-1,0.02458779361144592,-1,-1,-0.06138204019311333,-1,-0.05134729411215133,-0.21651799023275187,-1,-1,0.3792178805048152,-0.08008750645519624,-0.04432677832389609,-1,-1,-0.10894381174026235,0.10138786075631456,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
died,-1,-1,0.3754062626653183,-1,-1,0.2880137116237935,-1,0.2552049142481221,0.33239972804160733,-1,-1,0.21765355694737565,0.5316611407305385,0.3801979533304011,-1,-1,0.5231575461836502,0.6753850660490469,-1
aged,-1,-1,0.19909631067897982,-1,-1,0.31792775350353764,-1,0.10544615090932907,0.2662819566558323,-1,-1,0.021449624258846556,0.5977676448472243,0.4814668469495247,-1,-1,0.4367672054632765,0.43181326391146957,-1
25,-1,-1,0.31368654510595273,-1,-1,0.38027159538522615,-1,0.15319804422251437,0.33241313803845685,-1,-1,-0.02232539777502418,0.673801796680264,0.5067374916951852,-1,-1,0.7145793328262855,0.6221276453251985,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
result,-1,-1,0.4361578284516179,-1,-1,0.42548466109309,-1,0.2518189953211728,0.4470185519652061,-1,-1,0.06724071224454431,0.5078483781527391,0.359013692805471,-1,-1,0.6485865537546801,0.5165703408753102,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
head,-1,-1,0.22372928652142154,-1,-1,0.3696871321241393,-1,0.19108766189770976,0.3579262776143981,-1,-1,0.10918922161413236,0.35136761808601213,0.1419712154449605,-1,-1,0.35752570635752545,0.3930996185967185,-1
injuries,-1,-1,0.33402069398546386,-1,-1,0.328122568430106,-1,0.183587963167676,0.25155455550611205,-1,-1,0.30394320211806103,0.40769236030309697,0.3417672451077267,-1,-1,0.3401417899867103,0.43551255599572614,-1
sustained,-1,-1,0.42039716177007214,-1,-1,0.41148963901407054,-1,0.19893100534986696,0.16613473879917806,-1,-1,0.31710905761040775,0.3335432868898017,0.30191894378826634,-1,-1,0.3335604929750857,0.3275789871751844,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
crash,-1,-1,0.5594430454099072,-1,-1,0.2928678514075007,-1,0.25943114433210746,0.301415120600558,-1,-1,0.09647228975954902,0.42459498285008257,0.264817848034427,-1,-1,0.3800531998055816,0.4991455643197842,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2014,-1,-1,0.4050593066435093,-1,-1,0.317377314591926,-1,0.1362905848967615,0.2814407501264079,-1,-1,-0.0032149410348640828,0.48361973342024744,0.300670814468198,-1,-1,0.7385635897457715,0.5671454149937252,-1
japanese,-1,-1,0.3640448481298445,-1,-1,0.30429824770543246,-1,0.18877026823611065,0.30104916842171514,-1,-1,-0.009601003805709496,0.4643790730865064,0.24846500704021357,-1,-1,0.5154044570832125,0.40812262931100374,-1
grand,-1,-1,0.2539915270689873,-1,-1,0.1795355261292203,-1,0.1339734307266297,0.11574449553502986,-1,-1,0.010996467440347102,0.5277170344991587,0.3587376185201241,-1,-1,0.5016165318950649,0.38956470809482047,-1
prix,-1,-1,0.19082589949977968,-1,-1,0.03567820034095126,-1,0.07726082556835767,0.017411412020958306,-1,-1,-0.04594000647969021,0.2998859463368402,0.21436089838706973,-1,-1,0.3207314534871426,0.262801438342684,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
