model,in,only,34,races,he,had,done,enough,with,the,back-of-the-grid,marussia,team,to,suggest,he,had,a,bright,future,in,the,sport,.
jules,-1,-0.2413768067697033,0.00806261632572769,-0.08457425035376631,-1,-1,-0.15527634992011663,-0.17888493324289345,-1,-1,0.051500184589495346,0.2912865243377043,-0.12684069763363004,-1,-0.15463084225975,-1,-1,-1,0.27523520681671365,-0.13627796688977,-1,-1,-0.1415248322634437,-1
bianchi,-1,-0.15405087300046594,0.0866468885533499,-0.00631177436080077,-1,-1,-0.10910774031477555,-0.17066095265435388,-1,-1,-0.08678131534929312,0.23704910936700851,-0.15404372592584692,-1,-0.10073868956525756,-1,-1,-1,-0.0016958009064447221,-0.16428843866451648,-1,-1,-0.28367627311092525,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
died,-1,0.402747959497746,0.5545993928014409,0.3939641700924219,-1,-1,0.2920556672044181,0.15519736083218216,-1,-1,-0.5319338701788645,0.05874504470016517,0.2678413179639074,-1,0.32084014268388517,-1,-1,-1,0.22405770170853123,0.17038651430744345,-1,-1,0.19490435756960323,-1
aged,-1,0.46643144051141394,0.7597619405694686,0.44328273283963804,-1,-1,0.20478211475567587,0.16561716822571526,-1,-1,-0.440578693396797,-0.11417403829946648,0.1990553780341595,-1,0.17615966178564424,-1,-1,-1,0.15159645987222692,0.08189641440292816,-1,-1,0.15884761351819032,-1
25,-1,0.6210551317491296,0.8193820957440058,0.4890759539381011,-1,-1,0.3724072895426469,0.3319979654493814,-1,-1,-0.6120767921253232,-0.18036922380310583,0.3287031652456016,-1,0.346511773593263,-1,-1,-1,0.20224922658834132,0.31341300083480905,-1,-1,0.3595006940623422,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
result,-1,0.6342517668702562,0.4328465990560111,0.3836338083017201,-1,-1,0.611871859353425,0.5187873622901695,-1,-1,-0.532116177813152,-0.1518111709810246,0.46919704888262825,-1,0.5947152840042533,-1,-1,-1,0.36076042370637196,0.6136028453900322,-1,-1,0.4445439114353791,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
head,-1,0.3521067151161683,0.299299667161661,0.16451562849322732,-1,-1,0.35673500869822383,0.2363101142021552,-1,-1,-0.2681836370274153,0.12584106816355778,0.41534550209239807,-1,0.26369559918024366,-1,-1,-1,0.28820325951178727,0.35505184054546324,-1,-1,0.4656790808660326,-1
