model,the,findings,were,published,on,tuesday,by,statistics,canada,.
hate,-1,0.2618013759064205,-1,0.193982891100825,-1,0.24214081143788357,-1,0.28419069462210067,0.20376409210678514,-1
crimes,-1,0.37462980237968235,-1,0.24882398759835478,-1,0.2514821621806953,-1,0.3204990976300086,0.33567904593027476,-1
reported,-1,0.4584056913834357,-1,0.626841899128896,-1,0.5685242592605972,-1,0.54164270485121,0.39683903406717036,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
canada,-1,0.3152862629982047,-1,0.3608372591789093,-1,0.5369679253970462,-1,0.32126802667427,1.0,-1
rose,-1,0.13781791710223812,-1,0.2594440058192501,-1,0.36344134969027164,-1,0.34375951403641647,0.4013915005590756,-1
slightly,-1,0.23658075309288085,-1,0.24368317263108152,-1,0.24943798384059412,-1,0.12495736542123681,0.27794540171526394,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2015,-1,0.38500228764550903,-1,0.5814540099285941,-1,0.6435529735516454,-1,0.3586613214244756,0.5654191213174102,-1
driven,-1,0.21427070147659733,-1,0.29113634692713786,-1,0.262304255082472,-1,0.08062536735468973,0.3327540469350845,-1
mainly,-1,0.3382117878915738,-1,0.3701070465676173,-1,0.38965099044493345,-1,0.22919219520949374,0.6036614919710576,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
incidents,-1,0.40546635070158965,-1,0.3701062939179367,-1,0.351998283977225,-1,0.2666294181428903,0.31072644875359956,-1
targeting,-1,0.27826966245290763,-1,0.24087555292471863,-1,0.2982328895051092,-1,0.19907833865614033,0.422537473814818,-1
muslims,-1,0.16578308720685686,-1,0.07770529280261063,-1,0.19196459733955318,-1,0.21042009336435075,0.5347629119780116,-1
arabs,-1,-0.1191752388412235,-1,-0.12238077647209322,-1,-0.04160058161808333,-1,0.0731079039202448,0.1659404620369288,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
west,-1,0.1656103345199258,-1,0.2418412574279739,-1,0.5142663116662486,-1,0.29155749960252053,0.6299440329775726,-1
asians,-1,-0.056132990811121664,-1,-0.08096253852260937,-1,-0.16362013505010742,-1,0.0507418392846416,0.18479781724785016,-1
say,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
official,-1,0.517166553967799,-1,0.6722362012654054,-1,0.5900370661314955,-1,0.6191168624035742,0.4667075674383714,-1
figures,-1,0.7011647104270018,-1,0.7244631888843674,-1,0.4621237109834383,-1,0.6973311078529473,0.4391617003200279,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
