model,almost,40,%,of,all,reported,hate,crimes,were,considered,violent,incidents,which,could,include,assault,and,uttering,threats,.
hate,0.19755260932607643,0.18324481694807337,-1,-1,0.3222644746945289,0.35821153989331034,1.0,0.7560954175803669,-1,0.3412682801634316,0.637003584476827,0.5223214302022812,-1,-1,0.22204378142100745,0.373226113262892,-1,0.07874467417191533,0.4489712819556869,-1
crimes,0.28583360700533467,0.2994972181924991,-1,-1,0.36271287300655364,0.41605111865795064,0.7560954175803669,1.0,-1,0.43557687337070405,0.6700996290488088,0.6269882582628459,-1,-1,0.3824194490207009,0.5174557043870325,-1,0.057634273909896505,0.6005049244944001,-1
reported,0.5170886051340083,0.5678649943637406,-1,-1,0.33620833351208523,1.0,0.35821153989331034,0.41605111865795064,-1,0.32713057507207477,0.3847953628736941,0.5865721598021241,-1,-1,0.295300727636884,0.38504364156255577,-1,-0.23013174442424633,0.46360304820912,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
canada,0.3803064445337603,0.40836017829520577,-1,-1,0.4164892829573348,0.39683903406717036,0.20376409210678514,0.33567904593027476,-1,0.36896975711704894,0.29129799242438215,0.31072644875359956,-1,-1,0.37120086983789014,0.25449487325848186,-1,-0.42157183294569944,0.34635580374183683,-1
rose,0.5083118302418236,0.6205691595508448,-1,-1,0.23820963720413246,0.4991216915488994,0.1121801630770125,0.15295705736108367,-1,0.12091645940056106,0.13381510330690116,0.19320497554645222,-1,-1,0.2054918210854113,0.05436839376331193,-1,-0.45958859278259645,0.183438579178142,-1
slightly,0.7031941399112231,0.5750569628728183,-1,-1,0.3734169611236158,0.406812299579667,0.1601612877840093,0.18817458975256884,-1,0.3986397371336652,0.25764758904644824,0.3649074020101317,-1,-1,0.12940976741955235,0.10471023719820982,-1,-0.21388473858947976,0.2266734603397944,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2015,0.5300088050334378,0.6460320688569438,-1,-1,0.4054624863054648,0.5498202837447207,0.22348023336680733,0.34744776544902733,-1,0.35968572908660623,0.31499141347194115,0.43153896215406506,-1,-1,0.3957570550947649,0.3185841623193797,-1,-0.35361610458482007,0.28143202484898655,-1
driven,0.38127146380645494,0.36627643260220033,-1,-1,0.27490155832000807,0.36477558301243884,0.15297419463308481,0.15217109122499728,-1,0.40932666656027783,0.39035832957205074,0.25999896863893257,-1,-1,0.17743305107930107,0.24047507743187158,-1,-0.1552019507543052,0.2965732161854402,-1
