model,members,of,the,lgbt,community,reported,slightly,fewer,hate,crimes,in,2015,but,were,more,likely,to,be,the,victims,of,hate-related,violence,.
hate,0.19536311031498843,-1,-1,0.052683259594223375,0.27416451142208653,0.35821153989331034,0.1601612877840093,0.18604299528305668,1.0,0.7560954175803669,-1,0.22348023336680733,-1,-1,-1,0.38634979937866254,-1,-1,-1,0.4599538264859746,-1,-0.2738162157842565,0.5074430580191663,-1
crimes,0.2670568830044482,-1,-1,0.07208651399117516,0.2531296125457999,0.41605111865795064,0.18817458975256884,0.2594425859762899,0.7560954175803669,1.0,-1,0.34744776544902733,-1,-1,-1,0.4281832512966337,-1,-1,-1,0.6134618887958475,-1,-0.32882324291915044,0.5478970886665646,-1
reported,0.3728314400171312,-1,-1,0.08308328455839686,0.36007435754153294,1.0,0.406812299579667,0.42384085299742513,0.35821153989331034,0.41605111865795064,-1,0.5498202837447207,-1,-1,-1,0.49681583100128757,-1,-1,-1,0.4767920158412655,-1,-0.4938875764427628,0.3968678632481465,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
canada,0.3457494884630985,-1,-1,0.03804527394994173,0.41205946119446013,0.39683903406717036,0.27794540171526394,0.27070052706958325,0.20376409210678514,0.33567904593027476,-1,0.5654191213174102,-1,-1,-1,0.4794077523638124,-1,-1,-1,0.2950660226103945,-1,-0.628080248548863,0.3757884644155046,-1
rose,0.2262934613399592,-1,-1,0.06299988185114358,0.13822986489736122,0.4991216915488994,0.5808565148644061,0.3851752843991765,0.1121801630770125,0.15295705736108367,-1,0.5662838283329958,-1,-1,-1,0.35981222221875764,-1,-1,-1,0.11994713946455182,-1,-0.45705478927051213,0.20787758852015314,-1
slightly,0.2016882842542711,-1,-1,0.021481132724339935,0.18624731304379039,0.406812299579667,1.0,0.5814925475356265,0.1601612877840093,0.18817458975256884,-1,0.4075030771650783,-1,-1,-1,0.6627681966998267,-1,-1,-1,0.17185903555341098,-1,-0.5433692165402442,0.2877772655435462,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2015,0.43366003965155975,-1,-1,0.07148029904067776,0.3048415075601283,0.5498202837447207,0.4075030771650783,0.43746857404522377,0.22348023336680733,0.34744776544902733,-1,1.0,-1,-1,-1,0.5524539801650642,-1,-1,-1,0.42675368571357386,-1,-0.5697198213276615,0.39283229540604336,-1
driven,0.28960506511719797,-1,-1,0.07607369786961304,0.3146498017081223,0.36477558301243884,0.5552706875734374,0.2808718370201865,0.15297419463308481,0.15217109122499728,-1,0.33185462436379687,-1,-1,-1,0.45144127083242125,-1,-1,-1,0.3088875445195727,-1,-0.4974896915192968,0.3616467199000799,-1
mainly,0.5031721072188935,-1,-1,-0.01771767877030017,0.5660469141166028,0.5280708550944953,0.4967938856910409,0.5011190621382435,0.30409472656386605,0.3986988493587782,-1,0.44173963146780415,-1,-1,-1,0.6020924992921204,-1,-1,-1,0.511991462153178,-1,-0.6197544261196493,0.4556200364131582,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
incidents,0.30705381793370623,-1,-1,0.08641589364225732,0.29305669903900333,0.5865721598021241,0.3649074020101317,0.46229280501937575,0.5223214302022812,0.6269882582628459,-1,0.43153896215406506,-1,-1,-1,0.5042516518541544,-1,-1,-1,0.5161904638687109,-1,-0.35835356214581937,0.5847755549701731,-1
targeting,0.3906021892322893,-1,-1,0.1408511089308122,0.3984550324633884,0.39585019749663575,0.2937051099574236,0.3550963071909259,0.39531138078582306,0.44172238523662943,-1,0.3331400408186196,-1,-1,-1,0.5221154528511356,-1,-1,-1,0.5772843960307025,-1,-0.4688546671703371,0.5160995570999856,-1
muslims,0.48290028064524615,-1,-1,0.2306190803036673,0.4244675955405973,0.2680904131073675,0.26954532996109326,0.42883780757334367,0.3475692685020819,0.4094441104864426,-1,0.23611045791761986,-1,-1,-1,0.42391381830567176,-1,-1,-1,0.5104264784993394,-1,-0.4843967313837416,0.46205192144476337,-1
arabs,0.09988549860985962,-1,-1,0.02885091573944687,0.01968776833929009,0.04370616409256267,0.03752467048353714,0.20082273641061876,0.2033859058688896,0.1977273656806503,-1,0.11660631042206504,-1,-1,-1,0.02491712143153524,-1,-1,-1,0.17414929816195424,-1,-0.15169332725715812,0.2500366764829758,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
west,0.3369529929225472,-1,-1,0.09093856133273004,0.5302855471681398,0.3756856544265186,0.21478756535386867,0.2861829198202199,0.17783994622940602,0.21958564634478706,-1,0.47709805600743305,-1,-1,-1,0.37127914774975035,-1,-1,-1,0.2523314084253463,-1,-0.49147711564930896,0.2765885001170616,-1
asians,0.04274915236622956,-1,-1,-0.11672463368924335,0.17902646500267727,0.04588809312358566,0.040234859508344156,0.12104408919965659,0.045723228949065,0.07658020328113335,-1,-0.07946598643592151,-1,-1,-1,0.03145760376294093,-1,-1,-1,0.040360670982921065,-1,-0.09821567025653732,0.016615271624108474,-1
say,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
official,0.4766563262511925,-1,-1,0.03030134118516481,0.4331474080060953,0.6731942041726675,0.159258157597285,0.23510789564454848,0.2723921621002754,0.279001598240723,-1,0.5345636241393918,-1,-1,-1,0.4366700547752268,-1,-1,-1,0.3713656320450014,-1,-0.5167646783114082,0.26066181778683006,-1
figures,0.44946093422323985,-1,-1,0.05691422961900894,0.41885452114390864,0.7225229008364709,0.4210873274737781,0.46058580956652295,0.28198077576013314,0.38247465164703454,-1,0.6056078176948395,-1,-1,-1,0.605030708589011,-1,-1,-1,0.4356202368782087,-1,-0.5138906359258928,0.32945908278374025,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
