model,the,nccm,was,joined,by,other,groups,in,calling,for,more,funding,and,resources,for,police,forces,to,fight,hate,crimes,and,improve,reporting,.
hate,-1,-0.38308106776190964,-1,0.042233230241003006,-1,-1,0.34504988210753207,-1,0.3902055593815157,-1,-1,0.14806423228935883,-1,0.28531004895880896,-1,0.32355282629134763,0.3033039162219253,-1,0.39952370202834353,1.0,0.7560954175803669,-1,0.2008733090246977,0.4415731391137967,-1
crimes,-1,-0.447711162522584,-1,0.18046656989477716,-1,-1,0.3616610840466059,-1,0.35981139072446333,-1,-1,0.21326413613041728,-1,0.3105862203992489,-1,0.3461981626404468,0.350520987856453,-1,0.4577028979957676,0.7560954175803669,1.0,-1,0.2354627789507867,0.47641428166693567,-1
reported,-1,-0.5310013579285311,-1,0.3367170426096926,-1,-1,0.3377910521500205,-1,0.4851206958164267,-1,-1,0.3333398616200416,-1,0.3312145576209219,-1,0.5007526449916957,0.4111502856669367,-1,0.2578665049500626,0.35821153989331034,0.41605111865795064,-1,0.23714330174495613,0.7274281283624733,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
canada,-1,-0.7034970857519531,-1,0.504965605995466,-1,-1,0.32682118498625246,-1,0.4593630556848187,-1,-1,0.352684071590744,-1,0.37933802075150236,-1,0.3236956582100039,0.48410289139305895,-1,0.5690285844420407,0.20376409210678514,0.33567904593027476,-1,0.354477472248084,0.4790260880138374,-1
rose,-1,-0.45896532478364427,-1,0.31746137691251186,-1,-1,0.150860752136879,-1,0.24577947963281466,-1,-1,0.32442307779372925,-1,0.289049436322242,-1,0.20167246642338832,0.24660844758862588,-1,0.1651193797693361,0.1121801630770125,0.15295705736108367,-1,0.17909296463775048,0.46724582676253335,-1
slightly,-1,-0.46083120079554085,-1,0.16472209402542148,-1,-1,0.20578239618339644,-1,0.3016445188578165,-1,-1,0.3335196643879279,-1,0.3718275108567639,-1,0.13499071105918614,0.1668796705648372,-1,0.23684714700495024,0.1601612877840093,0.18817458975256884,-1,0.3672122624414115,0.5361400318650326,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2015,-1,-0.6000912620343124,-1,0.5652637201866155,-1,-1,0.26763696567538986,-1,0.4642505863421482,-1,-1,0.4788386277482637,-1,0.3055729039046049,-1,0.3429252370349558,0.3721276698488468,-1,0.4393135547161009,0.22348023336680733,0.34744776544902733,-1,0.3313581887162319,0.600509380891798,-1
driven,-1,-0.49151527635800374,-1,0.23722015731741408,-1,-1,0.25047767509550634,-1,0.4046456831961922,-1,-1,0.2860878990957937,-1,0.39110362856100456,-1,0.3285249374931972,0.32280684261364945,-1,0.3134969324634709,0.15297419463308481,0.15217109122499728,-1,0.3232179917930942,0.5069697826726808,-1
