model,the,annual,report,by,the,federal,statistics,agency,was,compiled,using,police,data,from,across,the,country,.
hate,-1,0.2358904483824492,0.3141715434079384,-1,-1,0.3066099895224451,0.28419069462210067,0.2571534901202571,-1,0.17936776793118614,0.30805468162168903,0.32355282629134763,0.29008515884579467,-1,0.19723573779137205,-1,0.24080283986844164,-1
crimes,-1,0.1869856645509772,0.33942726157837666,-1,-1,0.30735607848417446,0.3204990976300086,0.2703229187317512,-1,0.19510580385319642,0.3341458347849384,0.3461981626404468,0.2795017738940211,-1,0.23483224398154134,-1,0.3415024868270711,-1
reported,-1,0.5087966988006942,0.6032140030668295,-1,-1,0.4757524197387798,0.54164270485121,0.6743190594678203,-1,0.5406745058416733,0.4765052423570948,0.5007526449916957,0.5160288525283365,-1,0.3770466418617828,-1,0.40175468223026733,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
canada,-1,0.27605697909102367,0.3236390373037208,-1,-1,0.4767240022035826,0.32126802667427,0.3816496265917364,-1,0.16935010737702116,0.37048479905181275,0.3236956582100039,0.32235751599589535,-1,0.5125241831011778,-1,0.6575568861351865,-1
rose,-1,0.48186760631467185,0.31073562256327225,-1,-1,0.32505199902500026,0.34375951403641647,0.24822722739539804,-1,0.31991046667777134,0.18887611732363796,0.20167246642338832,0.3100561263113124,-1,0.3186328847700869,-1,0.2855919832458449,-1
slightly,-1,0.29049101478669836,0.2414858734390659,-1,-1,0.08652056546558218,0.12495736542123681,0.05902608948745591,-1,0.27303005017096205,0.3124322908584607,0.13499071105918614,0.348637602439156,-1,0.37387849782434013,-1,0.36881319841729066,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2015,-1,0.5565120990620455,0.507263381346665,-1,-1,0.44326593831830974,0.3586613214244756,0.3040152053342926,-1,0.35189704711794645,0.3043053727989409,0.3429252370349558,0.38962524005080323,-1,0.39728409584952207,-1,0.48566281931234456,-1
driven,-1,0.2164291242901062,0.23901891668957953,-1,-1,0.14361319845857723,0.08062536735468973,0.1495371599327039,-1,0.4179864457633422,0.5019115912405706,0.3285249374931972,0.36053319849303767,-1,0.4290100184772436,-1,0.4171757026599414,-1
mainly,-1,0.24623319767030505,0.3447362616054389,-1,-1,0.2907486265448884,0.22919219520949374,0.32508161066495034,-1,0.419355179238446,0.6177780087492071,0.38921610698704723,0.4333250900324036,-1,0.5707273174522061,-1,0.5965147965852204,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
incidents,-1,0.24180270263745862,0.4437644575725225,-1,-1,0.22227075147629716,0.2666294181428903,0.2731586435072898,-1,0.29938375997579514,0.4064703039965254,0.43445563745078897,0.4474138789109733,-1,0.42526267385501904,-1,0.2980504956640554,-1
targeting,-1,0.15938183512728843,0.24432826286218123,-1,-1,0.3293829875526988,0.19907833865614033,0.23401489079859417,-1,0.28565914029506845,0.5350879121253309,0.36549424225552496,0.23411378517698767,-1,0.36095798868856,-1,0.45326519708155166,-1
muslims,-1,0.010285775533915853,0.11669481133957815,-1,-1,0.26298360024982803,0.21042009336435075,0.2011574605779436,-1,0.20103907845253843,0.4934132523850592,0.29006149775779466,0.23026802711526762,-1,0.44836504217456175,-1,0.4860629568884455,-1
arabs,-1,-0.17743540154876536,-0.09168651126329452,-1,-1,0.15098473113124244,0.0731079039202448,0.000979061576051099,-1,-0.008462085415585685,0.0404242399821958,0.08356294890793059,-0.042865176265752813,-1,-0.0029467081804839257,-1,0.08000391939997142,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
west,-1,0.19076110020666204,0.2729608363949556,-1,-1,0.43561375765605215,0.29155749960252053,0.2971000571281307,-1,0.19164317160666944,0.3389287490084195,0.5935658522217445,0.24762738608573165,-1,0.5714778923759773,-1,0.5320188290047454,-1
asians,-1,-0.2262018054304511,-0.08989666427736864,-1,-1,0.018777224508936596,0.0507418392846416,0.0442910336892951,-1,0.0764119733775479,0.013756236677509914,0.1612405628837471,-0.08811317749684178,-1,0.24521813024811412,-1,0.24173075474200267,-1
say,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
official,-1,0.6044795695123314,0.6042166370632848,-1,-1,0.6474998066490288,0.6191168624035742,0.6658283700301538,-1,0.4729804502531688,0.4309130646263506,0.4811440670531739,0.55674193137981,-1,0.3126081849813712,-1,0.47427725313609015,-1
figures,-1,0.577085745395748,0.6874607973806993,-1,-1,0.47614095828826375,0.6973311078529473,0.5578287247548099,-1,0.6058018132597732,0.4378869847635609,0.3952290858582219,0.7140414488280824,-1,0.45328270502791135,-1,0.45923823307025446,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
