model,shimon,koffler,fogel,with,the,centre,for,israel,and,jewish,affairs,called,the,data,``,disturbing,and,clear,'',.
hate,-0.09769326486407914,-0.3399694770927604,-0.3052758929199577,-1,-1,0.11199717673061638,-1,0.29998320637215203,-1,0.2830436433442345,0.10814786397460352,0.24837395192467304,-1,0.29008515884579467,-1,0.3835617180157198,-1,0.10776782573231514,-1,-1
crimes,-0.18975113556192635,-0.4034942324478106,-0.2936707435468273,-1,-1,0.14898432206868917,-1,0.35500910881295145,-1,0.29590038341934255,0.15016754651536002,0.2116043037426929,-1,0.2795017738940211,-1,0.3843852743549958,-1,0.18005560704882306,-1,-1
reported,-0.3126258294162687,-0.479795139011018,-0.32388105965502856,-1,-1,0.30019855802289386,-1,0.3886867126627207,-1,0.2720187542403705,0.27623050782634295,0.40977545749767597,-1,0.5160288525283365,-1,0.36061546112942033,-1,0.28110234952365354,-1,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
canada,-0.13564809655327714,-0.6776103934690805,-0.34939733883606694,-1,-1,0.3963318744633575,-1,0.6307284485478315,-1,0.32629689453211763,0.494984671325835,0.40378222096422833,-1,0.32235751599589535,-1,0.05901045107395586,-1,0.3885174644440461,-1,-1
rose,-0.17139010666525678,-0.4546382978872472,-0.32288969361004183,-1,-1,0.24594123268606116,-1,0.44136368137333637,-1,0.17864868276513668,0.17182862083636352,0.1714323351082674,-1,0.3100561263113124,-1,0.06697637665228773,-1,0.18322988906917215,-1,-1
slightly,-0.20569173984612488,-0.43429635287961776,-0.23880842298087468,-1,-1,0.11814024137096424,-1,0.2521985859940514,-1,0.06381496831968603,-0.05566169714638125,0.16370218510226464,-1,0.348637602439156,-1,0.3979291520323337,-1,0.41225862478723485,-1,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2015,-0.2743709649931989,-0.5622580125762324,-0.4143398207234048,-1,-1,0.32713323375389414,-1,0.4510883576636532,-1,0.13915689666642073,0.257159505311648,0.43238899874681413,-1,0.38962524005080323,-1,0.18679728996604084,-1,0.37526064892014444,-1,-1
driven,-0.16010964603153122,-0.4806201601974387,-0.34404004175593417,-1,-1,0.2865505702638329,-1,0.3242180031430686,-1,0.2350448905076199,0.08596713348565821,0.3844999109043422,-1,0.36053319849303767,-1,0.3178431569091915,-1,0.3396996862673801,-1,-1
mainly,-0.3271747175524191,-0.666885587807319,-0.37852188170620416,-1,-1,0.37280416449008336,-1,0.45382476286233664,-1,0.5365999013830272,0.38088759410960127,0.48952717227864884,-1,0.4333250900324036,-1,0.24974152771881586,-1,0.3493665360125382,-1,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
incidents,-0.20974351882789266,-0.4043696281100688,-0.2592314276202796,-1,-1,0.21079857382141087,-1,0.3307701216677481,-1,0.2149895647543003,0.07525835493473976,0.2812915356389407,-1,0.4474138789109733,-1,0.4703540982387684,-1,0.32445996676753985,-1,-1
targeting,-0.1634596123854386,-0.5100609957844826,-0.401877870277247,-1,-1,0.19437373949942716,-1,0.5095126716382331,-1,0.4971030293267129,0.09282387607257447,0.40395688685929787,-1,0.23411378517698767,-1,0.32551384767678115,-1,0.33857643231507595,-1,-1
muslims,-0.126966393213243,-0.544431518129838,-0.4389636789636706,-1,-1,0.08650520897320624,-1,0.6069946851668271,-1,0.6391542563138319,0.1354725918706483,0.3122582942057216,-1,0.23026802711526762,-1,0.16249457693121117,-1,0.2346269053897304,-1,-1
arabs,0.10325452096405396,-0.22637075299362786,-0.14757848365806314,-1,-1,-0.14317617241962832,-1,0.34742148886607227,-1,0.4073300267405887,0.031076410608210425,-0.009902839924844198,-1,-0.042865176265752813,-1,-0.06170418481392037,-1,0.03938463789770941,-1,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
west,-0.2384112968091454,-0.5551375777712675,-0.36646380038540194,-1,-1,0.46527356323718205,-1,0.5606815546050339,-1,0.37244803890855693,0.3568306022432386,0.4064703903159883,-1,0.24762738608573165,-1,-0.005489544443557648,-1,0.3136768439313804,-1,-1
asians,0.054996914222178894,-0.14944759007445207,-0.10509147519867024,-1,-1,-0.03263730680451249,-1,0.08866667532648054,-1,0.29885338540012807,0.1792502113842862,-0.060029472421183394,-1,-0.08811317749684178,-1,0.08999846369536635,-1,-0.0688402617127184,-1,-1
say,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
official,-0.24542410347440669,-0.5052913998434123,-0.3781245804199804,-1,-1,0.35419281463858965,-1,0.35948104954521853,-1,0.23516884287618756,0.5424120970991466,0.5125303115125256,-1,0.55674193137981,-1,0.22432572400242146,-1,0.46670232296467873,-1,-1
figures,-0.3782132796444704,-0.5023901615045516,-0.3290151684575413,-1,-1,0.3109756008354363,-1,0.27198081354663706,-1,0.17395140089034444,0.41186602366755665,0.41813914695211585,-1,0.7140414488280824,-1,0.3713063628730823,-1,0.4412603444905743,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
