model,he,also,said,in,the,statement,that,the,jewish,community,stood,with,other,targeted,groups,in,condemning,hatred,in,all,its,forms,.
hate,-1,-1,-1,-1,-1,0.3323064065387775,-1,-1,0.2830436433442345,0.27416451142208653,0.14775792183500247,-1,-1,0.357556363441052,0.34504988210753207,-1,0.419402572268732,0.40830823672293626,-1,0.3222644746945289,-1,0.2724263995866738,-1
crimes,-1,-1,-1,-1,-1,0.2948724035111052,-1,-1,0.29590038341934255,0.2531296125457999,0.184420709374143,-1,-1,0.3724386085277406,0.3616610840466059,-1,0.26581706506409697,0.3765370228372704,-1,0.36271287300655364,-1,0.36549907956382643,-1
reported,-1,-1,-1,-1,-1,0.6118744631834225,-1,-1,0.2720187542403705,0.36007435754153294,0.2812315711268487,-1,-1,0.4326368340415516,0.3377910521500205,-1,0.21313819939299194,0.07858033347921556,-1,0.33620833351208523,-1,0.1442258540522363,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
canada,-1,-1,-1,-1,-1,0.41568575396003027,-1,-1,0.32629689453211763,0.41205946119446013,0.36794607283963976,-1,-1,0.36910649031168963,0.32682118498625246,-1,0.11728269347404163,0.09139522611509787,-1,0.4164892829573348,-1,0.3248005510849965,-1
rose,-1,-1,-1,-1,-1,0.3042897128568083,-1,-1,0.17864868276513668,0.13822986489736122,0.46727008860697494,-1,-1,0.1870213366465976,0.150860752136879,-1,-0.006245822251261579,0.16258351824741224,-1,0.23820963720413246,-1,0.009639210728169312,-1
slightly,-1,-1,-1,-1,-1,0.1777019996519651,-1,-1,0.06381496831968603,0.18624731304379039,0.4700309191812886,-1,-1,0.3103550308230444,0.20578239618339644,-1,0.050815853063145844,0.20218503942913135,-1,0.3734169611236158,-1,0.23063187817566022,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2015,-1,-1,-1,-1,-1,0.5583807753991337,-1,-1,0.13915689666642073,0.3048415075601283,0.4128436833854834,-1,-1,0.34191832199585415,0.26763696567538986,-1,0.17029522856570523,0.03369957990335182,-1,0.4054624863054648,-1,0.27832844713196103,-1
driven,-1,-1,-1,-1,-1,0.2645457738133735,-1,-1,0.2350448905076199,0.3146498017081223,0.46817832940764337,-1,-1,0.5674940051790738,0.25047767509550634,-1,0.07397165040007714,0.2894235644564891,-1,0.27490155832000807,-1,0.1922855744008023,-1
mainly,-1,-1,-1,-1,-1,0.25981019835911856,-1,-1,0.5365999013830272,0.5660469141166028,0.3748920697999939,-1,-1,0.6278954136278814,0.590079900639987,-1,0.10807863252077932,0.20851983318872647,-1,0.4733807530199228,-1,0.4505078110855303,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
incidents,-1,-1,-1,-1,-1,0.34131329156769397,-1,-1,0.2149895647543003,0.29305669903900333,0.13404259732088786,-1,-1,0.4580929673546228,0.3187250313489025,-1,0.2866287655287719,0.2605884899799157,-1,0.417680032710428,-1,0.4043855910675863,-1
targeting,-1,-1,-1,-1,-1,0.26075627897519715,-1,-1,0.4971030293267129,0.3984550324633884,0.2532473251775549,-1,-1,0.814082059812207,0.5830962368110096,-1,0.3561270000615975,0.33234941288287934,-1,0.3899285643714391,-1,0.4428856692452309,-1
muslims,-1,-1,-1,-1,-1,0.1400936559394148,-1,-1,0.6391542563138319,0.4244675955405973,0.3196384285836237,-1,-1,0.5446913780161897,0.5705849650249047,-1,0.26286715535681293,0.4144864128104009,-1,0.45957625094862353,-1,0.39993009388706613,-1
arabs,-1,-1,-1,-1,-1,-0.06819682585261355,-1,-1,0.4073300267405887,0.01968776833929009,0.02664245988762237,-1,-1,0.26551014027648834,0.23492166898674594,-1,0.17813067116662584,0.2544433835543487,-1,0.06738143501358917,-1,0.020700892584193942,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
west,-1,-1,-1,-1,-1,0.40038874757818144,-1,-1,0.37244803890855693,0.5302855471681398,0.31457900491204993,-1,-1,0.3000266831780074,0.27705648879532974,-1,0.15151289107125177,0.06139637851265867,-1,0.36050920094102745,-1,0.19945050478753734,-1
asians,-1,-1,-1,-1,-1,-0.16642128076993679,-1,-1,0.29885338540012807,0.17902646500267727,-0.03709489680609668,-1,-1,0.12101996772812051,0.10370252619861053,-1,-0.011900029317544636,0.08778991721471474,-1,0.005650242479627421,-1,0.10061457805432505,-1
say,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
official,-1,-1,-1,-1,-1,0.7881024944013751,-1,-1,0.23516884287618756,0.4331474080060953,0.27284185620675805,-1,-1,0.2823889931527226,0.2772977412189589,-1,0.274260553335145,-0.03674570669278454,-1,0.36163451390227996,-1,0.24799162102390016,-1
figures,-1,-1,-1,-1,-1,0.6185187240513571,-1,-1,0.17395140089034444,0.41885452114390864,0.2753706969929657,-1,-1,0.31819636945486696,0.37564128255364704,-1,0.19617671940005832,-0.023099360333854735,-1,0.4073127028111029,-1,0.2917038155573106,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
