model,emperor,akihito,had,surgery,for,prostate,cancer,in,2003,and,a,heart,bypass,operation,four,years,ago,.
japan,0.2616852189452614,0.07480472035438579,-1,0.06945547529117169,-1,-0.058606407459945054,0.12342490581234056,-1,0.4986831204167187,-1,-1,0.18606078473753396,0.14135100943977486,0.3153267031292175,0.4208990084584865,0.4383875868361584,0.44504653001492955,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
emperor,1.0,0.8252696643543547,-1,0.06808450477178496,-1,0.036609413583382655,-0.046168769823719646,-1,0.21482709873040573,-1,-1,0.01909443422698287,0.14532713968541477,0.046954765039009416,-0.07029556656990588,0.025609189921733,0.08101732507869852,-1
akihito,0.8252696643543547,1.0,-1,-0.03111798402496402,-1,-0.07162126004575442,-0.24828304723708783,-1,-0.03584124086554619,-1,-1,-0.16112681126549577,0.08575574212259884,-0.13301821458166074,-0.32895239812405364,-0.229940338078362,-0.18312569038760929,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
expressed,0.07509765284250103,-0.05059902109287062,-1,0.1402171790995178,-1,-0.0370857607494417,0.09466054295866211,-1,0.08604768487009296,-1,-1,0.19825439951724078,0.04223616775512973,0.09230289466269304,0.17662663797210132,0.2449180144300065,0.23003153204402105,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
desire,0.11357325428797993,-0.09383956480780231,-1,0.26525307129385545,-1,-0.010367792432681489,0.1531608237577483,-1,0.1814624973480542,-1,-1,0.36826961412104353,0.1644689041256442,0.21160154637359396,0.23191428897055455,0.24400498559990125,0.1414825622270075,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
abdicate,0.1765118617370297,0.20042229029485115,-1,0.029233585670133455,-1,0.11405263354872153,-0.06358262055727604,-1,-0.034664698995916954,-1,-1,-0.0750343077838147,0.22529851923118527,-0.1791156905262068,-0.21254761618809637,-0.18014508505736382,-0.19976355441579807,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
next,-0.01858404675433789,-0.28575727106403326,-1,0.3086108957294187,-1,-0.0980519076741686,0.16335623696094226,-1,0.35103782704478814,-1,-1,0.18992659556371772,0.1607723839554881,0.29618854499070846,0.5897498969031918,0.6189664548521101,0.6327434875828755,-1
few,-0.03315554662593523,-0.29306930838440337,-1,0.26337475329757676,-1,-0.018753476241452738,0.21953675950905815,-1,0.1958851319703836,-1,-1,0.22038272354087451,-0.021246202933489222,0.2259998234053162,0.7117879546550215,0.7328489524298799,0.774691340825139,-1
years,0.025609189921733,-0.229940338078362,-1,0.31816086850828307,-1,0.11962569406083112,0.39512799760868855,-1,0.4893574289108149,-1,-1,0.3412296373042243,0.065740728893813,0.35873126686626855,0.7555647002015063,1.0,0.898686162614422,-1
public,-0.09419568323132754,-0.3405158464802114,-1,0.24189731423060656,-1,0.023740482336686464,0.27163232425708594,-1,0.23691071948788545,-1,-1,0.27897677556812384,0.021781528524506433,0.25145659799126585,0.2988461230575332,0.340140535651811,0.2892474086543825,-1
broadcaster,0.22111915821431571,0.10736156060695357,-1,0.15334857852110229,-1,0.016875218239767564,0.15441088221526134,-1,0.25896210371734263,-1,-1,0.1546178020030866,0.1645875224762784,0.23025886608183233,0.18774853333557306,0.20438502356229593,0.23890212840121483,-1
nhk,0.16869222391792738,0.28224886205187927,-1,-0.03206059240238757,-1,-0.018508973578328813,-0.045129682702463425,-1,-0.07904298962052114,-1,-1,-0.12085316267450064,0.017506464392503807,-0.034415043783604604,-0.25017778917456046,-0.18381237294889852,-0.11673606799203995,-1
reports,-0.12154725488808404,-0.32510459506398903,-1,0.18800050277130653,-1,0.0023580573648890324,0.2723205752522311,-1,0.2796118337201141,-1,-1,0.32027812595632477,0.02946451175369258,0.3194374822977434,0.4221363529262956,0.40015065048973386,0.4650995910690001,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
