model,crown,prince,naruhito,56,is,next,in,line,to,the,chrysanthemum,throne,.
japan,0.2866004069868855,0.40149531499987334,-0.14976083705520749,0.3569534687429563,-1,0.45291115529710035,-1,0.32241459417757135,-1,-1,-0.34709301446543095,0.14007249121502952,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
emperor,-0.042966969862108684,0.38767466182835775,0.10443769200626729,0.11831271732131454,-1,-0.01858404675433789,-1,-0.1412180955571567,-1,-1,0.08080721967195881,0.22446748858269672,-1
akihito,-0.18033109572539452,0.2291488006182092,0.2949966408429505,-0.058403603533204285,-1,-0.28575727106403326,-1,-0.36348661622328415,-1,-1,0.27362835778063876,0.08572856450278232,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
expressed,0.1286046497092671,0.29475961431857345,-0.10599754819623164,0.1505779318732673,-1,0.12803047628112274,-1,0.12431250081165068,-1,-1,-0.35706777728498484,0.000839818746509402,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
desire,0.06444824122250459,0.2347119114511772,-0.27607696480308386,0.2049777599433431,-1,0.25831436575541455,-1,0.2998669782845018,-1,-1,-0.26741825208641545,0.1662414790377953,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
abdicate,-0.11528409632148162,-0.1583363205019066,-0.0019320883806503986,-0.24892666014901854,-1,-0.0907615873172316,-1,-0.1006103530231921,-1,-1,0.43474668338565703,0.3814368266736432,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
next,0.3296943122768998,0.2779209115224921,-0.22265883356816585,0.3210250604855417,-1,1.0,-1,0.37434998454195845,-1,-1,-0.31013213326252287,0.17514192802078166,-1
few,0.14435813074534032,0.17830097509174958,-0.36525515060442193,0.42166291152490043,-1,0.6025784470614235,-1,0.3114455154907394,-1,-1,-0.4568186545237247,0.02368734346730783,-1
years,0.2811707135528738,0.29380279520775165,-0.3393321584248603,0.6138019769992757,-1,0.6189664548521101,-1,0.2985068277807599,-1,-1,-0.47544885197274755,0.1712845836746122,-1
public,0.21397967529538453,0.1769187152173245,-0.2708278667435955,0.2542301648478825,-1,0.3285749271121665,-1,0.32945609287744904,-1,-1,-0.47350062064328813,-0.05046516392757017,-1
broadcaster,0.36051653039670106,0.4426383666283711,0.1511364320769516,0.37008568341214276,-1,0.21382769191522,-1,0.1136388472103087,-1,-1,-0.3559854042780406,0.014905753226210017,-1
nhk,0.18749524572378784,0.15679768114719184,0.3424711535805851,0.07306351587279092,-1,-0.13503098620286114,-1,-0.27918958476713396,-1,-1,-0.0955604938837562,-0.20009302563234765,-1
reports,0.3956580255395541,0.28664087845561914,-0.16423782263040487,0.31495901397680326,-1,0.2768519922728605,-1,0.24068634682305023,-1,-1,-0.5295706860585283,-0.07704997351749077,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
