model,an,unnamed,government,source,told,japan,'s,kyodo,news,agency,that,the,emperor,who,plays,a,largely,ceremonial,role,but,is,respected,deeply,by,many,japanese,has,been,contemplating,the,move,for,about,a,year,.
japan,-1,0.05790535632304317,0.4178989897026779,0.32307909166100435,-1,1.0,-1,0.17733958173869968,0.3761367649456152,0.37201970236312787,-1,-1,0.2616852189452614,-1,0.33031996597971247,-1,0.37518145689131877,0.04054890598151095,0.3170267761143849,-1,-1,0.1530782790658004,0.19275224498944799,-1,-1,0.6072748044977511,-1,-1,-0.04129688476262938,-1,0.5437163550074493,-1,-1,-1,0.507423043374425,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
emperor,-1,0.16270177707454248,0.007065205675896413,-0.054596698280638956,-1,0.2616852189452614,-1,0.060982670234076664,-0.0636548425780814,-0.0921396318950174,-1,-1,1.0,-1,0.16726412048817674,-1,0.07439367782388351,0.08335372445444955,0.06168081927381164,-1,-1,0.16242204380033798,0.04928262520366311,-1,-1,0.2549871663393466,-1,-1,0.04255494081200517,-1,-0.09906484887298639,-1,-1,-1,0.01722249577790491,-1
akihito,-1,-0.06104823502348178,-0.217096314793368,-0.3338259637518648,-1,0.07480472035438579,-1,0.13259566009517165,-0.24223180214173734,-0.19518633891530546,-1,-1,0.8252696643543547,-1,0.021561414634157727,-1,-0.11358872868725989,-0.0675504291428235,-0.1698414309526397,-1,-1,-0.05829546121151208,-0.08115244752876039,-1,-1,-0.0027830359396692206,-1,-1,-0.10870864324616925,-1,-0.3778253447013866,-1,-1,-1,-0.30534699790593245,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
expressed,-1,0.21322177804328835,0.2741662033258745,0.2925841003782339,-1,0.28347496247634885,-1,-0.023225790267713764,0.23671688774691768,0.23672882106797144,-1,-1,0.07509765284250103,-1,0.15756513493796742,-1,0.17446904648581707,0.027859115357896314,0.25345935661120844,-1,-1,0.28967286003575765,0.38799314724208345,-1,-1,0.3133716418211957,-1,-1,0.012217950315060122,-1,0.3036425461121227,-1,-1,-1,0.2481222249630508,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
desire,-1,0.10775697012923613,0.30995925335880037,0.3202863676917005,-1,0.28105743052319676,-1,-0.15859674867746598,0.2043129494758673,0.09318874988841741,-1,-1,0.11357325428797993,-1,0.2716014778389879,-1,0.3187026050196582,0.17331501376818392,0.3707409770134602,-1,-1,0.3048140194733123,0.2505246840213049,-1,-1,0.2480285734647647,-1,-1,0.2695188482271984,-1,0.46415550091944024,-1,-1,-1,0.24192975241947856,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
abdicate,-1,-0.08284739576503375,-0.06226836513413758,-0.2697748477063815,-1,-0.2018471222131848,-1,-0.2769037409651913,-0.33355009087288323,-0.3861004293038981,-1,-1,0.1765118617370297,-1,-0.04056438316809374,-1,-0.03476759815598052,0.07506187679533038,-0.0723136250793317,-1,-1,0.037016614398044934,-0.05626334585753434,-1,-1,-0.24834315832228482,-1,-1,0.28839629114278376,-1,-0.09046601212766836,-1,-1,-1,-0.22353499082669304,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
next,-1,0.03938271544780381,0.36219623707258863,0.2819236301135737,-1,0.45291115529710035,-1,-0.1535524064415572,0.2754805132670797,0.14724304516774112,-1,-1,-0.01858404675433789,-1,0.3429857050682059,-1,0.24740921029146812,0.01886999563686853,0.369768998629316,-1,-1,0.16890314294634579,0.17669726050818468,-1,-1,0.31877303115332967,-1,-1,0.12646343318123954,-1,0.6135903488676837,-1,-1,-1,0.6961078564366118,-1
few,-1,0.1825044261446176,0.305371946718928,0.3155101263023681,-1,0.3365137087811174,-1,-0.11738563254219558,0.34535077462235386,0.197649440577069,-1,-1,-0.03315554662593523,-1,0.25201955024027334,-1,0.28694787093626817,0.08010576760532151,0.27961384158179725,-1,-1,0.20143074065158428,0.22202859102655026,-1,-1,0.232291653268215,-1,-1,0.17784326405845285,-1,0.5293651202541002,-1,-1,-1,0.5207381909120452,-1
years,-1,0.14714349912612656,0.4157362954435908,0.36393884823380107,-1,0.4383875868361584,-1,-0.2068270509754475,0.29842804629928454,0.2729706626247239,-1,-1,0.025609189921733,-1,0.3038762788558177,-1,0.2757937303958047,-0.042475353504614954,0.38845775727247034,-1,-1,0.18569998105908547,0.20407761664995205,-1,-1,0.41083527451149904,-1,-1,0.10969181249169568,-1,0.5042785616099984,-1,-1,-1,0.7144204520776272,-1
public,-1,0.12848350337262493,0.3840105255578856,0.4070017696476991,-1,0.27375462598116407,-1,-0.12056421499703118,0.27009935349108527,0.3444378656220808,-1,-1,-0.09419568323132754,-1,0.24684223516072468,-1,0.27119096584121505,0.05532966274210749,0.38296288137340717,-1,-1,0.2817039845686091,0.23546647397811304,-1,-1,0.3530309575186572,-1,-1,0.06648162830578197,-1,0.423542504728202,-1,-1,-1,0.4114399784740914,-1
broadcaster,-1,0.35277611987853497,0.38029905055723046,0.5115722336604889,-1,0.414733685474195,-1,0.44823937162326466,0.5475728686241783,0.6928883421264366,-1,-1,0.22111915821431571,-1,0.2088169458501995,-1,0.03649670662680704,-0.11651665979046566,0.17611051612973394,-1,-1,0.20395451015720278,0.1394246234729194,-1,-1,0.5875220909467535,-1,-1,-0.2197293340144335,-1,0.22011404291153003,-1,-1,-1,0.287521767931435,-1
nhk,-1,0.10245911969780497,0.0030168953730097536,0.11125532987998377,-1,0.0979018154298168,-1,0.49261248767095267,0.1736195587426307,0.43411807641730404,-1,-1,0.16869222391792738,-1,-0.10391314813637598,-1,-0.21226144978632489,-0.21435011143760896,-0.1342625046076409,-1,-1,-0.05667303009647573,-0.02754051070668906,-1,-1,0.18563539587976896,-1,-1,-0.321190443594805,-1,-0.26846335503554286,-1,-1,-1,-0.09704508484781749,-1
reports,-1,0.5366110958989546,0.43127105495760554,0.6158614406864116,-1,0.34677919858781325,-1,0.4081954056217285,0.7412188202015068,0.6809625665217749,-1,-1,-0.12154725488808404,-1,0.11277829478342172,-1,0.2365713442898969,0.049776138225927524,0.2081078108404666,-1,-1,0.18216374178610784,0.27157941114397555,-1,-1,0.46365296447111426,-1,-1,0.027636057960487515,-1,0.4227265608540173,-1,-1,-1,0.43793995553664977,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
