model,she,was,one,of,219,pupils,missing,since,they,were,abducted,from,a,secondary,school,in,eastern,chibok,in,april,2014,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
missing,-1,-1,0.41056143879593177,-1,0.31275685422800625,0.4338703879267247,1.0,-1,-1,-1,0.47497697541395445,-1,-1,0.24380146899198718,0.3776630423894227,-1,0.2774382612403574,0.2558441348706574,-1,0.4497453920563972,0.4248182034032739,-1
nigerian,-1,-1,0.32239380324680345,-1,0.009488199800887553,0.26720764531439245,0.28955372184536166,-1,-1,-1,0.3399256666366999,-1,-1,0.2968190173163323,0.2643508282185254,-1,0.5560262307250968,0.23253731877809347,-1,0.2355607148800124,0.3113928546951805,-1
schoolgirls,-1,-1,0.07552384907135679,-1,0.5773083234525379,0.30027877951143933,0.25977983604525967,-1,-1,-1,0.6650992543650006,-1,-1,0.27900823512173867,0.08680213893992383,-1,0.2180887785075768,0.7299705208045509,-1,0.19924108118608608,0.18788558247038178,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rescued,-1,-1,0.41626616232165436,-1,0.29032428132562227,0.4106201315368381,0.519215403623648,-1,-1,-1,0.6610669939955502,-1,-1,0.23614218355794458,0.26445945681016036,-1,0.2253453204389675,0.27687324457877094,-1,0.29472363020538783,0.2623887313747961,-1
since,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
capture,-1,-1,0.26044159125198085,-1,-0.015010647527619936,0.12735631977584594,0.2506872764407071,-1,-1,-1,0.15164601071478123,-1,-1,-0.006295700408702087,0.0032410523250385737,-1,0.21881385664578779,-0.1726691788364505,-1,0.184330146187223,0.2332587458683525,-1
two,-1,-1,0.6391626961863863,-1,0.2514832432696458,0.39501006217106616,0.527778271887325,-1,-1,-1,0.3486970031466847,-1,-1,0.3195079690047977,0.315121327120338,-1,0.3528860363775803,0.11182967777216157,-1,0.48255988255305626,0.46129400932840947,-1
years,-1,-1,0.49248528766737676,-1,0.14386309504511519,0.3834641800100136,0.45338710909380275,-1,-1,-1,0.33491587600313155,-1,-1,0.3296304963494918,0.36083446775143535,-1,0.33435840275362316,0.11266818256613464,-1,0.609644282062383,0.5628139174822414,-1
ago,-1,-1,0.5036050776339109,-1,0.12232563388833062,0.3051415275158116,0.5071437199441035,-1,-1,-1,0.3820772100784915,-1,-1,0.28752171190050935,0.34917263339913607,-1,0.33997855388597265,0.13679167490289545,-1,0.5998298985090563,0.544299288613432,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
had,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
emotional,-1,-1,0.2843318447205475,-1,-0.06523726888213299,0.158285715672299,0.1767715038204336,-1,-1,-1,0.06606970465700002,-1,-1,0.030684136578493226,0.21359400106504822,-1,0.05697617461669113,-0.16443107301997428,-1,0.16375136497088438,0.1773804229438889,-1
reunion,-1,-1,0.1539433502428169,-1,0.04407574281667559,0.06358867092366294,0.22359628757927807,-1,-1,-1,0.10045880828482945,-1,-1,0.15233476300362025,0.22729315489095037,-1,0.3518708926747016,0.059294464989204876,-1,0.21515358912661597,0.1936849909749595,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mother,-1,-1,0.4658233997070105,-1,0.10048363340074928,0.3784460405081085,0.5621046654512176,-1,-1,-1,0.4273483690539934,-1,-1,0.22656090733356893,0.4086358424806664,-1,0.0886552737381674,0.11025446128343774,-1,0.3459574564779542,0.3293923740274146,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
