model,the,moment,she,saw,her,she,shouted,her,name,:,`,amina,amina,!,',she,gave,her,the,biggest,hug,ever,as,if,they,were,going,to,roll,on,the,ground,we,had,to,stabilise,them,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
missing,-1,0.3528912960320706,-1,0.44941679337586826,-1,-1,0.24188044398976372,-1,0.38394631553261627,-1,-1,0.00013266253816746065,0.00013266253816746065,-1,-1,-1,0.29647009237286026,-1,-1,0.22168213435769202,0.03939321395105533,0.35467078314366807,-1,-1,-1,-1,0.5629823714899097,-1,0.22551037671579288,-1,-1,0.46605053911702543,-1,-1,-1,0.07987992908954888,-1,-1
nigerian,-1,0.1709433188704833,-1,0.1583548308552306,-1,-1,0.07300446094821011,-1,0.2689268928284321,-1,-1,0.09270227662985209,0.09270227662985209,-1,-1,-1,0.23230948405053675,-1,-1,0.23453617194012633,0.033453226354395516,0.1702479077051705,-1,-1,-1,-1,0.14887974352444266,-1,0.09742309895864387,-1,-1,0.30716564311282857,-1,-1,-1,0.10345974312357809,-1,-1
schoolgirls,-1,-0.13562041884122222,-1,0.0531039295275052,-1,-1,0.008636241840023207,-1,-0.22999760642424172,-1,-1,-0.06945630546704273,-0.06945630546704273,-1,-1,-1,-0.09398803965593117,-1,-1,-0.008022379438237248,-0.12418115418340792,0.04586428326075098,-1,-1,-1,-1,-0.04221048569242192,-1,-0.04064261783701939,-1,-1,-0.030050515318406967,-1,-1,-1,0.014258116157804479,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rescued,-1,0.22312478031134997,-1,0.26926080451610723,-1,-1,0.3190788516589501,-1,0.19147064198643748,-1,-1,-0.08559767389079198,-0.08559767389079198,-1,-1,-1,0.1851106288851837,-1,-1,0.13246519453709737,0.049857554218567524,0.27074950158710465,-1,-1,-1,-1,0.30624080706871615,-1,0.11569802379143734,-1,-1,0.41476819878415927,-1,-1,-1,0.09290095491547834,-1,-1
since,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
capture,-1,0.3193067204875393,-1,0.37215585625513103,-1,-1,0.16419116410789603,-1,0.4680057232789452,-1,-1,0.0010733594697285298,0.0010733594697285298,-1,-1,-1,0.3164343846879485,-1,-1,0.19055033794858733,0.27878076520379913,0.24949540880217946,-1,-1,-1,-1,0.28666685971595784,-1,0.2427680773556561,-1,-1,0.3695882823619909,-1,-1,-1,0.46046805940465063,-1,-1
two,-1,0.36642256938996376,-1,0.5128238441253526,-1,-1,0.21954577995351188,-1,0.42861558687472434,-1,-1,-0.20568410887359678,-0.20568410887359678,-1,-1,-1,0.4406673238809464,-1,-1,0.4043026494160379,0.10180360289513013,0.3543202800538304,-1,-1,-1,-1,0.45964619870199197,-1,0.20434004115862636,-1,-1,0.5483943170997345,-1,-1,-1,0.0653314993180023,-1,-1
