model,the,girl,started,comforting,the,mother,saying,:,`,please,mum,take,it,easy,relax,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
missing,-1,0.5590621724756853,0.4252913988882272,0.11666217107034194,-1,0.5621046654512176,0.3774655912993634,-1,-1,0.15770103716386108,0.34278427387621113,0.24276433092800098,-1,0.3128435148380684,0.10371931293014958,-1
nigerian,-1,0.33084242936923225,0.1959694440606523,-0.09724926982539084,-1,0.2993030141439649,0.362736247214673,-1,-1,-0.025980067616668823,0.15240917908717788,0.2020340088539978,-1,0.054876848788627974,-0.04279649436949673,-1
schoolgirls,-1,0.11414716161310856,0.014993058235196255,-0.04820126742034425,-1,-0.0019422977339638159,-0.14725292330754236,-1,-1,-0.16158671104526023,-0.1524563675239854,-0.07722392824513435,-1,-0.15604606626401285,-0.20144813061458233,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rescued,-1,0.40720163804363585,0.3738763436580288,0.030135586491629396,-1,0.42489805056836705,0.28339659239497483,-1,-1,0.01973938752305504,0.2881520951926624,0.1698076683575067,-1,0.24430612262923523,0.13270482719501453,-1
since,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
capture,-1,0.17105216723519812,0.23525566009708798,0.2695176231781443,-1,0.25469077710096544,0.30028406758943715,-1,-1,0.3184931868648345,0.21930184265393438,0.3454627041280802,-1,0.34109668491539025,0.39593656179062486,-1
two,-1,0.44585444470318514,0.48078225110321016,-0.09774087690990219,-1,0.475669214179655,0.39801483028501994,-1,-1,0.05418810129955587,0.27285394622268966,0.4711606196540501,-1,0.31682702346005764,0.1429523685649875,-1
years,-1,0.42225934743631255,0.5218478497399719,-0.029466980471606785,-1,0.45644752616458883,0.4339026102418464,-1,-1,0.04777582326288432,0.338200231262612,0.501210563441821,-1,0.3367636592637371,0.24445017323948393,-1
ago,-1,0.425225337687135,0.5736922331176889,0.03562986016238456,-1,0.4633329125383159,0.45741095829803147,-1,-1,0.029870063123801693,0.3309694889417216,0.4450034668024718,-1,0.29674570085369,0.2261328521356636,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
had,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
emotional,-1,0.294479950431064,0.33937632742208845,0.39557866956021703,-1,0.3456986806491237,0.39941061855050153,-1,-1,0.20449582593765725,0.3572942551589011,0.26555113815322307,-1,0.5011499808813358,0.167878352003771,-1
reunion,-1,0.2913566174991453,0.24702303604922615,0.2206699959242695,-1,0.2376082356457252,0.11919338888716613,-1,-1,0.07278172874561695,0.16842889893054547,0.0916039707162859,-1,0.18612011235641912,0.06983019190852102,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mother,-1,0.6666922432707062,0.4242111441097445,0.21308991719521064,-1,1.0,0.49376798659696286,-1,-1,0.248746790419891,0.7692056021863725,0.3685693755050312,-1,0.31497878645214095,0.16134196433107306,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
