model,god,has,made,it,possible,for,us,to,see,each,other,again,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
missing,0.16695140813701326,-1,-1,-1,0.35710280556783025,-1,0.38852189305761087,-1,0.41271408863599524,0.5347744552416627,-1,0.44836575285349944,-1
nigerian,0.15250173315811577,-1,-1,-1,0.1464366861366888,-1,0.5314949423836909,-1,0.16694595136086865,0.22094124995774955,-1,0.1233570484649249,-1
schoolgirls,-0.07317676353482638,-1,-1,-1,-0.12885675761734783,-1,-0.05904366196860811,-1,-0.07919123254849669,0.11956899099735974,-1,-0.08981496010535772,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rescued,0.10734658102338912,-1,-1,-1,0.19432617037158006,-1,0.2572540287769084,-1,0.24757170209343493,0.36362489137609433,-1,0.25950378778912,-1
since,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
capture,0.36846003876612354,-1,-1,-1,0.3206612691645081,-1,0.39220850418414477,-1,0.43626418371160347,0.37637517891654226,-1,0.3082902477165572,-1
two,0.09440748314325087,-1,-1,-1,0.42076470587634307,-1,0.48449646792824674,-1,0.4715884936908279,0.6734286289546915,-1,0.4619330906790935,-1
years,0.1477544398261771,-1,-1,-1,0.39802341446050116,-1,0.4423693458996094,-1,0.5020879824513431,0.6192005332644249,-1,0.4746919924198678,-1
ago,0.09740742882408249,-1,-1,-1,0.33558840321917294,-1,0.43345429747797204,-1,0.47832752761463393,0.6247487787195553,-1,0.49694302586184347,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
had,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
emotional,0.2075823925272412,-1,-1,-1,0.28540311472117597,-1,0.27122898960983777,-1,0.36373989700779363,0.28921817661336935,-1,0.2900410087649461,-1
reunion,0.06822663434878751,-1,-1,-1,0.1403706354918527,-1,0.05539246039350709,-1,0.17202613219153695,0.2460416138492103,-1,0.07663176021754281,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mother,0.4552878357828096,-1,-1,-1,0.2664114925758989,-1,0.3582067927393682,-1,0.42655620062435884,0.43228586856477547,-1,0.3743403890475653,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
