model,she,must,be,handed,over,to,the,authority,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1
missing,-1,0.21551569504651524,-1,0.32112725517986995,-1,-1,-1,0.21202333750959068,-1
nigerian,-1,0.2768615346624308,-1,0.26370365492999226,-1,-1,-1,0.42830861645321927,-1
schoolgirls,-1,-0.12739189606375323,-1,0.07410108803332449,-1,-1,-1,-0.046195364522396476,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1
rescued,-1,0.23176766425362838,-1,0.40604983884936163,-1,-1,-1,0.1924526193414492,-1
since,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1
capture,-1,0.3377177749461071,-1,0.22839953040643124,-1,-1,-1,0.2926003487463378,-1
two,-1,0.43059460688598583,-1,0.4260921970482556,-1,-1,-1,0.39071120872080645,-1
years,-1,0.45078345723288293,-1,0.4154969240735842,-1,-1,-1,0.387372309957706,-1
ago,-1,0.37532528354298755,-1,0.3720464872012268,-1,-1,-1,0.3151052263560117,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1
had,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1
emotional,-1,0.19298054938185405,-1,0.10861420280832879,-1,-1,-1,0.12160117669829751,-1
reunion,-1,-0.05976119545876668,-1,0.008548091787190626,-1,-1,-1,0.0071369936771292775,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1
mother,-1,0.3343553609835481,-1,0.3408953380142925,-1,-1,-1,0.24247901361850766,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1
