model,amina,and,her,baby,have,been,taken,to,taken,to,the,regional,capital,maiduguri,for,medical,attention,the,military,said,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
missing,0.00013266253816746065,-1,-1,0.5393454930986544,-1,-1,0.48438729708524164,-1,0.48438729708524164,-1,-1,0.18769207167403246,0.23463821895162673,0.03548542154917833,-1,0.31181218619225315,0.21619865585963582,-1,0.2627808106162475,-1,-1
nigerian,0.09270227662985209,-1,-1,0.19890719804098878,-1,-1,0.2721205183509583,-1,0.2721205183509583,-1,-1,0.5444954435733701,0.5486767598233687,0.4878076502216002,-1,0.281563965944286,0.2181346256329677,-1,0.6319204632444875,-1,-1
schoolgirls,-0.06945630546704273,-1,-1,0.079849916924423,-1,-1,0.03907395292953464,-1,0.03907395292953464,-1,-1,-0.07947379482262851,0.23330561865451505,0.33057603239347366,-1,-0.19520753044894534,-0.06986890737935392,-1,-0.0382143560262842,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rescued,-0.08559767389079198,-1,-1,0.3655155494351634,-1,-1,0.5004125445496992,-1,0.5004125445496992,-1,-1,0.13354472417772567,0.237584133511334,0.04220900892319468,-1,0.2121512079080854,0.26346980157989597,-1,0.2409950476583439,-1,-1
since,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
capture,0.0010733594697285298,-1,-1,0.21802465053131814,-1,-1,0.3067840159644193,-1,0.3067840159644193,-1,-1,0.1593309413114068,0.20626263819534385,0.05990577889921167,-1,0.25168351798271793,0.37481488633702353,-1,0.2706316567618161,-1,-1
two,-0.20568410887359678,-1,-1,0.4099775486685284,-1,-1,0.5714663458414265,-1,0.5714663458414265,-1,-1,0.46990727462087856,0.32441948045140645,-0.06052505095350624,-1,0.35414451045302575,0.24842785131710876,-1,0.40882415707731123,-1,-1
years,-0.11002406468574022,-1,-1,0.36819382916826515,-1,-1,0.5343957746722683,-1,0.5343957746722683,-1,-1,0.37068533688655136,0.34877203537678536,0.004843574012477148,-1,0.2787101826228062,0.2418448551130028,-1,0.3468172806688641,-1,-1
ago,-0.06465898699214834,-1,-1,0.37220590149460064,-1,-1,0.49960844680166305,-1,0.49960844680166305,-1,-1,0.2966773313085699,0.36392429224896894,0.0152570150774467,-1,0.20632759452873728,0.1811875843081182,-1,0.3376760283045477,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
had,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
emotional,0.056510750700308976,-1,-1,0.28472371998321766,-1,-1,0.3562395802988323,-1,0.3562395802988323,-1,-1,0.15960978111847335,0.04745242227714985,-0.05319445547152091,-1,0.3211712335586674,0.44678536104427935,-1,0.15902051828133967,-1,-1
reunion,-0.05951017646589629,-1,-1,0.3100420912148454,-1,-1,0.12466719120129421,-1,0.12466719120129421,-1,-1,0.15571512623891448,0.23309829247243496,0.3339451452796989,-1,0.031152356441360052,0.13031661331630007,-1,0.08937345444934541,-1,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mother,0.35460344694310164,-1,-1,0.7442841239732009,-1,-1,0.5067536880003043,-1,0.5067536880003043,-1,-1,0.15903495145172997,0.17092938315963435,-0.02774503272054507,-1,0.3613927530216383,0.17821823372719692,-1,0.21197372640885193,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
