model,they,were,taken,by,the,islamist,militant,group,boko,haram,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
missing,-1,-1,0.48438729708524164,-1,-1,0.20505990958565945,0.22846564222728716,-1,0.25753367272640637,0.2525906397242069,-1
nigerian,-1,-1,0.2721205183509583,-1,-1,0.5680361040207231,0.5409290639617064,-1,0.4790863776935871,0.4686251466486897,-1
schoolgirls,-1,-1,0.03907395292953464,-1,-1,0.24784228525521323,0.24157182218033313,-1,0.2714623182249116,0.25504081324246464,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rescued,-1,-1,0.5004125445496992,-1,-1,0.29112694344720436,0.24689042682334295,-1,0.2293348735352414,0.1966651026890105,-1
since,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
capture,-1,-1,0.3067840159644193,-1,-1,0.25602825589094125,0.20211045176291953,-1,0.11650932543456838,0.10541966892482912,-1
two,-1,-1,0.5714663458414265,-1,-1,0.2742065697653008,0.3297023254168998,-1,0.1211328583420963,0.10598060028585166,-1
years,-1,-1,0.5343957746722683,-1,-1,0.19672488156246004,0.21438698374737375,-1,0.13035669103327063,0.1480372056340752,-1
ago,-1,-1,0.49960844680166305,-1,-1,0.19699531997008446,0.2137326116571011,-1,0.14417643089914423,0.16302851533114648,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
had,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
emotional,-1,-1,0.3562395802988323,-1,-1,0.020577553716073282,-0.026029220853126978,-1,-0.12416092149628732,-0.11792494720526392,-1
reunion,-1,-1,0.12466719120129421,-1,-1,-0.005758342001550565,-0.018021615583385664,-1,-0.06529406863900178,-0.04676983426717318,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mother,-1,-1,0.5067536880003043,-1,-1,0.08785790676875382,0.10464713239112722,-1,0.12806785153493272,0.1584602806424068,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
