model,chibok,rescue,revives,twitter,campaign,.
the,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1
of,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1
missing,0.2558441348706574,0.3501870484750529,-0.20244683879729775,0.27108168919428766,0.36510739457187225,-1
nigerian,0.23253731877809347,0.30566339062621195,-0.24500383321647168,0.2462521009967631,0.3342261000516087,-1
schoolgirls,0.7299705208045509,-0.0010994742254382128,-0.17514963848522536,-0.010295299467253605,-0.12811056070525995,-1
to,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1
rescued,0.27687324457877094,0.4316646326646715,-0.2588940377280604,0.15767236298575515,0.19839597116331387,-1
since,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1
capture,-0.1726691788364505,0.2606471752658335,-0.19023661288765847,0.28991073882705964,0.26155390722217264,-1
two,0.11182967777216157,0.4642271493545418,-0.2804570120947627,0.3100591707711827,0.42514570786870887,-1
years,0.11266818256613464,0.2744897859261093,-0.3391770119624211,0.2971567149359844,0.367636031944125,-1
ago,0.13679167490289545,0.2437491805230001,-0.29841272060934565,0.28000084953841864,0.37829987452298364,-1
has,-1,-1,-1,-1,-1,-1
had,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1
emotional,-0.16443107301997428,0.20196435554547176,-0.16275900504424312,0.2717206897595139,0.33071563699069895,-1
reunion,0.059294464989204876,0.028127113945274784,-0.060414896068433865,0.16033431507571205,0.2029602480214825,-1
with,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1
mother,0.11025446128343774,0.27009613702791946,-0.11620089520607446,0.4103455503332232,0.28463520220839567,-1
.,-1,-1,-1,-1,-1,-1
