model,amina,was,reportedly,recognised,by,a,civilian,fighter,of,the,civilian,joint,task,force,-lrb-,jtf,-rrb-,a,vigilante,group,set,up,to,help,fight,boko,haram,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
missing,0.00013266253816746065,-1,0.49865412937628517,0.24244314776175624,-1,-1,0.25888665579557024,0.3099395706274437,-1,-1,0.25888665579557024,0.31409656093287963,0.2298386727788697,0.42654609734947646,-1,-0.19406910377620146,-1,-1,-0.017743109319436234,-1,0.3577291228293866,-1,-1,-1,0.3930830351514881,0.25753367272640637,0.2525906397242069,-1
nigerian,0.09270227662985209,-1,0.4542272795561726,0.40409202458221005,-1,-1,0.43977329101655593,0.4500017198395805,-1,-1,0.43977329101655593,0.4336531694767862,0.1959509172522762,0.5057898401030376,-1,0.034336188664198075,-1,-1,0.19753968624704088,-1,0.22662261942071504,-1,-1,-1,0.3691693713007802,0.4790863776935871,0.4686251466486897,-1
schoolgirls,-0.06945630546704273,-1,0.19262011761508557,0.11473814742834176,-1,-1,0.11305289552873143,0.12726797329819262,-1,-1,0.11305289552873143,-0.22019831109584342,-0.3168689356915828,-0.17513704746516146,-1,0.1368779858780248,-1,-1,0.05563443526888645,-1,-0.06187772298723582,-1,-1,-1,-0.13098491543282487,0.2714623182249116,0.25504081324246464,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rescued,-0.08559767389079198,-1,0.6152241230895532,0.36082310721319766,-1,-1,0.24969518161522475,0.3169020308611157,-1,-1,0.24969518161522475,0.22155663969486894,0.14334764297098723,0.33235134793379983,-1,-0.13323490143579297,-1,-1,0.04342248358664391,-1,0.2183599119239894,-1,-1,-1,0.23649835946084596,0.2293348735352414,0.1966651026890105,-1
since,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
capture,0.0010733594697285298,-1,0.3649136239710631,0.38028295555620306,-1,-1,0.24278371515390829,0.11249041751627809,-1,-1,0.24278371515390829,0.30097842327250324,0.30661093169565135,0.384752874124487,-1,-0.2173646158922793,-1,-1,0.12338428143109204,-1,0.25230997167451963,-1,-1,-1,0.3278666614573905,0.11650932543456838,0.10541966892482912,-1
two,-0.20568410887359678,-1,0.5230164053779377,0.3664036594787581,-1,-1,0.3255682223640708,0.3591112101326833,-1,-1,0.3255682223640708,0.4817063203015095,0.2824875257257995,0.48813372611491646,-1,-0.21032819083266663,-1,-1,0.08639982491166542,-1,0.4662516453309047,-1,-1,-1,0.46014084216686135,0.1211328583420963,0.10598060028585166,-1
years,-0.11002406468574022,-1,0.4128680478017913,0.4029668756224233,-1,-1,0.2511665080548491,0.13007778230777145,-1,-1,0.2511665080548491,0.36814124206867094,0.274425265627237,0.4104775532345313,-1,-0.22798770978060268,-1,-1,-0.01213027639392772,-1,0.39463471060828037,-1,-1,-1,0.42927922965529897,0.13035669103327063,0.1480372056340752,-1
ago,-0.06465898699214834,-1,0.47003305867016243,0.3939008806014861,-1,-1,0.2314051881142083,0.16081047516393843,-1,-1,0.2314051881142083,0.3539633552506971,0.22936669604792692,0.3955082421654117,-1,-0.20343313279820796,-1,-1,-0.0042257104374363585,-1,0.4091609682620967,-1,-1,-1,0.4008434622131032,0.14417643089914423,0.16302851533114648,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
had,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
emotional,0.056510750700308976,-1,0.2578263101403522,0.278989537554698,-1,-1,0.20811014455242494,0.14968599970649032,-1,-1,0.20811014455242494,0.3084225688712485,0.44111569641566695,0.32220230460787513,-1,-0.018715068689662884,-1,-1,0.010154760743378288,-1,0.16125935994079688,-1,-1,-1,0.24907406377148789,-0.12416092149628732,-0.11792494720526392,-1
reunion,-0.05951017646589629,-1,0.18536103820229188,0.1964940027618689,-1,-1,0.1879496697508911,0.038707319604248336,-1,-1,0.1879496697508911,0.2062988357356934,0.19436046340112345,0.09818849765174109,-1,0.03913487678878658,-1,-1,-0.0352240481326902,-1,0.0489903080609172,-1,-1,-1,0.09548056089325418,-0.06529406863900178,-0.04676983426717318,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mother,0.35460344694310164,-1,0.47331845418283414,0.34260889658544824,-1,-1,0.22851099770500694,0.2802759981718448,-1,-1,0.22851099770500694,0.32294035046942826,0.1807362231162878,0.3589368658820189,-1,-0.20120843749388895,-1,-1,-0.12770333882894636,-1,0.35941491673447235,-1,-1,-1,0.37825196940458583,0.12806785153493272,0.1584602806424068,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
