model,named,as,mohammed,hayatu,he,said,he,was,amina,'s,husband,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
missing,0.5081483732174308,-1,0.1397607809132717,-0.453912233698194,-1,-1,-1,-1,0.00013266253816746065,-1,0.4964575411960406,-1
nigerian,0.4833839616707314,-1,0.5345081438938466,-0.38234153219130995,-1,-1,-1,-1,0.09270227662985209,-1,0.28926747766556615,-1
schoolgirls,0.10370911784150161,-1,0.16905030584489578,-0.07277457954255406,-1,-1,-1,-1,-0.06945630546704273,-1,0.005571221573015928,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rescued,0.44932151633918593,-1,0.1261864042648957,-0.4170889181522419,-1,-1,-1,-1,-0.08559767389079198,-1,0.3454033393321996,-1
since,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
capture,0.23269625476360345,-1,0.057669658412129676,-0.47784239516170746,-1,-1,-1,-1,0.0010733594697285298,-1,0.2193948830057727,-1
two,0.5365024725273503,-1,0.11594394058343238,-0.6086910292027259,-1,-1,-1,-1,-0.20568410887359678,-1,0.4271879583513919,-1
years,0.49157963035329,-1,0.12960115549552276,-0.5202520191325224,-1,-1,-1,-1,-0.11002406468574022,-1,0.4331174262716295,-1
ago,0.4526077703974485,-1,0.18140577055925688,-0.4502084949943055,-1,-1,-1,-1,-0.06465898699214834,-1,0.4580355881717636,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
had,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
emotional,0.1839829117159445,-1,0.022073260228028135,-0.38801882361827067,-1,-1,-1,-1,0.056510750700308976,-1,0.3408743597542132,-1
reunion,0.14895898350841907,-1,0.09835175382244132,-0.3243765984301634,-1,-1,-1,-1,-0.05951017646589629,-1,0.2382556587666086,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mother,0.5562818335076888,-1,0.3745479128942979,-0.41702356942580754,-1,-1,-1,-1,0.35460344694310164,-1,0.8941935619552547,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
