model,aboku,gaji,leader,of,the,jtf,in,chibok,:,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
missing,-0.5195427969404556,-0.5046397254154908,0.11403753193286337,-1,-1,-0.19406910377620146,-1,0.2558441348706574,-1,-1
nigerian,-0.5398041619630751,-0.5294984803960219,0.42277287847725,-1,-1,0.034336188664198075,-1,0.23253731877809347,-1,-1
schoolgirls,-0.1793405395107639,-0.19148480580080962,-0.11923815718693898,-1,-1,0.1368779858780248,-1,0.7299705208045509,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rescued,-0.4286349403224152,-0.4283859032045947,0.14746815042204475,-1,-1,-0.13323490143579297,-1,0.27687324457877094,-1,-1
since,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
capture,-0.4787640205623749,-0.4912655779293633,0.15896527281454276,-1,-1,-0.2173646158922793,-1,-0.1726691788364505,-1,-1
two,-0.6013357441034446,-0.5922556129118004,0.29057664347918655,-1,-1,-0.21032819083266663,-1,0.11182967777216157,-1,-1
years,-0.5625896257921452,-0.5466164432602585,0.30773326184657834,-1,-1,-0.22798770978060268,-1,0.11266818256613464,-1,-1
ago,-0.538979791510227,-0.5078040495104477,0.28696924435191107,-1,-1,-0.20343313279820796,-1,0.13679167490289545,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
had,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
emotional,-0.37984763369480423,-0.3649860061309238,0.11815808752315193,-1,-1,-0.018715068689662884,-1,-0.16443107301997428,-1,-1
reunion,-0.3029676951257918,-0.3168188554771598,-0.02577625964165442,-1,-1,0.03913487678878658,-1,0.059294464989204876,-1,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mother,-0.49108714840845247,-0.5042771611287604,0.3739568838717495,-1,-1,-0.20120843749388895,-1,0.11025446128343774,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
