model,the,45-year-old,'s,honda,fireblade,crashed,in,the,opening,practice,session,of,the,jurby,motodrome,racing,meet,on,saturday,morning,.
tt,-1,0.4940327086823487,-1,0.03717826172845684,-0.12587548334916798,0.11782032388125785,-1,-1,0.14781607042443978,0.23673269046419532,0.35493186210243677,-1,-1,-0.05737561397376423,-0.2055145893786272,0.20071236039937312,-0.009493000053694578,-1,0.2545482101134364,0.18490058438376844,-1
rider,-1,0.47036868587937075,-1,0.44576665128959436,-0.12675272473877652,0.24544295977002417,-1,-1,0.19206258177279945,0.32189098430786334,0.26456076396335515,-1,-1,-0.3671968706730415,-0.3236606616437139,0.30327572218922405,0.039902336766375335,-1,0.24274392154044266,0.11348968175090113,-1
gary,-1,0.2704350228861202,-1,0.27663697959399103,-0.3709016371107421,0.144110450439209,-1,-1,0.21185524217324925,0.0749494157840912,0.13291424856666956,-1,-1,-0.3799116904622457,-0.4039683180871496,0.35530106021616614,0.1498465208745572,-1,0.32849617731778047,0.23124146753699648,-1
carswell,-1,0.32669915841692765,-1,0.35147065893265994,0.056015147350226835,0.18277068025743926,-1,-1,-0.080813562375887,-0.06797793503113958,-0.17330799871397984,-1,-1,-0.12262242665951484,-0.15421183966016727,0.2033433340488987,0.0002394740902438297,-1,0.014283782710384219,-0.08004491411591119,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
died,-1,0.43354031425871553,-1,0.17481213943833673,-0.3335571474427119,0.5669368518999803,-1,-1,0.26952814859424545,0.23192130130103694,0.3936228142788868,-1,-1,-0.5197945210806105,-0.5138262241335556,0.2396623361259942,0.17026739681655578,-1,0.5046606542121683,0.4756883149084141,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
crash,-1,0.3203119595337156,-1,0.1941184350344961,-0.1421471335502531,0.6915285104526231,-1,-1,0.25186731754911884,0.28903593237093916,0.5107708755155131,-1,-1,-0.5034328184273225,-0.5118925925949878,0.19861987785512947,0.10618734111387595,-1,0.5031886646113759,0.5029751522886413,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
practice,-1,0.050720844531655374,-1,0.2098705860091018,-0.23455913586021326,0.22498011129710382,-1,-1,0.40889703288827606,1.0,0.6232245891926692,-1,-1,-0.35236456241930636,-0.40859256517102205,0.2672358603166374,0.31647022746786824,-1,0.3691498666801172,0.46084506694890215,-1
race,-1,0.07870519166811052,-1,0.279083434213777,-0.21903407904923844,0.3725293281709816,-1,-1,0.5282530518569797,0.5703729509005794,0.6136860496904368,-1,-1,-0.42955423939333404,-0.41280502003700636,0.36968322439556023,0.25290616322977155,-1,0.5307750646122898,0.46869073002210904,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
isle,-1,0.5801941132260305,-1,0.143603634997839,-0.18723878240697123,0.2860982417321031,-1,-1,0.10301515909920211,0.10429133784596178,0.29807169703853,-1,-1,-0.2346838186697311,-0.4339239714730341,0.2600435482847525,0.09859234424505547,-1,0.30699970114703234,0.21567785588140398,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
man,-1,0.7595931834358417,-1,0.16397474823543767,-0.36969318247148886,0.36806249284141235,-1,-1,0.1979813649059562,0.25068041420822684,0.3597792629545067,-1,-1,-0.5258810262613081,-0.44321333722190515,0.2917960420728749,0.23524222902140512,-1,0.41414696151342767,0.37583574440890466,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
