model,the,andreas,racing,association,said,carswell,sustained,serious,injuries,in,the,crash,and,was,taken,to,noble,'s,hospital,where,he,later,died,.
tt,-1,-0.014581511647776768,0.20071236039937312,0.13471565701741972,-1,0.0831455618185839,0.18685734029693069,0.14215070710823163,0.13898729217143213,-1,-1,0.28150035682698116,-1,-1,0.1125590957975584,-1,0.07686740980327078,-1,0.1089328469465306,-1,-1,0.18374307731278772,0.26987322506363254,-1
rider,-1,0.23727932786020367,0.30327572218922405,0.34389201548704595,-1,0.2196758413709321,0.23521894464376625,0.11587928486882804,0.1862119664637416,-1,-1,0.21589234970455518,-1,-1,0.25718480146111355,-1,0.011345746512610777,-1,0.15114079580914475,-1,-1,0.21602757377917436,0.27044147277540387,-1
gary,-1,0.3883816835392442,0.35530106021616614,0.37942800448255287,-1,0.4506399175853738,0.08771878502484598,0.03926357423774052,0.13035957978369306,-1,-1,0.10933720302864669,-1,-1,0.19505198599100948,-1,0.18550260056743517,-1,0.2397011972534312,-1,-1,0.27757936717985787,0.3294495607471182,-1
carswell,-1,0.38130627057055877,0.2033433340488987,-0.02349743354036815,-1,1.0,-0.043282768162669516,-0.1483614361752612,-0.05695840414772846,-1,-1,0.0658414341009409,-1,-1,-0.029225115388735068,-1,-0.1421361195267159,-1,0.10216097660384482,-1,-1,0.08917172456066946,0.12576843146020478,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
died,-1,-0.025486446010153818,0.2396623361259942,0.20439904297999756,-1,0.12576843146020478,0.4898807979430806,0.4278904546570579,0.6104734843504158,-1,-1,0.6914800191737309,-1,-1,0.5457298635849045,-1,0.06727247233719624,-1,0.61085226778997,-1,-1,0.6753850660490469,1.0,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
crash,-1,-0.05935243193051032,0.19861987785512947,0.2132293973481848,-1,0.0658414341009409,0.5135912821730958,0.5515160791065918,0.5620553379399686,-1,-1,1.0,-1,-1,0.48766567576271336,-1,0.05905160534507958,-1,0.4707238174250372,-1,-1,0.4991455643197842,0.6914800191737309,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
practice,-1,-0.013834943655677945,0.2672358603166374,0.38978017289734435,-1,-0.06797793503113958,0.2956799544135529,0.34934353194251866,0.27775725104369364,-1,-1,0.28903593237093916,-1,-1,0.41548381997775474,-1,0.10202326775698345,-1,0.37262606986950686,-1,-1,0.3853687622780466,0.23192130130103694,-1
race,-1,-0.042681692922380554,0.36968322439556023,0.23261892700400078,-1,0.0211777922470322,0.29549672281667083,0.31199110059747137,0.28746036883495796,-1,-1,0.4060064106773904,-1,-1,0.34946172508758155,-1,0.06416460831396298,-1,0.25990247824242685,-1,-1,0.42864500765760605,0.3188671990987981,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
isle,-1,0.051985166629867186,0.2600435482847525,0.17404633231259703,-1,0.2276159929951137,0.15441899740923393,0.10176672400785369,0.094544347276873,-1,-1,0.3601703113901824,-1,-1,0.3370054388278354,-1,0.0688872304083431,-1,0.22379474221229,-1,-1,0.2708182372299557,0.35068949965995033,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
man,-1,-0.06288799341868656,0.2917960420728749,0.2528885874825273,-1,0.07781829491623171,0.4175270806953566,0.40854437809911137,0.4228611765448995,-1,-1,0.5164319103616636,-1,-1,0.5625811956136171,-1,0.049250544852955436,-1,0.38626630578096877,-1,-1,0.5115098597092416,0.622687498426653,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
