model,an,investigation,into,the,crash,is,due,to,take,place,the,association,said,.
tt,-1,0.13487642968500513,-1,-1,0.28150035682698116,-1,-1,-1,0.10425133703969247,0.17070600785577983,-1,0.13471565701741972,-1,-1
rider,-1,0.16039944573517784,-1,-1,0.21589234970455518,-1,-1,-1,0.20916869884522926,0.2327897489482691,-1,0.34389201548704595,-1,-1
gary,-1,0.1581085930350199,-1,-1,0.10933720302864669,-1,-1,-1,0.17141897554241492,0.1323917716223415,-1,0.37942800448255287,-1,-1
carswell,-1,-0.05332649293446967,-1,-1,0.0658414341009409,-1,-1,-1,-0.06592704061671051,-0.04771474013260191,-1,-0.02349743354036815,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
died,-1,0.3249643406711885,-1,-1,0.6914800191737309,-1,-1,-1,0.29225288517807213,0.29629617548885157,-1,0.20439904297999756,-1,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
crash,-1,0.5032838325710559,-1,-1,1.0,-1,-1,-1,0.2481302794440554,0.3594603347849761,-1,0.2132293973481848,-1,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
practice,-1,0.37205499943638665,-1,-1,0.28903593237093916,-1,-1,-1,0.3743761984535865,0.4566388952034568,-1,0.38978017289734435,-1,-1
race,-1,0.2780254097084822,-1,-1,0.4060064106773904,-1,-1,-1,0.40961749844395323,0.478107084829151,-1,0.23261892700400078,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
isle,-1,0.1787557068100848,-1,-1,0.3601703113901824,-1,-1,-1,0.26168927981153456,0.2320223614585234,-1,0.17404633231259703,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
man,-1,0.3537627595858086,-1,-1,0.5164319103616636,-1,-1,-1,0.34883003428304593,0.36893620550655837,-1,0.2528885874825273,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
