model,she,said,economic,growth,and,a,stronger,jobs,market,meant,``,the,case,for,an,increase,in,the,federal,funds,rate,has,strengthened,in,recent,months,'',.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
case,-1,-1,0.4202048434503396,0.342161253829637,-1,-1,0.2963460818151925,0.23308044584032883,0.3560499779944428,0.5643113661192508,-1,-1,1.0,-1,-1,0.38956771453202266,-1,-1,0.5273641003616212,0.31272405598848163,0.4214758632312784,-1,0.3370630153631806,-1,0.47735419472819274,0.50406496327329,-1,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
raising,-1,-1,0.4649488677105482,0.4796651442271409,-1,-1,0.3118165270322968,0.5063722737573813,0.4222730258375167,0.5203145592948706,-1,-1,0.4409851077995447,-1,-1,0.5781288855496822,-1,-1,0.47937239933552456,0.7515040430055321,0.6433793465902918,-1,0.30625454564395616,-1,0.3396570022860854,0.44448918970021745,-1,-1
us,-1,-1,0.4211128056575657,0.38043290282521747,-1,-1,0.507703993479057,0.432855193915227,0.5071792072004898,0.5028600543629785,-1,-1,0.4766874593085917,-1,-1,0.38174264860178364,-1,-1,0.6015425788204436,0.39351050749936267,0.4176079361779632,-1,0.30720741987050004,-1,0.42916155614841833,0.43996312303814555,-1,-1
interest,-1,-1,0.620575092995055,0.5829668773931559,-1,-1,0.4789842380837921,0.4913405023526217,0.6022561542762432,0.5933958064336166,-1,-1,0.5256683830533696,-1,-1,0.6956446949419359,-1,-1,0.5647603335595277,0.6088378301351182,0.8234807587994833,-1,0.36859918067700215,-1,0.49422996330365,0.45966622340544316,-1,-1
rates,-1,-1,0.45470756827137837,0.5832643153707674,-1,-1,0.377056169414995,0.5105596912570454,0.617508252093119,0.5154736685292372,-1,-1,0.428756677699893,-1,-1,0.6827023474361716,-1,-1,0.58119099079017,0.5430668021158525,0.9042617124088709,-1,0.34873021593571285,-1,0.38904991795947275,0.45800617720831915,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strengthened,-1,-1,0.3052179974010014,0.3478582863537052,-1,-1,0.4452675902366885,0.23836637306954744,0.2633937431070812,0.38730480457129235,-1,-1,0.3370630153631806,-1,-1,0.3009105824136449,-1,-1,0.26772623257673756,0.27153547953326296,0.29324065105583985,-1,1.0,-1,0.3306559835274544,0.22892574042518232,-1,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
head,-1,-1,0.31485975193936944,0.20722864256144768,-1,-1,0.24213923733565812,0.25909581357246014,0.23860039231676078,0.36998558550378724,-1,-1,0.32612685346808057,-1,-1,0.23923534902187926,-1,-1,0.30798620509479857,0.15664681926737645,0.21927668829372737,-1,0.16642107715532883,-1,0.33521531939346483,0.3702731733309419,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
federal,-1,-1,0.3552662142107801,0.2760242801894941,-1,-1,0.27212111095313307,0.28725608196015195,0.41150656965313614,0.3738761586625512,-1,-1,0.5273641003616212,-1,-1,0.3345207561151866,-1,-1,1.0,0.47692702910313045,0.5104490707124191,-1,0.26772623257673756,-1,0.3505782905310669,0.3393798752365932,-1,-1
reserve,-1,-1,0.30843654005741916,0.27881641174827987,-1,-1,0.29846940950517453,0.25599183305725726,0.5179335166542315,0.348424895166363,-1,-1,0.47196379075648953,-1,-1,0.31368017754368416,-1,-1,0.8310017197044175,0.42031420298943667,0.5125696766274015,-1,0.331515744773094,-1,0.2997454725197165,0.18291823321744383,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
said,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
