model,subadra,rajappa,head,of,rates,strategy,at,societe,generale,in,washington,said,:,``,we,were,n't,really,expecting,her,to,signal,a,hike,at,the,september,meeting,but,she,'s,just,kept,the,door,open,for,a,hike,sooner,rather,than,later,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
case,-0.48540677368696405,-0.5049936344324868,0.32612685346808057,-1,0.428756677699893,0.40891962776655444,-1,-0.22741756924986656,-0.23020493660200936,-1,0.44347151250797,-1,-1,-1,-1,-1,-1,0.49885423596273626,0.40275260391462675,-1,-1,0.24464203635219173,-1,0.2139464425122699,-1,-1,0.44536360224982685,0.5308962695182243,-1,-1,-1,0.47251261182629367,0.4766201441259891,-1,0.33981277252604136,0.4064754229825942,-1,-1,0.2139464425122699,0.26218055803431706,0.47208816778538565,-1,0.5170851139490021,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
raising,-0.4794362740203706,-0.5219650501281001,0.23348275658484385,-1,0.740745155110295,0.3860134583792366,-1,-0.2321039961630842,-0.276570238381987,-1,0.31660469818631753,-1,-1,-1,-1,-1,-1,0.320915667609332,0.39787644687271384,-1,-1,0.2281868410906196,-1,0.5030237682652848,-1,-1,0.3087600758072556,0.46167788681030597,-1,-1,-1,0.39265221617660095,0.48043771093483356,-1,0.22474348893649354,0.3158990112974104,-1,-1,0.5030237682652848,0.20157863316133473,0.46793784346234735,-1,0.30065163865959676,-1
us,-0.4997121370018749,-0.5607311106703907,0.2927132873667848,-1,0.43865983324272095,0.4169833867268077,-1,-0.13753538825858502,-0.20550062380727563,-1,0.6142030815679169,-1,-1,-1,-1,-1,-1,0.47575468597097226,0.385271422984908,-1,-1,0.34451692664471556,-1,0.19660206552571946,-1,-1,0.4053654852938393,0.48508342990881725,-1,-1,-1,0.5321590505568764,0.514207011023184,-1,0.34776033165306364,0.5388699272360704,-1,-1,0.19660206552571946,0.23011189591334014,0.46339153094332475,-1,0.4512696503544631,-1
interest,-0.5177508978052976,-0.5725968965490846,0.3340961972573394,-1,0.8314747936193819,0.4588356194910487,-1,-0.2051905518242374,-0.22180160550908745,-1,0.42606399241392445,-1,-1,-1,-1,-1,-1,0.41968516478154205,0.4104729819095744,-1,-1,0.3515681920523961,-1,0.5597850081122038,-1,-1,0.391562574355115,0.4647517034563724,-1,-1,-1,0.48610875954204813,0.519475283872125,-1,0.24083049330790107,0.4308253854257964,-1,-1,0.5597850081122038,0.16690472104164633,0.5025125467154782,-1,0.32450001414015817,-1
rates,-0.4606160740544838,-0.5073025197917786,0.21210845949077806,-1,1.0,0.3505262392904669,-1,-0.19267903570508338,-0.233883140098756,-1,0.35009823726181144,-1,-1,-1,-1,-1,-1,0.2563096433019081,0.3588360796860992,-1,-1,0.2025645340579375,-1,0.7299521173891701,-1,-1,0.4316961140294251,0.3845231253389454,-1,-1,-1,0.35920754815799194,0.45854553255506403,-1,0.17936795916328507,0.3861030130665649,-1,-1,0.7299521173891701,0.17519660987972663,0.4164095205690279,-1,0.2842516964438362,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strengthened,-0.33837276815124895,-0.39909872119943746,0.16642107715532883,-1,0.34873021593571285,0.4461770786508721,-1,-0.10601292059261125,-0.08125485157671286,-1,0.18480233046532302,-1,-1,-1,-1,-1,-1,0.2467131987919159,0.2093394966612302,-1,-1,0.15167379786876634,-1,0.2658074540243507,-1,-1,0.21777425511599913,0.22147012179026992,-1,-1,-1,0.2182970916257343,0.49707880991321973,-1,0.24382450706465153,0.25094650859284195,-1,-1,0.2658074540243507,0.220368513976966,0.2898891421733196,-1,0.18948697759704558,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
head,-0.4572000879153797,-0.41511114951046,1.0,-1,0.21210845949077806,0.33777024156878166,-1,-0.09982481514812425,-0.12484694165239385,-1,0.44145323169978345,-1,-1,-1,-1,-1,-1,0.3075801227124242,0.1863913059127198,-1,-1,0.21453656886435646,-1,-0.011539798420450609,-1,-1,0.30934528479339973,0.3448051210558609,-1,-1,-1,0.37617640312632505,0.4158633881578264,-1,0.3113035900826979,0.2878641700909049,-1,-1,-0.011539798420450609,0.1205687339717526,0.32478908498245285,-1,0.3930996185967185,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
federal,-0.47338870418837753,-0.49364600676783876,0.30798620509479857,-1,0.58119099079017,0.4173917192058967,-1,-0.052179926159370726,-0.1395154073600493,-1,0.5778061316186849,-1,-1,-1,-1,-1,-1,0.12717063452655597,0.1714351596385928,-1,-1,0.13596032486909837,-1,0.3745081013854419,-1,-1,0.4152387581707878,0.5988582820941245,-1,-1,-1,0.20244650236181738,0.30126096891098264,-1,0.16766057688874714,0.3960810675566012,-1,-1,0.3745081013854419,0.07971490467599107,0.28149856925661076,-1,0.4027809131182095,-1
reserve,-0.510567327609923,-0.5131411982711995,0.35219494206360014,-1,0.5758981082158027,0.43971693540161616,-1,0.019886114228435225,-0.04652718225737429,-1,0.5024207676000068,-1,-1,-1,-1,-1,-1,0.2532074600237151,0.2454233289212595,-1,-1,0.2809720678422618,-1,0.3711598785837946,-1,-1,0.26934300109704623,0.49130116393559875,-1,-1,-1,0.24258003858710464,0.36114847788484983,-1,0.26304865381901865,0.3979557222500205,-1,-1,0.3711598785837946,0.02869919849544933,0.2757435174958103,-1,0.3071057096763503,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
said,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
