model,``,i,think,that,the,fed,wants,to,get,the,market,to,start,pricing,in,a,hike,for,this,year,which,they,were,n't,doing,earlier,and,now,i,'m,seeing,the,probability,of,a,hike,by,december,has,gone,up,slightly,over,a,coin,toss,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
case,-1,-1,0.5280374422096353,-1,-1,0.3511760811501228,0.3875628557850115,-1,0.3611446395595246,-1,0.3560499779944428,-1,0.4644728246811892,0.20756495372617667,-1,-1,0.2139464425122699,-1,-1,0.5239681956842158,-1,-1,-1,-1,0.4404822085337604,0.5654453236319615,-1,-1,-1,-1,0.45880491029757287,-1,0.17037905098713146,-1,-1,0.2139464425122699,-1,0.45115621520560767,-1,0.49994668672105314,-1,0.3401761366143392,-1,-1,0.11560777612295348,-0.017047301295333828,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
raising,-1,-1,0.38072216640018386,-1,-1,0.4875561422793866,0.3576224673298558,-1,0.3908166224818599,-1,0.4222730258375167,-1,0.417959483669498,0.3691404975959163,-1,-1,0.5030237682652848,-1,-1,0.5005553031478609,-1,-1,-1,-1,0.4123208118088503,0.35615695814061943,-1,-1,-1,-1,0.46384659962207087,-1,0.34413047029141786,-1,-1,0.5030237682652848,-1,0.31385740835333487,-1,0.28012356291063045,-1,0.4584921242986024,-1,-1,0.05866242781277742,0.02528893986741132,-1
us,-1,-1,0.5718809035407081,-1,-1,0.39843083753415487,0.6012008176615475,-1,0.5155137062274997,-1,0.5071792072004898,-1,0.44480794983804284,0.12003678654370464,-1,-1,0.19660206552571946,-1,-1,0.5302611888276171,-1,-1,-1,-1,0.5468427651000418,0.5148594291188021,-1,-1,-1,-1,0.4524702279066244,-1,0.07007233722864481,-1,-1,0.19660206552571946,-1,0.38843868398823655,-1,0.4619059299851904,-1,0.3515503601090204,-1,-1,0.11900201343587025,0.10992357827502808,-1
interest,-1,-1,0.493815420464338,-1,-1,0.4144424893519736,0.41425486265984146,-1,0.42807168505526105,-1,0.6022561542762432,-1,0.43482898661802794,0.3931758432393736,-1,-1,0.5597850081122038,-1,-1,0.5643781433370708,-1,-1,-1,-1,0.4451992590459779,0.4314631927936421,-1,-1,-1,-1,0.4788663786185008,-1,0.3595639515392981,-1,-1,0.5597850081122038,-1,0.3930991461898832,-1,0.40696567077353396,-1,0.5435708915473254,-1,-1,0.11539022733885873,0.03826445221405805,-1
rates,-1,-1,0.30360515414622546,-1,-1,0.4907969803700327,0.2732611787462288,-1,0.34090869742106067,-1,0.617508252093119,-1,0.4299842796224309,0.32669866990038665,-1,-1,0.7299521173891701,-1,-1,0.5476400101145485,-1,-1,-1,-1,0.3130307571499633,0.36725161773398973,-1,-1,-1,-1,0.36613152806846283,-1,0.45240079549957657,-1,-1,0.7299521173891701,-1,0.43404254961376065,-1,0.3133717427762476,-1,0.5399771245907412,-1,-1,0.22247510765574197,0.10751714665287115,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strengthened,-1,-1,0.23928450656846345,-1,-1,0.2944266154232428,0.20501334860144127,-1,0.19345353225893058,-1,0.2633937431070812,-1,0.3159149126089551,0.28082092186150776,-1,-1,0.2658074540243507,-1,-1,0.25588412816421235,-1,-1,-1,-1,0.2601892879296739,0.23216518287576826,-1,-1,-1,-1,0.1413376186833062,-1,0.16990860038637667,-1,-1,0.2658074540243507,-1,0.20555794194239452,-1,0.31680145344669763,-1,0.3871837646202164,-1,-1,0.2658761758480098,0.24589611647981724,-1
