model,'',john,canally,economist,at,boston-based,lpl,financial,added,:,``,it,looks,like,she,is,warming,a,little,more,to,a,hike,this,year,probably,not,september,but,probably,december,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
case,-1,0.32684329195732575,-0.5496069659682479,0.15897612224022595,-1,-0.47013715385849775,-0.5794808064518595,0.4807625884343103,0.5225229668550184,-1,-1,-1,0.4054012416699019,0.39067053516169814,-1,-1,0.12046906535025637,-1,0.37867124978423616,-1,-1,-1,0.2139464425122699,-1,0.5239681956842158,0.5032418723716207,-1,0.44536360224982685,-1,0.5032418723716207,0.45115621520560767,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
raising,-1,0.24715636383204842,-0.48020511736788607,0.059400634684116715,-1,-0.47062749772168355,-0.4487947203385596,0.5134526145513216,0.3566579103108767,-1,-1,-1,0.32338994178631997,0.2605037145202458,-1,-1,0.3785597880979088,-1,0.32617416296736357,-1,-1,-1,0.5030237682652848,-1,0.5005553031478609,0.3059396317048255,-1,0.3087600758072556,-1,0.3059396317048255,0.31385740835333487,-1
us,-1,0.35298641543515064,-0.5423278738530506,0.2921646758780603,-1,-0.5523683761938458,-0.579895007488076,0.4343114461354647,0.4636178296619118,-1,-1,-1,0.4405603833111251,0.4916223331817655,-1,-1,0.2671468959903507,-1,0.4031885437130809,-1,-1,-1,0.19660206552571946,-1,0.5302611888276171,0.5141867902769782,-1,0.4053654852938393,-1,0.5141867902769782,0.38843868398823655,-1
interest,-1,0.30676909464169266,-0.5368631616538873,0.18217242551120516,-1,-0.5299329197517899,-0.503822948514943,0.6218590701865049,0.44118300382342357,-1,-1,-1,0.3615378572842649,0.3500733938954603,-1,-1,0.4018832576877104,-1,0.4551343307422244,-1,-1,-1,0.5597850081122038,-1,0.5643781433370708,0.47362015479230535,-1,0.391562574355115,-1,0.47362015479230535,0.3930991461898832,-1
rates,-1,0.21172362812813061,-0.4438942445167786,0.16533908477522974,-1,-0.4409944038043576,-0.38510950045743253,0.5401775092047731,0.29626315947118464,-1,-1,-1,0.23429181191084836,0.23070977163547424,-1,-1,0.41642298866289407,-1,0.33054058869622427,-1,-1,-1,0.7299521173891701,-1,0.5476400101145485,0.3578277145717339,-1,0.4316961140294251,-1,0.3578277145717339,0.43404254961376065,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strengthened,-1,-0.027962675887825528,-0.3726618816957439,0.014910278211161643,-1,-0.3422955759530437,-0.3384669291322415,0.3343392548369657,0.23589496099745233,-1,-1,-1,0.14812908847348216,0.08715790477142205,-1,-1,0.21182424834282032,-1,0.16236133625275773,-1,-1,-1,0.2658074540243507,-1,0.25588412816421235,0.3261882556781097,-1,0.21777425511599913,-1,0.3261882556781097,0.20555794194239452,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
head,-1,0.4994861810879472,-0.4809294588318527,0.22635495825316798,-1,-0.46768931664568303,-0.4867975652085992,0.3279917770455044,0.48053687481521057,-1,-1,-1,0.33633835061348694,0.328349033353879,-1,-1,0.1269470140302167,-1,0.2503525754706837,-1,-1,-1,-0.011539798420450609,-1,0.35752570635752545,0.32200760870647027,-1,0.30934528479339973,-1,0.32200760870647027,0.3107051626378232,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
federal,-1,0.47019812115747817,-0.454379103252631,0.49730224179583804,-1,-0.41182208362672834,-0.433411266072385,0.46432509145986955,0.3627919759763736,-1,-1,-1,0.16133586390945853,0.15474138183412878,-1,-1,0.2477295161703965,-1,0.12312317101205794,-1,-1,-1,0.3745081013854419,-1,0.4195423065932451,0.16492505324575424,-1,0.4152387581707878,-1,0.16492505324575424,0.4305592786468907,-1
reserve,-1,0.4253150024242116,-0.48033469900613257,0.48035153655368,-1,-0.33914508982959224,-0.47552827646272244,0.40736634209051603,0.36022586996260775,-1,-1,-1,0.24375056787554383,0.23276202390720724,-1,-1,0.238583484789465,-1,0.19475773382711714,-1,-1,-1,0.3711598785837946,-1,0.367313611124241,0.26958281891118174,-1,0.26934300109704623,-1,0.26958281891118174,0.2722621836228113,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
said,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
