model,'',signs,of,slow,improvements,in,the,us,economy,came,in,data,published,on,friday,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
case,-1,0.36031334557907724,-1,0.3562736492776296,0.3894442404720484,-1,-1,0.4766874593085917,0.32960966691543647,0.4176748626808282,-1,0.419268277388551,0.4678255724855639,-1,0.4608474070773023,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
raising,-1,0.3032271606092196,-1,0.31359992048064533,0.37722096955586837,-1,-1,0.39816285820060515,0.39196021027848005,0.24989720775065039,-1,0.42659264957457,0.3070579194780635,-1,0.27172657590024674,-1
us,-1,0.2818163359730155,-1,0.2650632034142755,0.20892304098005177,-1,-1,1.0,0.48594126794023296,0.48568682218327486,-1,0.4712549639698149,0.3665547585453748,-1,0.46756461993532317,-1
interest,-1,0.4237323201335488,-1,0.31191046759204766,0.4912100724938,-1,-1,0.5635292925841138,0.4499952083764469,0.39442458860684526,-1,0.5344828359703778,0.3355100756636774,-1,0.368545679044199,-1
rates,-1,0.29965046451386534,-1,0.41537452516447226,0.3988421099579189,-1,-1,0.43865983324272095,0.365898247431905,0.2544614340045339,-1,0.42651294361575975,0.26396440284705047,-1,0.34271114347338094,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strengthened,-1,0.17841371312235355,-1,0.32333145683719355,0.3324439181022252,-1,-1,0.30720741987050004,0.24365244710605993,0.09579040700721198,-1,0.22874570621737644,0.29273372368290995,-1,0.19804953885227383,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
head,-1,0.2024891675464361,-1,0.15440808398273753,0.21644217522906173,-1,-1,0.2927132873667848,0.24638779339646444,0.3947799347283256,-1,0.2271276033277777,0.27539070626949247,-1,0.35263221637183395,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
federal,-1,0.1688038369898881,-1,0.12694003103268525,0.25209887343047965,-1,-1,0.6015425788204436,0.2877672200502499,0.29821355549529294,-1,0.38419346523546816,0.4192357144870811,-1,0.44031389377231234,-1
reserve,-1,0.19654357951425439,-1,0.13908932954102593,0.2526861732378376,-1,-1,0.5552718484541828,0.28544355381059194,0.24962011921537086,-1,0.4591240972491004,0.4018936392207042,-1,0.38241893485249745,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
said,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
