model,some,economists,are,saying,that,the,next,hike,could,even,come,next,month,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
case,-1,0.25238297524202447,-1,0.5896405566903254,-1,-1,0.4418134563692495,0.2139464425122699,-1,0.505370315070825,0.49687380773770684,0.4418134563692495,0.556311082344481,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
raising,-1,0.2782849365418568,-1,0.42897321466257765,-1,-1,0.3475347715746009,0.5030237682652848,-1,0.43954890239867417,0.29942287627320985,0.3475347715746009,0.42474313425221033,-1
us,-1,0.2476059304193421,-1,0.6079318468599659,-1,-1,0.45278134494410005,0.19660206552571946,-1,0.5635917598137927,0.5385988080929822,0.45278134494410005,0.5508623162857872,-1
interest,-1,0.3082632823851068,-1,0.497260977888469,-1,-1,0.3673696428119906,0.5597850081122038,-1,0.5685756516791175,0.4843785403518691,0.3673696428119906,0.4776266291061473,-1
rates,-1,0.31665708647375257,-1,0.35080737461874656,-1,-1,0.38228303171965416,0.7299521173891701,-1,0.47059355501773026,0.34515406679402405,0.38228303171965416,0.47264496472403206,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strengthened,-1,0.12125379466744501,-1,0.24254465264787928,-1,-1,0.23552525988342243,0.2658074540243507,-1,0.268269031258211,0.26316066403720384,0.23552525988342243,0.2232120702856455,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
head,-1,-0.037369399559626926,-1,0.39677938245488387,-1,-1,0.33896619234520486,-0.011539798420450609,-1,0.3708859739990722,0.42049412027481425,0.33896619234520486,0.3636080640560557,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
federal,-1,0.27890203235181255,-1,0.4920122449081331,-1,-1,0.34111367384286495,0.3745081013854419,-1,0.2921998061156542,0.2876893999558223,0.34111367384286495,0.5376707194470813,-1
reserve,-1,0.19493448767980193,-1,0.38350577818702725,-1,-1,0.34539313519351955,0.3711598785837946,-1,0.29430520008589434,0.26403036682266634,0.34539313519351955,0.422141646955568,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
said,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
