model,she,added,:,``,in,light,of,the,continued,solid,performance,of,the,labour,market,and,our,outlook,for,economic,activity,and,inflation,i,believe,the,case,for,an,increase,in,the,federal,funds,rate,has,strengthened,in,recent,months,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
case,-1,0.5225229668550184,-1,-1,-1,0.3824237542954252,-1,-1,0.4615159668970378,0.3444730528821991,0.42367058217286213,-1,-1,0.40116499840469677,0.3560499779944428,-1,-1,0.33300947618326615,-1,0.4202048434503396,0.5454579191092356,-1,0.330629356184455,-1,0.5622600171980185,-1,1.0,-1,-1,0.38956771453202266,-1,-1,0.5273641003616212,0.31272405598848163,0.4214758632312784,-1,0.3370630153631806,-1,0.47735419472819274,0.50406496327329,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
raising,-1,0.3566579103108767,-1,-1,-1,0.30862439842939304,-1,-1,0.3815629677565088,0.22210315891864618,0.31041376474509486,-1,-1,0.3503478108031486,0.4222730258375167,-1,-1,0.5305728162965213,-1,0.4649488677105482,0.4667538096574868,-1,0.5656165084557638,-1,0.30354329919447554,-1,0.4409851077995447,-1,-1,0.5781288855496822,-1,-1,0.47937239933552456,0.7515040430055321,0.6433793465902918,-1,0.30625454564395616,-1,0.3396570022860854,0.44448918970021745,-1
us,-1,0.4636178296619118,-1,-1,-1,0.4295321991671739,-1,-1,0.4562632374988381,0.36199605787026723,0.3841877397720901,-1,-1,0.4569132998504233,0.5071792072004898,-1,-1,0.2553457804455186,-1,0.4211128056575657,0.41651544115141315,-1,0.37855216533310265,-1,0.5084207000296668,-1,0.4766874593085917,-1,-1,0.38174264860178364,-1,-1,0.6015425788204436,0.39351050749936267,0.4176079361779632,-1,0.30720741987050004,-1,0.42916155614841833,0.43996312303814555,-1
interest,-1,0.44118300382342357,-1,-1,-1,0.49461741576966745,-1,-1,0.5273649843466777,0.43206418441393835,0.5151098286115305,-1,-1,0.40854223989830585,0.6022561542762432,-1,-1,0.5463221367087335,-1,0.620575092995055,0.5773136784760936,-1,0.6503281959249023,-1,0.4442072510160717,-1,0.5256683830533696,-1,-1,0.6956446949419359,-1,-1,0.5647603335595277,0.6088378301351182,0.8234807587994833,-1,0.36859918067700215,-1,0.49422996330365,0.45966622340544316,-1
rates,-1,0.29626315947118464,-1,-1,-1,0.37581378429989676,-1,-1,0.45581179436831853,0.31494694453368477,0.3938903423995346,-1,-1,0.3176197531151609,0.617508252093119,-1,-1,0.45461543079029776,-1,0.45470756827137837,0.5432136003738319,-1,0.7418566974875059,-1,0.31921462929153577,-1,0.428756677699893,-1,-1,0.6827023474361716,-1,-1,0.58119099079017,0.5430668021158525,0.9042617124088709,-1,0.34873021593571285,-1,0.38904991795947275,0.45800617720831915,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strengthened,-1,0.23589496099745233,-1,-1,-1,0.1976734029596402,-1,-1,0.44259755531382194,0.3905086618432789,0.383430890398228,-1,-1,0.22415694822967125,0.2633937431070812,-1,-1,0.37358348593458846,-1,0.3052179974010014,0.2255342568699058,-1,0.29129406850327766,-1,0.24770532184324967,-1,0.3370630153631806,-1,-1,0.3009105824136449,-1,-1,0.26772623257673756,0.27153547953326296,0.29324065105583985,-1,1.0,-1,0.3306559835274544,0.22892574042518232,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
head,-1,0.48053687481521057,-1,-1,-1,0.38133470123157176,-1,-1,0.37091822422059884,0.2530778048826703,0.4573501081237723,-1,-1,0.3997051753313987,0.23860039231676078,-1,-1,0.10459651636487066,-1,0.31485975193936944,0.25203154568789365,-1,0.19948283163155256,-1,0.2691043017919388,-1,0.32612685346808057,-1,-1,0.23923534902187926,-1,-1,0.30798620509479857,0.15664681926737645,0.21927668829372737,-1,0.16642107715532883,-1,0.33521531939346483,0.3702731733309419,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
federal,-1,0.3627919759763736,-1,-1,-1,0.19544570733375677,-1,-1,0.3411296635468508,0.14184517313828138,0.24058134739652637,-1,-1,0.47750224544087905,0.41150656965313614,-1,-1,0.24802600967628463,-1,0.3552662142107801,0.3627260408025528,-1,0.3943580186941692,-1,0.39456748699103195,-1,0.5273641003616212,-1,-1,0.3345207561151866,-1,-1,1.0,0.47692702910313045,0.5104490707124191,-1,0.26772623257673756,-1,0.3505782905310669,0.3393798752365932,-1
reserve,-1,0.36022586996260775,-1,-1,-1,0.30979441411732167,-1,-1,0.34932388709448725,0.31031303567269,0.4029692195206914,-1,-1,0.33500608301885926,0.5179335166542315,-1,-1,0.29530537261309453,-1,0.30843654005741916,0.3381433320174946,-1,0.3992174214999008,-1,0.39972323953035693,-1,0.47196379075648953,-1,-1,0.31368017754368416,-1,-1,0.8310017197044175,0.42031420298943667,0.5125696766274015,-1,0.331515744773094,-1,0.2997454725197165,0.18291823321744383,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
said,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
