model,'',however,ms,yellen,emphasised,that,future,rate,increases,should,be,``,gradual,'',.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
case,-1,0.6323804825505145,0.4487884897401768,0.15090742890181275,0.2556569069716925,-1,0.4865739864536722,0.4214758632312784,0.34982764347104245,0.5696481565256437,-1,-1,0.2516507391620928,-1,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
raising,-1,0.47016664829853205,0.21271918971857862,0.06331970918789409,0.34323329776691713,-1,0.5638940931099834,0.6433793465902918,0.6222572468758882,0.4533700971731114,-1,-1,0.29167789379659625,-1,-1
us,-1,0.5680509838566017,0.31361577085843506,0.09905034111221989,0.2055891559812797,-1,0.42535005129048975,0.4176079361779632,0.2840722121723298,0.5346528056604655,-1,-1,0.0007835021668796127,-1,-1
interest,-1,0.5971426038573783,0.16707751373220336,0.026753805347009885,0.28171835893059316,-1,0.5667855438698948,0.8234807587994833,0.6626717323843112,0.504082188750682,-1,-1,0.3184202339999105,-1,-1
rates,-1,0.45882299385885206,0.0757757494742628,0.07866206145972832,0.13396262747382637,-1,0.5090887696059592,0.9042617124088709,0.729783616083949,0.43029631390256795,-1,-1,0.4023081076276782,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strengthened,-1,0.2838400655775377,0.022113451984416943,-0.017403275190045253,0.4372610515895874,-1,0.37617287661613874,0.29324065105583985,0.31585866518878614,0.40076079808108156,-1,-1,0.4403867199686554,-1,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
head,-1,0.3657586622934961,0.2837895600918583,0.06485204440051628,0.04243280809992089,-1,0.35505184054546324,0.21927668829372737,0.16477243363698446,0.3584201565411276,-1,-1,-0.10947949253990097,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
federal,-1,0.512603222073891,0.27341110337335606,0.39998613189798227,0.17993873517473413,-1,0.38302375346313844,0.5104490707124191,0.28560327740657754,0.4516657373177495,-1,-1,0.061221037354711405,-1,-1
reserve,-1,0.4451420785053516,0.21334553904692544,0.4679181472232461,0.204554063365474,-1,0.38890656820003966,0.5125696766274015,0.29748253550170034,0.3836967808576677,-1,-1,0.13077856151880474,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
said,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
