model,the,building,at,capel-le-ferne,in,kent,is,due,to,open,in,2015,in,time,for,the,battle,'s,75th,anniversary,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
visitor,-1,0.24868157257665302,-1,-0.3523123235760899,-1,0.2044535646850375,-1,-1,-1,0.2446630768859558,-1,0.21139353417508422,-1,-1,-1,-1,0.12656640908594285,-1,-0.08981111732493896,0.031849023359502016,-1
centre,-1,0.5154008333943587,-1,-0.4736697162001613,-1,0.43242102521520587,-1,-1,-1,0.4205588379706884,-1,0.32713323375389414,-1,-1,-1,-1,0.25624262114603846,-1,-0.15817627120660505,0.07236683206363081,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
battle,-1,0.24398854735023479,-1,-0.43942454557715704,-1,0.2551036106714397,-1,-1,-1,0.3181804305059024,-1,0.34007162891714593,-1,-1,-1,-1,1.0,-1,0.2080635840340197,0.38069924160481894,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
britain,-1,0.3849581230157113,-1,-0.6523415456781478,-1,0.3131953839961339,-1,-1,-1,0.6014736863740392,-1,0.5828123431548689,-1,-1,-1,-1,0.41588428093700314,-1,0.021251520569440796,0.22931409230771094,-1
memorial,-1,0.34890214349726745,-1,-0.28275582413887146,-1,0.24082377112496145,-1,-1,-1,0.3358822047529424,-1,0.25833649166130734,-1,-1,-1,-1,0.41054038344046895,-1,0.15537718499214026,0.3137791279267733,-1
-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
designed,-1,0.5865294008454922,-1,-0.64703191472181,-1,0.2731777991093973,-1,-1,-1,0.37694350940673194,-1,0.3031888761023187,-1,-1,-1,-1,0.2962704834448966,-1,-0.04037304403029163,0.14254419958617337,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
shape,-1,0.40201207186687893,-1,-0.5480108252994782,-1,0.08558249222322856,-1,-1,-1,0.3247358632712747,-1,0.28372820759056094,-1,-1,-1,-1,0.3135240510087475,-1,0.16611918123388558,0.2694918559305539,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
spitfire,-1,0.03953741992961146,-1,-0.16322490087416708,-1,-0.02003003099084144,-1,-1,-1,0.023998225736396428,-1,-0.04688984981547084,-1,-1,-1,-1,0.31125295591489666,-1,0.2916284122511985,0.2141041851575074,-1
wing,-1,0.32771181171222197,-1,-0.47605881123156757,-1,0.4553429768540591,-1,-1,-1,0.27217363768502256,-1,0.25370323145492946,-1,-1,-1,-1,0.1821938245892798,-1,-0.18816186708673377,-0.05639626799866715,-1
-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
beginning,-1,0.509891620059908,-1,-0.7098975858601135,-1,0.34398498897867147,-1,-1,-1,0.5886491247894636,-1,0.7145512037299144,-1,-1,-1,-1,0.46276471761532334,-1,0.23006785733474278,0.4638551863372151,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
take,-1,0.3070634539859922,-1,-0.5395515655127805,-1,0.3105571413496111,-1,-1,-1,0.38370903970657233,-1,0.39896121608104784,-1,-1,-1,-1,0.40466814458997646,-1,0.04124968697084608,0.2667775902293201,-1
shape,-1,0.40201207186687893,-1,-0.5480108252994782,-1,0.08558249222322856,-1,-1,-1,0.3247358632712747,-1,0.28372820759056094,-1,-1,-1,-1,0.3135240510087475,-1,0.16611918123388558,0.2694918559305539,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
