model,he,flew,over,40,sorties,in,the,battle,and,is,the,last,remaining,member,of,his,squadron,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
visitor,-1,0.2590078691339972,-1,0.17067567501980252,-0.038415362225580285,-1,-1,0.12656640908594285,-1,-1,-1,-1,0.12210904460831484,0.15256564495623404,-1,-1,0.14560305180801603,-1
centre,-1,0.38790333661109333,-1,0.30197216872995003,-0.17906295503266856,-1,-1,0.25624262114603846,-1,-1,-1,-1,0.20855231403099928,0.29581835547148416,-1,-1,0.15261587177958524,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
battle,-1,0.4155806849401019,-1,0.2855464138029472,0.09586383758447259,-1,-1,1.0,-1,-1,-1,-1,0.31350934438298883,0.19422647303550444,-1,-1,0.16369393048148484,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
britain,-1,0.42078284672815247,-1,0.44413983467749896,-0.2643339633369388,-1,-1,0.41588428093700314,-1,-1,-1,-1,0.4914407466495909,0.5769804018003653,-1,-1,0.014506911440361092,-1
memorial,-1,0.23366175574642323,-1,0.17927542363539106,0.09625438589404078,-1,-1,0.41054038344046895,-1,-1,-1,-1,0.10236879670550814,0.20278195089840412,-1,-1,0.20440226623795266,-1
-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
designed,-1,0.4015265918377705,-1,0.27279746200135724,-0.05452306826768316,-1,-1,0.2962704834448966,-1,-1,-1,-1,0.24544979304266135,0.33928614126202783,-1,-1,0.13451508930305112,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
shape,-1,0.318940496978934,-1,0.21929483906658498,-0.0832279681945094,-1,-1,0.3135240510087475,-1,-1,-1,-1,0.240973880767677,0.27308573741956876,-1,-1,0.03185883731375749,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
spitfire,-1,0.29051413105026325,-1,-0.10832084338834913,0.31537688681250664,-1,-1,0.31125295591489666,-1,-1,-1,-1,0.009854138095900744,-0.020797080705414972,-1,-1,0.48333648953301134,-1
wing,-1,0.38512208275620385,-1,0.3400871140141952,-0.2312631241906955,-1,-1,0.1821938245892798,-1,-1,-1,-1,0.2861276622070419,0.2880018646789957,-1,-1,0.1830359186034055,-1
-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
beginning,-1,0.45833655257380335,-1,0.5874923135231422,-0.01755220387703904,-1,-1,0.46276471761532334,-1,-1,-1,-1,0.48848861399841415,0.33086928123080317,-1,-1,0.07791113978725595,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
take,-1,0.43425418286750916,-1,0.40409552408923066,-0.066152660935479,-1,-1,0.40466814458997646,-1,-1,-1,-1,0.3858303160581371,0.37838254610084054,-1,-1,-0.0811498389412808,-1
shape,-1,0.318940496978934,-1,0.21929483906658498,-0.0832279681945094,-1,-1,0.3135240510087475,-1,-1,-1,-1,0.240973880767677,0.27308573741956876,-1,-1,0.03185883731375749,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
