model,the,key,finding,was,that,the,man,had,large,unshuffled,chunks,of,dna,from,a,now,extinct,species,of,human,neanderthals,who,evolved,outside,of,africa,.
dna,-1,0.14958515089501712,0.3543411702796522,-1,-1,-1,0.18222223724606335,-1,0.2375742785092968,-0.40770609371003474,0.14227927980743293,-1,1.0,-1,-1,-1,0.07588189030095238,0.44296831548154525,-1,0.32527364194947417,0.2048933799724838,-1,0.2908884228678609,0.10382553897892088,-1,0.17181152167416225,-1
analysis,-1,0.30074221061153594,0.40627247219417595,-1,-1,-1,0.1414494446787925,-1,0.22085885528462645,-0.4570504340415975,0.05793517425366401,-1,0.6279804068184603,-1,-1,-1,-0.11262833524395366,0.22849146049978342,-1,0.22307389300028957,0.06258787685402989,-1,0.22846044393801357,0.11605937969924174,-1,0.3138392146906859,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,000-year-old,-1,-0.3829689614341545,-0.4957877966879367,-1,-1,-1,-0.2529296259171161,-1,-0.33709897860626414,0.819563646982417,-0.10088162207232498,-1,-0.32823012441935884,-1,-1,-1,-0.10909905306062617,-0.38805126064157847,-1,-0.28773343576130794,-0.21602100819349945,-1,-0.4071885586962578,-0.4492833678831909,-1,-0.5482142901713218,-1
human,-1,0.2465212643683664,0.37197870562115976,-1,-1,-1,0.26384253557715565,-1,0.27253241154464636,-0.47004847274869377,0.06847634363424693,-1,0.32527364194947417,-1,-1,-1,0.15764084718071825,0.43708205198069305,-1,1.0,0.1225071522222958,-1,0.1931768763234909,0.38387239433038856,-1,0.25096718103329985,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
helped,-1,0.25592160542862596,0.43674241567620564,-1,-1,-1,0.4043204039543541,-1,0.33831383480948396,-0.544458931933284,0.14147967410225204,-1,0.2067219138434303,-1,-1,-1,-0.025247876669005187,0.2130997833949132,-1,0.21242947696701242,-0.0498789333801799,-1,0.29650310169451743,0.3576242090489702,-1,0.4251053384328475,-1
scientists,-1,0.27185368222724304,0.4744704708207218,-1,-1,-1,0.3382067091954831,-1,0.34828875493429257,-0.5424788840058721,0.028067142683363522,-1,0.44643210498575214,-1,-1,-1,0.26079833583633816,0.52163948405145,-1,0.3774854109682124,0.2810930348789882,-1,0.43137710500741777,0.3318802572105799,-1,0.3207463161777845,-1
pinpoint,-1,0.08621590705184856,0.28039225519417177,-1,-1,-1,0.15996417829500276,-1,0.08973109766402954,-0.24175063922780526,0.11158380895656517,-1,0.22066589886895382,-1,-1,-1,0.029839913735584256,0.19091115355711308,-1,0.09738531569464381,0.152673679728763,-1,0.3048270395425391,0.295646926528111,-1,-0.004386066915146536,-1
when,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
our,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ancestors,-1,0.11267256045565144,0.25442469413116886,-1,-1,-1,0.13734021838492894,-1,0.09811542480505286,-0.2504130151004007,0.1726542832762239,-1,0.34172070037499447,-1,-1,-1,0.22186588196779766,0.2943911526071926,-1,0.39228962479141705,0.3792019453179335,-1,0.3630312971880434,0.16319421651709087,-1,0.0901828801997121,-1
interbred,-1,-0.2859805978935952,-0.23098966350152095,-1,-1,-1,-0.21956503732387733,-1,-0.27691369572082447,0.44486362869185725,-0.014690108336586905,-1,-0.17038428772539738,-1,-1,-1,-0.014139695381760964,-0.09899682272824983,-1,-0.1911270599596231,0.5043020308985615,-1,0.05147661765999467,-0.3638538364562083,-1,-0.24729105102878646,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
neanderthals,-1,-0.1533901217974174,0.02797284880365858,-1,-1,-1,-0.13832550978008573,-1,-0.0840343982372902,-0.11661374298547256,0.023290539430468216,-1,0.2048933799724838,-1,-1,-1,0.2267771772022258,0.23724111526988223,-1,0.1225071522222958,1.0,-1,0.38884449022128165,-0.02880767735876688,-1,0.0792415347557337,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
